Collection date,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages,,Year-Month,BA.5/BF.7/DY,XBB,EG.5/HK,Others,Dominant sublineages
2019/12/30,0,0,0,19,Others,,2019-12,0,0,0,20,Others
2019/12/31,0,0,0,1,Others,,2020-01,0,0,0,356,Others
2020/1/1,0,0,0,3,Others,,2020-02,0,0,0,387,Others
2020/1/2,0,0,0,2,Others,,2020-03,0,0,0,135,Others
2020/1/3,0,0,0,1,Others,,2020-04,0,0,0,7,Others
2020/1/5,0,0,0,1,Others,,2020-06,0,0,0,4,Others
2020/1/8,0,0,0,2,Others,,2020-07,0,0,0,6,Others
2020/1/10,0,0,0,2,Others,,2020-08,0,0,0,15,Others
2020/1/11,0,0,0,3,Others,,2020-09,0,0,0,4,Others
2020/1/13,0,0,0,1,Others,,2020-12,0,0,0,6,Others
2020/1/14,0,0,0,1,Others,,2021-01,0,0,0,51,Others
2020/1/15,0,0,0,4,Others,,2021-02,0,0,0,6,Others
2020/1/16,0,0,0,3,Others,,2021-03,0,0,0,39,Others
2020/1/17,0,0,0,6,Others,,2021-04,0,0,0,49,Others
2020/1/18,0,0,0,7,Others,,2021-05,0,0,0,91,Others
2020/1/19,0,0,0,3,Others,,2021-06,0,0,0,111,Others
2020/1/20,0,0,0,4,Others,,2021-07,0,0,0,115,Others
2020/1/21,0,0,0,21,Others,,2021-08,0,0,0,79,Others
2020/1/22,0,0,0,27,Others,,2021-09,0,0,0,336,Others
2020/1/23,0,0,0,18,Others,,2021-10,0,0,0,87,Others
2020/1/24,0,0,0,23,Others,,2021-11,0,0,0,326,Others
2020/1/25,0,0,0,38,Others,,2021-12,0,0,0,97,Others
2020/1/26,0,0,0,44,Others,,2022-01,0,0,0,435,Others
2020/1/27,0,0,0,29,Others,,2022-02,0,0,0,232,Others
2020/1/28,0,0,0,23,Others,,2022-03,0,0,0,721,Others
2020/1/29,0,0,0,29,Others,,2022-04,0,0,0,384,Others
2020/1/30,0,0,0,39,Others,,2022-05,5,0,0,772,Others
2020/1/31,0,0,0,22,Others,,2022-06,40,0,0,215,Others
2020/2/1,0,0,0,38,Others,,2022-07,121,0,0,134,BA.5/BF.7/DY
2020/2/2,0,0,0,39,Others,,2022-08,619,0,0,47,BA.5/BF.7/DY
2020/2/3,0,0,0,21,Others,,2022-09,384,0,0,45,BA.5/BF.7/DY
2020/2/4,0,0,0,20,Others,,2022-10,467,14,0,8,BA.5/BF.7/DY
2020/2/5,0,0,0,30,Others,,2022-11,1008,17,0,33,BA.5/BF.7/DY
2020/2/6,0,0,0,18,Others,,2022-12,5338,25,0,81,BA.5/BF.7/DY
2020/2/7,0,0,0,20,Others,,2023-01,6199,2,0,25,BA.5/BF.7/DY
2020/2/8,0,0,0,26,Others,,2023-02,3897,46,0,37,BA.5/BF.7/DY
2020/2/9,0,0,0,13,Others,,2023-03,3829,255,0,57,BA.5/BF.7/DY
2020/2/10,0,0,0,14,Others,,2023-04,1587,2639,43,190,XBB
2020/2/11,0,0,0,19,Others,,2023-05,187,9351,602,486,XBB
2020/2/12,0,0,0,6,Others,,2023-06,11,4613,1324,235,XBB
2020/2/13,0,0,0,5,Others,,2023-07,5,1875,1769,72,XBB
2020/2/14,0,0,0,11,Others,,2023-08,2,974,2970,15,EG.5/HK
2020/2/15,0,0,0,12,Others,,2023-09,0,342,2779,6,EG.5/HK
2020/2/17,0,0,0,10,Others,,2023-10,0,134,1636,10,EG.5/HK
2020/2/18,0,0,0,4,Others,,2023-11,0,1,32,0,EG.5/HK
2020/2/19,0,0,0,5,Others,,,,,,,
2020/2/20,0,0,0,10,Others,,,,,,,
2020/2/21,0,0,0,4,Others,,,,,,,
2020/2/22,0,0,0,5,Others,,,,,,,
2020/2/23,0,0,0,5,Others,,,,,,,
2020/2/24,0,0,0,8,Others,,,,,,,
2020/2/25,0,0,0,12,Others,,,,,,,
2020/2/26,0,0,0,6,Others,,,,,,,
2020/2/27,0,0,0,7,Others,,,,,,,
2020/2/28,0,0,0,18,Others,,,,,,,
2020/2/29,0,0,0,1,Others,,,,,,,
2020/3/1,0,0,0,3,Others,,,,,,,
2020/3/2,0,0,0,26,Others,,,,,,,
2020/3/3,0,0,0,4,Others,,,,,,,
2020/3/4,0,0,0,4,Others,,,,,,,
2020/3/5,0,0,0,3,Others,,,,,,,
2020/3/6,0,0,0,4,Others,,,,,,,
2020/3/7,0,0,0,3,Others,,,,,,,
2020/3/10,0,0,0,2,Others,,,,,,,
2020/3/11,0,0,0,1,Others,,,,,,,
2020/3/12,0,0,0,7,Others,,,,,,,
2020/3/13,0,0,0,4,Others,,,,,,,
2020/3/14,0,0,0,4,Others,,,,,,,
2020/3/15,0,0,0,6,Others,,,,,,,
2020/3/16,0,0,0,7,Others,,,,,,,
2020/3/17,0,0,0,5,Others,,,,,,,
2020/3/18,0,0,0,8,Others,,,,,,,
2020/3/19,0,0,0,10,Others,,,,,,,
2020/3/20,0,0,0,6,Others,,,,,,,
2020/3/21,0,0,0,4,Others,,,,,,,
2020/3/22,0,0,0,8,Others,,,,,,,
2020/3/23,0,0,0,1,Others,,,,,,,
2020/3/24,0,0,0,9,Others,,,,,,,
2020/3/25,0,0,0,3,Others,,,,,,,
2020/3/26,0,0,0,1,Others,,,,,,,
2020/3/27,0,0,0,1,Others,,,,,,,
2020/3/30,0,0,0,1,Others,,,,,,,
2020/4/2,0,0,0,1,Others,,,,,,,
2020/4/11,0,0,0,1,Others,,,,,,,
2020/4/15,0,0,0,3,Others,,,,,,,
2020/4/16,0,0,0,1,Others,,,,,,,
2020/4/19,0,0,0,1,Others,,,,,,,
2020/6/10,0,0,0,1,Others,,,,,,,
2020/6/11,0,0,0,2,Others,,,,,,,
2020/6/18,0,0,0,1,Others,,,,,,,
2020/7/15,0,0,0,1,Others,,,,,,,
2020/7/16,0,0,0,1,Others,,,,,,,
2020/7/22,0,0,0,4,Others,,,,,,,
2020/8/10,0,0,0,2,Others,,,,,,,
2020/8/12,0,0,0,1,Others,,,,,,,
2020/8/16,0,0,0,1,Others,,,,,,,
2020/8/20,0,0,0,1,Others,,,,,,,
2020/8/27,0,0,0,10,Others,,,,,,,
2020/9/13,0,0,0,2,Others,,,,,,,
2020/9/24,0,0,0,2,Others,,,,,,,
2020/12/14,0,0,0,1,Others,,,,,,,
2020/12/17,0,0,0,1,Others,,,,,,,
2020/12/18,0,0,0,1,Others,,,,,,,
2020/12/28,0,0,0,2,Others,,,,,,,
2020/12/31,0,0,0,1,Others,,,,,,,
2021/1/2,0,0,0,3,Others,,,,,,,
2021/1/3,0,0,0,8,Others,,,,,,,
2021/1/4,0,0,0,4,Others,,,,,,,
2021/1/8,0,0,0,1,Others,,,,,,,
2021/1/12,0,0,0,2,Others,,,,,,,
2021/1/13,0,0,0,3,Others,,,,,,,
2021/1/15,0,0,0,5,Others,,,,,,,
2021/1/17,0,0,0,1,Others,,,,,,,
2021/1/18,0,0,0,2,Others,,,,,,,
2021/1/19,0,0,0,6,Others,,,,,,,
