Province,Omicron sublineages,GDP per capita,Pop density,Temperature,Humidity,Longitude,Latitude,Train (Out),Air traffic (BC),Overseas air traffic (In),exports
Anhui,BF.7,0.20481480963241777,0.37659574468085105,0.6207088333541307,0.6340728545904375,0.7409189486858572,0.42708610902477273,0.6071005917159763,0.0,0.006491999315272373,0.0632221855397821
Beijing,BF.7,1.0,0.0,0.48862760886529577,0.3263078373497354,0.7192325406758447,0.7175481631668467,0.6881656804733728,0.21875,0.18787098380592673,0.2446351931330472
Fujian,BF.7,0.5309653406467321,0.5768321513002365,0.7674023244312562,0.9258134318914568,0.7663747183979974,0.21874978590742616,0.16390532544378697,0.0,0.13305933191377067,0.0513370749422251
Gansu,BF.7,0.0,0.5252955082742317,0.2660126289947006,0.30054453837379336,0.4017521902377971,0.5775238674908494,0.29467455621301775,0.0,0.0028097672356506022,0.0122152525586001
Guangdong,BF.7,0.4004575538360362,0.6340425531914894,0.8060383958542933,0.8297736668830552,0.6395494367959949,0.1135817444208827,0.5343195266272189,0.6875,0.2567735223640718,0.0463849455265764
Guangxi,BF.7,0.05708928596415128,0.3293144208037825,0.698682996253937,0.8142530553587337,0.5165625531914894,0.10122657466665559,0.1544378698224852,0.0,0.017434728206506964,0.010069329811819
Guizhou,BF.7,0.068297256076231,0.2602836879432624,0.5829140586797694,0.9318570147069251,0.4764290362953691,0.2361779130021529,0.34023668639053256,0.0,0.00626850262848659,0.0031363486299108
Hainan,BF.7,0.15854170456294514,0.26997635933806147,0.909115309485111,0.9600421586634958,0.567375969962453,0.0,0.0,0.34375,0.02267150390754985,0.0174975239352921
Hebei,BF.7,0.09183259406439336,0.4787234042553192,0.4463338529365996,0.29078634085191796,0.6958698372966207,0.6496392607739496,0.6289940828402367,0.0,0.0037944770823186307,0.0363156157147573
Heilongjiang,BF.7,0.04351658807561532,1.0,0.0,0.7365821761113237,1.0,1.0,0.2272189349112426,0.0625,0.015566627011180462,0.0401122482667547
Henan,BF.7,0.12847887836344046,0.8550827423167848,0.6050417766378877,0.4222543736278836,0.6499792240300377,0.5318510254628636,1.0,0.0,0.0261633499206504,0.0118851105975569
Hubei,BF.7,0.3174192284550912,0.4444444444444444,0.5720369486734695,0.6084238696140539,0.6662138172715893,0.381046379933459,0.9514792899408284,0.0,0.037519961565191995,0.0242654341366787
