Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
South Korea,Beijing,0.29961037246004446,0.8815535044008231,0.7225731891516937,1.0,0.6411953971888407,0.0,0.4897443866055473,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8067845293164478,32.0
Singapore,Beijing,0.02196320796931059,0.5940187458294157,0.9140623695695048,1.0,1.0,0.0,0.45120814233548284,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8369131100298577,6.0
USA,Beijing,1.0,0.45067672637686473,0.8977017564004062,1.0,0.28705165370378527,0.0,0.547976070235413,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8632102878213241,52.0
Japan,Beijing,0.3253773414649379,0.4002109238459136,0.7321697866418041,1.0,0.5859665317401135,0.0,1.0,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8580367598279751,16.0
Germany,Beijing,0.3732729167115801,0.6826083852075752,0.8051323022985117,1.0,0.5352983245413203,0.0,0.7826120736539508,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7956518039612889,31.0
Australia,Beijing,0.10833721219838842,0.6309647356530745,0.8632909191448334,1.0,0.0,0.0,0.5515111490948644,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8126263224623896,5.0
United Kingdom,Beijing,0.2386239708933316,0.5388984222621804,0.794005663617149,1.0,0.5539184881648415,0.0,0.6685572216610987,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8063560517714039,15.0
France,Beijing,0.3757482236726039,0.8864200543798183,0.7711180677205943,1.0,0.448380101239992,0.0,0.7152124932017715,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7563241678660553,17.0
Ireland,Beijing,0.016619614918624265,0.5044319050465441,0.9604180061082939,1.0,0.37465564487752956,0.0,0.4902882448916168,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6083446182492938,13.0
Hong Kong,Beijing,0.0,0.0,0.8074304884941063,1.0,0.9844495303424121,0.0,0.5825499184212571,0.16200846944948577,0.537475943664436,0.3373899690954372,0.9547740190075614,10.0
Canada,Beijing,0.045055566360745106,0.1786312073032124,0.8308346079960006,1.0,0.02403473083927957,0.0,0.6090047393364929,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7755136605564482,11.0
Russia,Beijing,0.2199293603511499,0.23170149466167805,0.5717054465695758,1.0,0.11260396323511401,0.0,0.5,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8059493707442266,18.0
Israel,Beijing,0.04685512215547543,0.7560061561848773,0.8296980854737773,1.0,0.605327384097889,0.0,0.4050190350400124,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6799415243016725,11.0
Denmark,Beijing,0.03318000740153861,0.8599762192492212,0.8709899486856766,1.0,0.46255519373399206,0.0,0.7136197653639966,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6219103457139363,6.0
Netherlands,Beijing,0.0838278776733618,0.7276435009869736,0.8345649070478215,1.0,0.6362346517280622,0.0,0.6787351410146842,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6281517666240545,2.0
Belgium,Beijing,0.04648169558371033,0.6079801474378165,0.8098998038870868,1.0,0.5961310515580008,0.0,0.6706549607645095,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6573685431228677,5.0
Spain,Beijing,0.1349769477496672,0.43269746953364746,0.7034088210919772,1.0,0.4122502638927435,0.0,0.7042576334395152,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7391428853532139,4.0
Malaysia,Beijing,0.04916638433280882,0.22086829043816142,0.5212938002699163,1.0,0.4166149605282221,0.0,0.1936912438815943,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7781131211686433,1.0
Croatia,Beijing,0.012367138282517816,0.46782063603810536,0.6087227116757035,1.0,0.3816737092513709,0.0,0.7154455753243727,0.16200846944948577,0.537475943664436,0.3373899690954372,0.43332882585449495,1.0
South Africa,Beijing,0.039655594174452004,0.10094297223838743,0.4057222160396226,1.0,0.3222976340997447,0.0,0.15682542149017173,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6060692213391935,4.0
