Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Hong Kong,Beijing,0.0,0.0,0.7773653926654053,1.0,0.9844495303424121,0.0,0.5252904536820251,0.16200846944948577,0.537475943664436,0.09565512841739506,0.9547740190075614,78.0
Japan,Beijing,0.3253773414649379,0.4514912787323164,0.6903545430579872,1.0,0.5859665317401135,0.0,1.0,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8580367598279751,29.0
South Korea,Beijing,0.29961037246004446,0.994509882809003,0.6792596677724283,1.0,0.6411953971888407,0.0,0.4197552679241948,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8067845293164478,21.0
USA,Beijing,1.0,0.5084234321528066,0.8817303470486436,1.0,0.28705165370378527,0.0,0.485974289879401,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8632102878213241,15.0
Canada,Beijing,0.045055566360745106,0.2015198171798937,0.8044235023036836,1.0,0.02403473083927957,0.0,0.5553739453107746,0.16200846944948577,0.537475943664436,0.09565512841739506,0.7755136605564482,7.0
France,Beijing,0.3757482236726039,1.0,0.7353836610971036,1.0,0.448380101239992,0.0,0.6761496664752397,0.16200846944948577,0.537475943664436,0.09565512841739506,0.7563241678660553,17.0
Singapore,Beijing,0.02196320796931059,0.6701323406373285,0.9006452763132587,1.0,1.0,0.0,0.37593320669700053,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8369131100298577,1.0
Australia,Beijing,0.10833721219838842,0.7118123428452073,0.8419470855108242,1.0,0.0,0.0,0.48999425718955686,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8126263224623896,1.0
Germany,Beijing,0.3732729167115801,0.7700732647403385,0.7747083999917633,1.0,0.5352983245413203,0.0,0.7527940981578831,0.16200846944948577,0.537475943664436,0.09565512841739506,0.7956518039612889,2.0
Israel,Beijing,0.04685512215547543,0.8528757358877843,0.8031095391353533,1.0,0.605327384097889,0.0,0.3234085788752927,0.16200846944948577,0.537475943664436,0.09565512841739506,0.6799415243016725,2.0
Netherlands,Beijing,0.0838278776733618,0.8208788794789483,0.8087361977981484,1.0,0.6362346517280622,0.0,0.634668904890224,0.16200846944948577,0.537475943664436,0.09565512841739506,0.6281517666240545,1.0
Russia,Beijing,0.2199293603511499,0.261390176719081,0.5048375571975746,1.0,0.11260396323511401,0.0,0.43141759067014185,0.16200846944948577,0.537475943664436,0.09565512841739506,0.8059493707442266,3.0
Italy,Beijing,0.25005605293508126,0.7284909366159475,0.692721953411895,1.0,0.5166937260629108,0.0,0.8220612271944163,0.16200846944948577,0.537475943664436,0.09565512841739506,0.7385852569001428,1.0
Denmark,Beijing,0.03318000740153861,0.9701678284466404,0.8508481332690028,1.0,0.46255519373399206,0.0,0.6743384724124222,0.16200846944948577,0.537475943664436,0.09565512841739506,0.6219103457139363,1.0
Belgium,Beijing,0.04648169558371033,0.6858826630035896,0.780220232243085,1.0,0.5961310515580008,0.0,0.6254804081812962,0.16200846944948577,0.537475943664436,0.09565512841739506,0.6573685431228677,1.0
Hong Kong,Shandong,0.0,0.0,0.7773653926654053,0.45908415571433725,0.9844495303424121,0.13687943262411348,0.5252904536820251,1.0,0.5865536018895158,0.2439742991322796,0.8271718049122471,27.0
Japan,Shandong,0.3253773414649379,0.4514912787323164,0.6903545430579872,0.45908415571433725,0.5859665317401135,0.13687943262411348,1.0,1.0,0.5865536018895158,0.2439742991322796,0.8788324299177873,34.0
South Korea,Shandong,0.29961037246004446,0.994509882809003,0.6792596677724283,0.45908415571433725,0.6411953971888407,0.13687943262411348,0.4197552679241948,1.0,0.5865536018895158,0.2439742991322796,0.8971194522580851,17.0
USA,Shandong,1.0,0.5084234321528066,0.8817303470486436,0.45908415571433725,0.28705165370378527,0.13687943262411348,0.485974289879401,1.0,0.5865536018895158,0.2439742991322796,0.6782701598451336,10.0
Canada,Shandong,0.045055566360745106,0.2015198171798937,0.8044235023036836,0.45908415571433725,0.02403473083927957,0.13687943262411348,0.5553739453107746,1.0,0.5865536018895158,0.2439742991322796,0.6147087034513454,4.0
France,Shandong,0.3757482236726039,1.0,0.7353836610971036,0.45908415571433725,0.448380101239992,0.13687943262411348,0.6761496664752397,1.0,0.5865536018895158,0.2439742991322796,0.5707946744015718,5.0
Australia,Shandong,0.10833721219838842,0.7118123428452073,0.8419470855108242,0.45908415571433725,0.0,0.13687943262411348,0.48999425718955686,1.0,0.5865536018895158,0.2439742991322796,0.7425787384138621,3.0
Israel,Shandong,0.04685512215547543,0.8528757358877843,0.8031095391353533,0.45908415571433725,0.605327384097889,0.13687943262411348,0.3234085788752927,1.0,0.5865536018895158,0.2439742991322796,0.3560175388460368,1.0
Russia,Shandong,0.2199293603511499,0.261390176719081,0.5048375571975746,0.45908415571433725,0.11260396323511401,0.13687943262411348,0.43141759067014185,1.0,0.5865536018895158,0.2439742991322796,0.6680049624348334,1.0
Hong Kong,Guangdong,0.0,0.0,0.7773653926654053,0.5820647054998797,0.9844495303424121,0.6340425531914894,0.5252904536820251,0.7035692679975801,0.8866184382163835,0.8504693668228862,0.7311104289237685,7.0
