Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
South Korea,Beijing,0.29961037246004446,0.8815535044008231,0.7819632351284681,1.0,0.6411953971888407,0.0,0.4683047279792746,0.16200846944948577,0.537475943664436,0.3373899690954372,0.847050990006699,19.0
Japan,Beijing,0.3253773414649379,0.4002109238459136,0.7928902810636613,1.0,0.5859665317401135,0.0,1.0,0.16200846944948577,0.537475943664436,0.3373899690954372,0.9008612094857745,5.0
Singapore,Beijing,0.02196320796931059,0.5940187458294157,1.0,1.0,1.0,0.0,0.42814928756476683,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8786832823889201,6.0
Australia,Beijing,0.10833721219838842,0.6309647356530745,0.9421897217676897,1.0,0.0,0.0,0.5326667746113989,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8531843459250095,2.0
South Africa,Beijing,0.039655594174452004,0.10094297223838743,0.42118482993076695,1.0,0.3222976340997447,0.0,0.1213973445595855,0.16200846944948577,0.537475943664436,0.3373899690954372,0.6363180196116422,1.0
USA,Beijing,1.0,0.45067672637686473,0.9813711920489632,1.0,0.28705165370378527,0.0,0.5289831606217616,0.16200846944948577,0.537475943664436,0.3373899690954372,0.906292947266253,2.0
France,Beijing,0.3757482236726039,0.8864200543798183,0.8372382551121034,1.0,0.448380101239992,0.0,0.7032464378238342,0.16200846944948577,0.537475943664436,0.3373899690954372,0.7940721616213001,1.0
United Kingdom,Beijing,0.2386239708933316,0.5388984222621804,0.863298930467668,1.0,0.5539184881648415,0.0,0.654630829015544,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8466011272297905,1.0
Canada,Beijing,0.045055566360745106,0.1786312073032124,0.905233748238978,1.0,0.02403473083927957,0.0,0.5925761010362695,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8142193982011777,1.0
Germany,Beijing,0.3732729167115801,0.6826083852075752,0.8759681387053629,1.0,0.5352983245413203,0.0,0.7734779792746114,0.16200846944948577,0.537475943664436,0.3373899690954372,0.8353626324702081,1.0
South Korea,Shandong,0.29961037246004446,0.8815535044008231,0.7819632351284681,0.45908415571433725,0.6411953971888407,0.13687943262411348,0.4683047279792746,1.0,0.5865536018895158,0.44606285858630423,0.9418945115783424,21.0
Japan,Shandong,0.3253773414649379,0.4002109238459136,0.7928902810636613,0.45908415571433725,0.5859665317401135,0.13687943262411348,1.0,1.0,0.5865536018895158,0.44606285858630423,0.9226947874701622,21.0
Singapore,Shandong,0.02196320796931059,0.5940187458294157,1.0,0.45908415571433725,1.0,0.13687943262411348,0.42814928756476683,1.0,0.5865536018895158,0.44606285858630423,0.827219850555231,18.0
Australia,Shandong,0.10833721219838842,0.6309647356530745,0.9421897217676897,0.45908415571433725,0.0,0.13687943262411348,0.5326667746113989,1.0,0.5865536018895158,0.44606285858630423,0.7796407004287905,5.0
South Africa,Shandong,0.039655594174452004,0.10094297223838743,0.42118482993076695,0.45908415571433725,0.3222976340997447,0.13687943262411348,0.1213973445595855,1.0,0.5865536018895158,0.44606285858630423,0.45701640004657446,8.0
USA,Shandong,1.0,0.45067672637686473,0.9813711920489632,0.45908415571433725,0.28705165370378527,0.13687943262411348,0.5289831606217616,1.0,0.5865536018895158,0.44606285858630423,0.7121224930720911,2.0
