Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
USA,Shanghai,1.0,0.4494792384496088,0.877076749709801,0.9614028632883067,0.28705165370378527,0.659338061465721,0.5223905101998934,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9003852950638574,210.0
Australia,Shanghai,0.11281820133909944,0.6553165069839179,0.8357281222864571,0.9614028632883067,0.0,0.659338061465721,0.5261256823872266,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8503753923905643,158.0
South Korea,Shanghai,0.33423175607983885,0.9808081081771912,0.666639385905806,0.9614028632883067,0.6411953971888407,0.659338061465721,0.46086278372942574,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9507280537373157,82.0
Canada,Shanghai,0.045759069044933695,0.1809383246576541,0.7967280855462331,0.9614028632883067,0.02403473083927957,0.659338061465721,0.5868735377416575,0.265766969535008,0.9493030864788822,0.8853631811794975,0.799511200089642,55.0
Japan,Shanghai,0.32680402451239104,0.4008976721794967,0.6781708151239693,0.9614028632883067,0.5859665317401135,0.659338061465721,1.0,0.265766969535008,0.9493030864788822,0.8853631811794975,1.0,58.0
Austria,Shanghai,0.058792279875478394,1.0,0.7838047730800592,0.9614028632883067,0.4302041375479534,0.659338061465721,0.677913229076879,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6762559681911235,30.0
Germany,Shanghai,0.3716060939957856,0.6777545952593236,0.7658437727260257,0.9614028632883067,0.5352983245413203,0.659338061465721,0.7703074334031113,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8431694380185405,42.0
Luxembourg,Shanghai,0.0037423517691169746,0.8786900478495813,1.0,0.9614028632883067,0.5321588055155148,0.659338061465721,0.4771990313179822,0.265766969535008,0.9493030864788822,0.8853631811794975,0.5113524904639948,24.0
Denmark,Shanghai,0.033082027292232634,0.8551584347895963,0.8449794026793539,0.9614028632883067,0.46255519373399206,0.659338061465721,0.6974100069777942,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6770865143073401,25.0
Singapore,Shanghai,0.026266688821251473,0.7085234209587313,0.8967359313019884,0.9614028632883067,1.0,0.659338061465721,0.4201453023026721,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9108864418275738,29.0
United Kingdom,Shanghai,0.23997265036034698,0.5405042280525943,0.752473820873566,0.9614028632883067,0.5539184881648415,0.659338061465721,0.6497968230513483,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8727919157321142,23.0
France,Shanghai,0.3770174547790903,0.8870510177167057,0.7249717095964151,0.9614028632883067,0.448380101239992,0.659338061465721,0.6990928867545048,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7776621893117523,22.0
Italy,Shanghai,0.2551306943100508,0.657103180279554,0.6806313767998601,0.9614028632883067,0.5166937260629108,0.659338061465721,0.8346673234002381,0.265766969535008,0.9493030864788822,0.8853631811794975,0.802994767517729,12.0
Hong Kong,Shanghai,0.0,0.0,0.7686053110183181,0.9614028632883067,0.9844495303424121,0.659338061465721,0.5589213151089768,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9617228512142157,4.0
Netherlands,Shanghai,0.0833712622802851,0.7217571003625441,0.8012104741764723,0.9614028632883067,0.6362346517280622,0.659338061465721,0.6605508352830112,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7216710788156291,7.0
Indonesia,Shanghai,0.0658704357613283,0.036355106742986136,0.20115273514031307,0.9614028632883067,0.4711467914849187,0.659338061465721,0.10807371834338957,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8103112147974136,8.0
Spain,Shanghai,0.13515824233165538,0.43212738754935026,0.6436111663707895,0.9614028632883067,0.4122502638927435,0.659338061465721,0.6875179575585929,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7645580779434311,9.0
Poland,Shanghai,0.06342615162728935,0.2419695951293444,0.5286130532682743,0.9614028632883067,0.4499259056201962,0.659338061465721,0.5778024052867053,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6235955890550742,3.0
Belgium,Shanghai,0.04672033207823879,0.6094777594913099,0.7715724809658772,0.9614028632883067,0.5961310515580008,0.659338061465721,0.652013298854821,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6222689859833553,3.0
Switzerland,Shanghai,0.04283613528021049,0.745202076289987,0.922694942298371,0.9614028632883067,0.521962166459117,0.659338061465721,0.6464721093461396,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7297981569264623,1.0
Ireland,Shanghai,0.01668429916775581,0.5050496382729194,0.9524376257995241,0.9614028632883067,0.37465564487752956,0.659338061465721,0.46143742560440015,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6274181232610934,6.0
Albania,Shanghai,0.00323296840431951,0.17295272454406974,0.2868521155844979,0.9614028632883067,0.4278725273014956,0.659338061465721,0.4310634979271847,0.265766969535008,0.9493030864788822,0.8853631811794975,0.4377111259381344,3.0
Sweden,Shanghai,0.026427385936202665,0.3809141963279627,0.8007209766002489,0.9614028632883067,0.24023192714156916,0.659338061465721,0.7100521282272299,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6698955093928814,1.0
Greece,Shanghai,0.053150246900937,0.7782131537711434,0.558779921899296,0.9614028632883067,0.3979410580521036,0.659338061465721,0.7269219718425481,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6353732246778526,1.0
Malaysia,Shanghai,0.04969760818943898,0.22266147906990294,0.4247787651642075,0.9614028632883067,0.4166149605282221,0.659338061465721,0.1480523745023191,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8458166375583493,1.0
Norway,Shanghai,0.014457751793609218,0.40453290075684717,0.9573371413822963,0.9614028632883067,0.17276155722204878,0.659338061465721,0.5801830644830276,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6189656511264015,3.0
New Zealand,Shanghai,0.023364763047792194,0.6851521503928422,0.7649189566365049,0.9614028632883067,0.20151535030351075,0.659338061465721,0.51865533801256,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7788899414119177,1.0
Thailand,Shanghai,0.04601442296727793,0.0975868865509329,0.2906248397432442,0.9614028632883067,0.46120999746818786,0.659338061465721,0.3565652834215819,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9083598580100882,2.0
Israel,Shanghai,0.04680690665797576,0.7532214912868324,0.7953624214102336,0.9614028632883067,0.605327384097889,0.659338061465721,0.3713417887780651,0.265766969535008,0.9493030864788822,0.8853631811794975,0.6817188148896945,1.0
Croatia,Shanghai,0.01242748847221525,0.46885443889793926,0.5298347815841792,0.9614028632883067,0.3816737092513709,0.659338061465721,0.6993391618437795,0.265766969535008,0.9493030864788822,0.8853631811794975,0.5291052906359148,1.0
Russia,Shanghai,0.2253507500698808,0.23678224679908458,0.48535422763146946,0.9614028632883067,0.11260396323511401,0.659338061465721,0.4716988876575135,0.265766969535008,0.9493030864788822,0.8853631811794975,0.7767709071762964,1.0
Puerto Rico,Shanghai,0.012110899107318922,0.5661994497336666,0.6880245184131581,0.9614028632883067,0.5963660764364652,0.659338061465721,0.5123342773878422,0.265766969535008,0.9493030864788822,0.8853631811794975,0.2671346501307811,1.0
South Africa,Shanghai,0.03937310375204948,0.09995759167046829,0.285906050688476,0.9614028632883067,0.3222976340997447,0.659338061465721,0.10909986454870091,0.265766969535008,0.9493030864788822,0.8853631811794975,0.658636181786011,1.0
USA,Beijing,1.0,0.4494792384496088,0.877076749709801,1.0,0.28705165370378527,0.0,0.5223905101998934,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.8529679046511678,33.0
Australia,Beijing,0.11281820133909944,0.6553165069839179,0.8357281222864571,1.0,0.0,0.0,0.5261256823872266,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.7989898042278003,10.0
South Korea,Beijing,0.33423175607983885,0.9808081081771912,0.666639385905806,1.0,0.6411953971888407,0.0,0.46086278372942574,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.9087197560682309,3.0
Canada,Beijing,0.045759069044933695,0.1809383246576541,0.7967280855462331,1.0,0.02403473083927957,0.0,0.5868735377416575,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.7591394235247215,7.0
Japan,Beijing,0.32680402451239104,0.4008976721794967,0.6781708151239693,1.0,0.5859665317401135,0.0,1.0,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.926279281743787,3.0
Austria,Beijing,0.058792279875478394,1.0,0.7838047730800592,1.0,0.4302041375479534,0.0,0.677913229076879,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.6635924764304774,3.0
Germany,Beijing,0.3716060939957856,0.6777545952593236,0.7658437727260257,1.0,0.5352983245413203,0.0,0.7703074334031113,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.8202476812606381,7.0
Luxembourg,Beijing,0.0037423517691169746,0.8786900478495813,1.0,1.0,0.5321588055155148,0.0,0.4771990313179822,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.4939642308419535,3.0
Denmark,Beijing,0.033082027292232634,0.8551584347895963,0.8449794026793539,1.0,0.46255519373399206,0.0,0.6974100069777942,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.6705414567813662,5.0
Singapore,Beijing,0.026266688821251473,0.7085234209587313,0.8967359313019884,1.0,1.0,0.0,0.4201453023026721,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.8475117774007306,2.0
United Kingdom,Beijing,0.23997265036034698,0.5405042280525943,0.752473820873566,1.0,0.5539184881648415,0.0,0.6497968230513483,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.8603610763502308,3.0
Italy,Beijing,0.2551306943100508,0.657103180279554,0.6806313767998601,1.0,0.5166937260629108,0.0,0.8346673234002381,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.7602072553295727,3.0
Spain,Beijing,0.13515824233165538,0.43212738754935026,0.6436111663707895,1.0,0.4122502638927435,0.0,0.6875179575585929,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.7365162440864139,1.0
Poland,Beijing,0.06342615162728935,0.2419695951293444,0.5286130532682743,1.0,0.4499259056201962,0.0,0.5778024052867053,0.17891501870657403,0.6820990610778351,0.6939819742446669,0.6813651136899288,1.0
