Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
South Korea,Xinjiang,0.33423175607983885,1.0,0.5331698099170349,0.27197085232878565,0.6411953971888407,0.5628841607565012,0.4897443866055473,0.10656066274719402,0.49178184850653345,0.0,0.6214245204086173,22.0
USA,Xinjiang,1.0,0.45827439098658695,0.8278612353336526,0.27197085232878565,0.28705165370378527,0.5628841607565012,0.547976070235413,0.10656066274719402,0.49178184850653345,0.0,0.3791379037431567,20.0
Australia,Xinjiang,0.11281820133909944,0.6681393654073763,0.769957611499269,0.27197085232878565,0.0,0.5628841607565012,0.5515111490948644,0.10656066274719402,0.49178184850653345,0.0,0.5956443506717988,18.0
Japan,Xinjiang,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.27197085232878565,0.5859665317401135,0.5628841607565012,1.0,0.10656066274719402,0.49178184850653345,0.0,0.6511752824568223,5.0
Singapore,Xinjiang,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.27197085232878565,1.0,0.5628841607565012,0.45120814233548284,0.10656066274719402,0.49178184850653345,0.0,0.594901084996229,8.0
Canada,Xinjiang,0.045759069044933695,0.1844788222580294,0.715342897598073,0.27197085232878565,0.02403473083927957,0.5628841607565012,0.6090047393364929,0.10656066274719402,0.49178184850653345,0.0,0.3750336040386776,9.0
New Zealand,Xinjiang,0.023364763047792194,0.698558815613975,0.6707981581553203,0.27197085232878565,0.20151535030351075,0.5628841607565012,0.5444409913759614,0.10656066274719402,0.49178184850653345,0.0,0.5104660890615679,5.0
Germany,Xinjiang,0.3716060939957856,0.6910165093546327,0.6720932483747688,0.27197085232878565,0.5352983245413203,0.5628841607565012,0.7826120736539508,0.10656066274719402,0.49178184850653345,0.0,0.3931561686239753,1.0
France,Xinjiang,0.3770174547790903,0.9044083244430647,0.614856993720859,0.27197085232878565,0.448380101239992,0.5628841607565012,0.7152124932017715,0.10656066274719402,0.49178184850653345,0.0,0.3335670961208641,1.0
Spain,Xinjiang,0.13515824233165538,0.44058300899698805,0.5009216448720594,0.27197085232878565,0.4122502638927435,0.5628841607565012,0.7042576334395152,0.10656066274719402,0.49178184850653345,0.0,0.29838390438706686,1.0
Denmark,Xinjiang,0.033082027292232634,0.8718916857028111,0.7829128821633269,0.27197085232878565,0.46255519373399206,0.5628841607565012,0.7136197653639966,0.10656066274719402,0.49178184850653345,0.0,0.08715522014705522,1.0
Greece,Xinjiang,0.053150246900937,0.7934407834550168,0.38212600943321906,0.27197085232878565,0.3979410580521036,0.5628841607565012,0.7415507730557067,0.10656066274719402,0.49178184850653345,0.0,0.17431044029411044,4.0
Thailand,Xinjiang,0.04601442296727793,0.09949641090579463,0.006608078753947877,0.27197085232878565,0.46120999746818786,0.5628841607565012,0.3910341076839406,0.10656066274719402,0.49178184850653345,0.0,0.6084001204977874,1.0
Netherlands,Xinjiang,0.0833712622802851,0.7358800302986002,0.7216199268805097,0.27197085232878565,0.6362346517280622,0.5628841607565012,0.6787351410146842,0.10656066274719402,0.49178184850653345,0.0,0.2671346501307811,2.0
South Africa,Xinjiang,0.03937310375204948,0.10191350462654425,0.0,0.27197085232878565,0.3222976340997447,0.5628841607565012,0.15682542149017173,0.10656066274719402,0.49178184850653345,0.0,0.1826689112776252,1.0
Hong Kong,Xinjiang,0.0,0.0,0.6759604402126984,0.27197085232878565,0.9844495303424121,0.5628841607565012,0.5825499184212571,0.10656066274719402,0.49178184850653345,0.0,0.6900449288360335,2.0
Sweden,Xinjiang,0.026427385936202665,0.388367707354992,0.7209344462421492,0.27197085232878565,0.24023192714156916,0.5628841607565012,0.7255846476575247,0.10656066274719402,0.49178184850653345,0.0,0.20936196046210684,1.0
Qatar,Xinjiang,0.0049742824192725394,0.2861311381023722,0.8763554662935866,0.27197085232878565,0.5297844628740936,0.5628841607565012,0.0,0.10656066274719402,0.49178184850653345,0.0,0.0,1.0
South Korea,Shanghai,0.33423175607983885,1.0,0.5331698099170349,0.9614028632883067,0.6411953971888407,0.659338061465721,0.4897443866055473,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9507280537373157,48.0
USA,Shanghai,1.0,0.45827439098658695,0.8278612353336526,0.9614028632883067,0.28705165370378527,0.659338061465721,0.547976070235413,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9003852950638574,39.0
Australia,Shanghai,0.11281820133909944,0.6681393654073763,0.769957611499269,0.9614028632883067,0.0,0.659338061465721,0.5515111490948644,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8503753923905643,27.0
Japan,Shanghai,0.32680402451239104,0.4087422084270445,0.5493181461818653,0.9614028632883067,0.5859665317401135,0.659338061465721,1.0,0.265766969535008,0.9493030864788822,0.8853631811794975,1.0,19.0
Singapore,Shanghai,0.026266688821251473,0.7223874018287894,0.8553914806342062,0.9614028632883067,1.0,0.659338061465721,0.45120814233548284,0.265766969535008,0.9493030864788822,0.8853631811794975,0.9108864418275738,20.0
Canada,Shanghai,0.045759069044933695,0.1844788222580294,0.715342897598073,0.9614028632883067,0.02403473083927957,0.659338061465721,0.6090047393364929,0.265766969535008,0.9493030864788822,0.8853631811794975,0.799511200089642,14.0
Malaysia,Shanghai,0.04969760818943898,0.22701839148099423,0.19447401089117503,0.9614028632883067,0.4166149605282221,0.659338061465721,0.1936912438815943,0.265766969535008,0.9493030864788822,0.8853631811794975,0.8458166375583493,4.0
