Source_Region,Target_Province,Cases (O),Cases per million (O),GDP per capita (O),GDP per capita (D),Pop density (O),Pop density (D),Age upper 65 (O),Age upper 65 (D),Temperature (O),Humidity (O),International travel,Imports
Singapore,Chongqing,0.0245071317876537,0.6511125421560343,0.9157244609191704,0.49983516905629494,1.0,0.2326241134751773,0.42814928756476683,0.3278281911675741,0.790775136693452,0.9774210087089705,0.6756241577213857,4.0
Bangladesh,Chongqing,0.019764817036299516,0.01729166926745428,0.23311835338890113,0.49983516905629494,0.7569227495637432,0.2326241134751773,0.11143944300518133,0.3278281911675741,0.790775136693452,0.9774210087089705,0.4862081112661954,1.0
USA,Tianjin,1.0,0.4427150947929132,0.8996802729701688,0.6793719290012513,0.28705165370378527,0.7695035460992907,0.5289831606217616,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.5714496417397816,1.0
Japan,Tianjin,0.32680402451239104,0.394864625012267,0.7373498024110519,0.6793719290012513,0.5859665317401135,0.7695035460992907,1.0,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.8312161583070037,1.0
Singapore,Tianjin,0.0245071317876537,0.6511125421560343,0.9157244609191704,0.6793719290012513,1.0,0.7695035460992907,0.42814928756476683,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.7842072773009481,5.0
South Korea,Tianjin,0.317905047147182,0.9188581094923577,0.7279388095460008,0.6793719290012513,0.6411953971888407,0.7695035460992907,0.4683047279792746,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.803553040229746,2.0
India,Tianjin,0.43500548532863476,0.04597112508802246,0.2095868822671873,0.6793719290012513,0.6201734563910405,0.7695035460992907,0.14750647668393782,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.43592655514484296,3.0
Malaysia,Tianjin,0.049491762745356396,0.21840230555474402,0.5305522988998754,0.6793719290012513,0.4166149605282221,0.7695035460992907,0.1598121761658031,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.671128934744997,2.0
Indonesia,Tianjin,0.06586595959936088,0.03580557188567835,0.3480473436875851,0.6793719290012513,0.4711467914849187,0.7695035460992907,0.1203853626943005,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.6172968842860986,1.0
Germany,Tianjin,0.3716060939957856,0.6675551710053075,0.808901174130984,0.6793719290012513,0.5352983245413203,0.7695035460992907,0.7734779792746114,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.41410057079338053,1.0
Canada,Tianjin,0.0451537720670072,0.17585799414987052,0.8341063800160593,0.6793719290012513,0.02403473083927957,0.7695035460992907,0.5925761010362695,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.5208921346175887,1.0
Brazil,Tianjin,0.36268577026853754,0.25227403384971736,0.4718965144324162,0.6793719290012513,0.24188189345562167,0.7695035460992907,0.25125485751295334,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.0,1.0
Sweden,Tianjin,0.02622817255931154,0.3723537031304807,0.8373650453999721,0.6793719290012513,0.24023192714156916,0.7695035460992907,0.7140544041450777,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.17929302129565575,3.0
New Zealand,Tianjin,0.022790296481343217,0.6582491598286839,0.8081464162032974,0.6793719290012513,0.20151535030351075,0.7695035460992907,0.5252995466321243,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.5649636509875121,1.0
Bangladesh,Tianjin,0.019764817036299516,0.01729166926745428,0.23311835338890113,0.6793719290012513,0.7569227495637432,0.7695035460992907,0.11143944300518133,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.5221410911995447,1.0
Guatemala,Tianjin,0.012087454846474461,0.10145140150678102,0.3746816315781765,0.6793719290012513,0.4816623365831609,0.7695035460992907,0.09508581606217616,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.0,1.0
Trinidad and Tobago,Tianjin,0.0018513328555344634,0.18109665294727856,0.6142138930867495,0.6793719290012513,0.5509754105698538,0.7695035460992907,0.3104355569948186,0.10241984271022384,0.9485534018253284,0.5898063074560513,0.0,1.0
USA,Beijing,1.0,0.4427150947929132,0.8996802729701688,1.0,0.28705165370378527,0.0,0.5289831606217616,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.8852669961571067,41.0
Japan,Beijing,0.32680402451239104,0.394864625012267,0.7373498024110519,1.0,0.5859665317401135,0.0,1.0,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.9203275033899492,12.0
Australia,Beijing,0.11177372809833526,0.6394791167331735,0.8659349643619503,1.0,0.0,0.0,0.5326667746113989,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.8179147052164829,12.0
Singapore,Beijing,0.0245071317876537,0.6511125421560343,0.9157244609191704,1.0,1.0,0.0,0.42814928756476683,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.8578126814611962,20.0
South Korea,Beijing,0.317905047147182,0.9188581094923577,0.7279388095460008,1.0,0.6411953971888407,0.0,0.4683047279792746,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.9226392547540033,17.0
India,Beijing,0.43500548532863476,0.04597112508802246,0.2095868822671873,1.0,0.6201734563910405,0.0,0.14750647668393782,0.16200846944948577,0.8265431786358958,0.5715441263032698,0.6976354955802787,16.0
