province,BA.5,BF.7,DY,EG.5,HK,XBB
Anhui,121.0,359.0,569.0,134.0,57.0,639.0
Beijing,595.0,1065.0,286.0,198.0,57.0,721.0
Chongqing,271.0,9.0,53.0,0.0,0.0,5.0
Fujian,301.0,542.0,775.0,280.0,217.0,748.0
Gansu,63.0,102.0,556.0,291.0,120.0,551.0
Guangdong,196.0,395.0,1161.0,328.0,3.0,3677.0
Guangxi,62.0,161.0,177.0,0.0,0.0,10.0
Guizhou,16.0,17.0,32.0,34.0,9.0,12.0
Hainan,427.0,234.0,240.0,0.0,0.0,1.0
Hebei,66.0,305.0,329.0,0.0,0.0,4.0
Heilongjiang,94.0,336.0,481.0,523.0,138.0,593.0
Henan,240.0,186.0,511.0,284.0,116.0,507.0
Hubei,175.0,155.0,1377.0,476.0,558.0,1426.0
Hunan,23.0,8.0,60.0,0.0,0.0,0.0
Jiangsu,71.0,299.0,240.0,72.0,4.0,851.0
Jiangxi,37.0,107.0,320.0,27.0,0.0,657.0
Jilin,39.0,65.0,86.0,0.0,0.0,0.0
Liaoning,37.0,104.0,174.0,233.0,93.0,168.0
Neimenggu,20.0,135.0,84.0,0.0,0.0,7.0
Ningxia,12.0,16.0,31.0,0.0,0.0,0.0
Qinghai,198.0,29.0,117.0,167.0,42.0,246.0
Shaanxi,38.0,160.0,148.0,0.0,0.0,4.0
Shandong,403.0,605.0,487.0,0.0,0.0,4.0
Shanghai,329.0,461.0,716.0,1841.0,744.0,5378.0
Shanxi,57.0,156.0,179.0,267.0,186.0,429.0
Sichuan,402.0,261.0,265.0,708.0,705.0,1024.0
Tianjin,618.0,183.0,138.0,20.0,2.0,50.0
Xinjiang,375.0,111.0,390.0,511.0,487.0,1087.0
Xizang,0.0,0.0,0.0,0.0,0.0,0.0
Yunnan,206.0,110.0,295.0,934.0,277.0,1388.0
Zhejiang,254.0,428.0,572.0,12.0,0.0,101.0
