,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Beijing,15.0,228.0,95.0,42.0,5.0,11.0,3.0,4.0,12.0,7.0,8.0,3.0,13.0,1.0,3.0,4.0,8.0,4.0,2.0,3.0,1.0,3.0,15.0,12.0,6.0,61.0,57.0,43.0,0.0,9.0,28.0,706.0,228.0,99.0,478.0,379.0
Tianjin,7.0,72.0,13.0,3.0,5.0,4.0,7.0,4.0,0.0,9.0,0.0,24.0,2.0,0.0,1.0,4.0,16.0,1.0,0.0,0.0,1.0,2.0,5.0,20.0,4.0,8.0,404.0,20.0,0.0,1.0,4.0,641.0,404.0,67.0,237.0,170.0
Shanghai,7.0,2.0,11.0,7.0,5.0,3.0,7.0,4.0,4.0,8.0,0.0,42.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,6.0,4.0,11.0,78.0,6.0,30.0,1.0,24.0,0.0,3.0,13.0,288.0,78.0,71.0,210.0,139.0
Shandong,39.0,4.0,13.0,10.0,7.0,6.0,11.0,4.0,9.0,10.0,0.0,9.0,0.0,8.0,12.0,6.0,3.0,4.0,6.0,0.0,0.0,13.0,348.0,9.0,0.0,4.0,3.0,6.0,0.0,1.0,15.0,560.0,348.0,77.0,212.0,135.0
Sichuan,1.0,1.0,91.0,8.0,33.0,1.0,34.0,36.0,6.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,205.0,2.0,41.0,0.0,1.0,14.0,491.0,205.0,243.0,286.0,43.0
Zhejiang,3.0,2.0,40.0,7.0,17.0,2.0,17.0,13.0,1.0,2.0,3.0,8.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,20.0,2.0,2.0,16.0,1.0,16.0,0.0,1.0,79.0,268.0,79.0,151.0,189.0,38.0
Yunnan,2.0,1.0,13.0,2.0,5.0,3.0,5.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,0.0,135.0,6.0,198.0,135.0,27.0,63.0,36.0
Hubei,2.0,1.0,10.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,12.0,114.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,7.0,0.0,0.0,3.0,186.0,114.0,38.0,72.0,34.0
Shanxi,0.0,0.0,15.0,1.0,5.0,0.0,5.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,6.0,0.0,1.0,2.0,66.0,14.0,27.0,52.0,25.0
Hainan,0.0,0.0,16.0,0.0,6.0,12.0,5.0,6.0,374.0,1.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0,1.0,447.0,374.0,54.0,73.0,19.0
Fujian,9.0,0.0,36.0,143.0,11.0,14.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,12.0,1.0,17.0,0.0,1.0,4.0,287.0,143.0,132.0,144.0,12.0
Guangdong,10.0,2.0,19.0,18.0,5.0,181.0,7.0,9.0,4.0,0.0,0.0,1.0,1.0,12.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,5.0,295.0,181.0,103.0,114.0,11.0
Ningxia,0.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,15.0,0.0,7.0,15.0,8.0
Qinghai,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,3.0,223.0,203.0,14.0,20.0,6.0
Neimenggu,5.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,16.0,20.0,4.0
Hunan,0.0,0.0,1.0,3.0,0.0,17.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,0.0,28.0,29.0,1.0
Liaoning,0.0,0.0,6.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,27.0,6.0,20.0,21.0,1.0
Xizang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangxi,6.0,0.0,6.0,0.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,48.0,3.0,47.0,45.0,-2.0
Heilongjiang,0.0,1.0,6.0,0.0,3.0,1.0,3.0,2.0,1.0,0.0,24.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,50.0,24.0,41.0,26.0,-15.0
Jilin,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0,12.0,42.0,21.0,-21.0
Hebei,2.0,0.0,5.0,0.0,2.0,0.0,1.0,3.0,0.0,11.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,41.0,11.0,59.0,30.0,-29.0
Shaanxi,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,11.0,38.0,5.0,-33.0
Jiangsu,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,15.0,45.0,9.0,-36.0
Henan,5.0,0.0,12.0,1.0,4.0,2.0,3.0,6.0,1.0,1.0,11.0,89.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,2.0,4.0,0.0,9.0,0.0,0.0,7.0,180.0,89.0,128.0,91.0,-37.0
Anhui,58.0,0.0,6.0,8.0,2.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,110.0,58.0,125.0,52.0,-73.0
