,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Beijing,119.0,1070.0,3.0,91.0,4.0,43.0,9.0,5.0,72.0,130.0,91.0,58.0,15.0,0.0,56.0,33.0,21.0,30.0,36.0,9.0,2.0,44.0,197.0,41.0,49.0,32.0,72.0,16.0,0.0,15.0,189.0,2552.0,1070.0,558.0,1482.0,924.0
Chongqing,28.0,6.0,1.0,23.0,30.0,20.0,1.0,0.0,22.0,20.0,5.0,3.0,6.0,0.0,27.0,4.0,3.0,7.0,8.0,3.0,1.0,10.0,33.0,15.0,9.0,3.0,9.0,5.0,0.0,8.0,22.0,332.0,1.0,26.0,331.0,305.0
Shandong,32.0,141.0,4.0,23.0,5.0,31.0,25.0,5.0,37.0,53.0,52.0,19.0,9.0,3.0,30.0,6.0,9.0,17.0,11.0,1.0,0.0,12.0,309.0,20.0,28.0,10.0,26.0,26.0,0.0,5.0,67.0,1016.0,309.0,603.0,707.0,104.0
Shanghai,36.0,46.0,0.0,16.0,7.0,16.0,1.0,0.0,11.0,30.0,22.0,9.0,12.0,0.0,9.0,4.0,2.0,9.0,10.0,0.0,0.0,2.0,24.0,279.0,8.0,13.0,5.0,5.0,0.0,4.0,22.0,602.0,279.0,264.0,323.0,59.0
Jilin,8.0,8.0,1.0,2.0,0.0,4.0,1.0,0.0,3.0,14.0,9.0,2.0,5.0,0.0,4.0,2.0,13.0,2.0,2.0,0.0,0.0,2.0,11.0,4.0,4.0,3.0,2.0,2.0,0.0,2.0,5.0,115.0,13.0,60.0,102.0,42.0
Tianjin,15.0,31.0,1.0,9.0,2.0,10.0,2.0,0.0,6.0,41.0,11.0,5.0,3.0,0.0,11.0,3.0,2.0,6.0,8.0,0.0,0.0,13.0,26.0,4.0,6.0,3.0,59.0,7.0,0.0,10.0,24.0,318.0,59.0,220.0,259.0,39.0
Neimenggu,12.0,8.0,2.0,6.0,2.0,13.0,0.0,0.0,4.0,29.0,10.0,3.0,6.0,0.0,5.0,3.0,2.0,5.0,63.0,2.0,0.0,7.0,16.0,12.0,7.0,5.0,5.0,4.0,0.0,5.0,13.0,249.0,63.0,156.0,186.0,30.0
Guizhou,2.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,22.0,3.0,16.0,19.0,3.0
Qinghai,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,22.0,6.0,9.0,3.0
Hubei,9.0,12.0,0.0,6.0,5.0,25.0,3.0,0.0,2.0,15.0,6.0,4.0,96.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,8.0,15.0,4.0,5.0,3.0,2.0,1.0,0.0,1.0,10.0,243.0,96.0,145.0,147.0,2.0
