,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Beijing,86.0,202.0,8.0,57.0,169.0,32.0,16.0,5.0,36.0,120.0,46.0,123.0,49.0,4.0,40.0,37.0,8.0,13.0,27.0,12.0,39.0,28.0,147.0,132.0,54.0,8.0,23.0,32.0,0.0,19.0,53.0,1625.0,202.0,107.0,1423.0,1316.0
Hubei,56.0,6.0,1.0,89.0,5.0,35.0,15.0,7.0,19.0,12.0,10.0,40.0,1074.0,12.0,32.0,51.0,1.0,3.0,5.0,1.0,1.0,13.0,31.0,28.0,0.0,5.0,1.0,10.0,0.0,6.0,98.0,1667.0,1074.0,344.0,593.0,249.0
Tianjin,10.0,15.0,0.0,14.0,7.0,17.0,11.0,3.0,2.0,6.0,3.0,8.0,71.0,1.0,5.0,7.0,1.0,12.0,0.0,0.0,0.0,4.0,13.0,3.0,6.0,7.0,80.0,82.0,0.0,6.0,14.0,408.0,80.0,82.0,328.0,246.0
Guangxi,20.0,2.0,0.0,30.0,3.0,97.0,37.0,4.0,9.0,1.0,13.0,5.0,51.0,19.0,7.0,21.0,3.0,8.0,3.0,0.0,2.0,0.0,8.0,2.0,5.0,6.0,1.0,1.0,0.0,7.0,20.0,385.0,37.0,112.0,348.0,236.0
Jilin,3.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,11.0,1.0,20.0,4.0,1.0,0.0,3.0,2.0,41.0,3.0,2.0,1.0,0.0,0.0,10.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,126.0,41.0,37.0,85.0,48.0
Yunnan,4.0,3.0,2.0,39.0,0.0,16.0,5.0,2.0,19.0,3.0,1.0,3.0,1.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,7.0,1.0,9.0,1.0,5.0,0.0,208.0,22.0,367.0,208.0,112.0,159.0,47.0
Chongqing,5.0,2.0,24.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,15.0,0.0,2.0,0.0,0.0,0.0,9.0,2.0,74.0,24.0,29.0,50.0,21.0
Xizang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ningxia,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,30.0,8.0,26.0,22.0,-4.0
Shanghai,39.0,16.0,1.0,17.0,19.0,24.0,6.0,0.0,11.0,13.0,4.0,6.0,16.0,2.0,21.0,45.0,0.0,1.0,0.0,2.0,4.0,15.0,16.0,371.0,4.0,6.0,5.0,6.0,0.0,1.0,21.0,692.0,371.0,332.0,321.0,-11.0
Sichuan,3.0,1.0,3.0,11.0,5.0,3.0,1.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,5.0,1.0,176.0,3.0,3.0,0.0,6.0,8.0,254.0,176.0,93.0,78.0,-15.0
Guizhou,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,32.0,6.0,-26.0
Hunan,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.0,53.0,25.0,-28.0
Shandong,24.0,11.0,1.0,18.0,7.0,8.0,2.0,1.0,11.0,29.0,9.0,39.0,17.0,2.0,24.0,4.0,2.0,2.0,6.0,3.0,0.0,7.0,171.0,10.0,23.0,3.0,10.0,7.0,0.0,3.0,27.0,481.0,171.0,338.0,310.0,-28.0
Guangdong,6.0,3.0,2.0,39.0,1.0,910.0,45.0,6.0,10.0,6.0,3.0,6.0,30.0,4.0,3.0,44.0,0.0,2.0,0.0,0.0,4.0,1.0,6.0,8.0,5.0,6.0,0.0,1.0,0.0,10.0,10.0,1171.0,910.0,289.0,261.0,-28.0
Neimenggu,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,26.0,64.0,27.0,-37.0
Shaanxi,4.0,0.0,0.0,1.0,13.0,2.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,49.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,4.0,3.0,100.0,49.0,102.0,51.0,-51.0
Qinghai,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,47.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,63.0,47.0,80.0,16.0,-64.0
Shanxi,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,4.0,2.0,7.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,7.0,1.0,53.0,0.0,5.0,1.0,0.0,2.0,3.0,111.0,53.0,126.0,58.0,-68.0
Anhui,235.0,6.0,1.0,19.0,9.0,8.0,0.0,1.0,4.0,8.0,59.0,11.0,13.0,0.0,11.0,9.0,9.0,35.0,5.0,0.0,2.0,3.0,15.0,9.0,3.0,4.0,0.0,7.0,0.0,2.0,17.0,505.0,235.0,354.0,270.0,-84.0
Hainan,3.0,3.0,2.0,2.0,11.0,3.0,2.0,0.0,101.0,3.0,13.0,6.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,0.0,2.0,4.0,190.0,101.0,175.0,89.0,-86.0
Liaoning,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,58.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,77.0,58.0,115.0,19.0,-96.0
Heilongjiang,8.0,7.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,20.0,294.0,8.0,2.0,0.0,8.0,6.0,2.0,8.0,1.0,0.0,2.0,1.0,11.0,2.0,4.0,2.0,5.0,2.0,0.0,6.0,11.0,421.0,294.0,229.0,127.0,-102.0
Zhejiang,19.0,2.0,2.0,22.0,5.0,6.0,2.0,2.0,6.0,9.0,12.0,27.0,43.0,3.0,11.0,16.0,3.0,16.0,4.0,0.0,2.0,3.0,24.0,4.0,2.0,5.0,5.0,4.0,0.0,5.0,214.0,478.0,214.0,387.0,264.0,-123.0
Xinjiang,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,13.0,1.0,212.0,0.0,1.0,1.0,260.0,212.0,198.0,48.0,-150.0
Jiangsu,7.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,2.0,1.0,3.0,59.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,8.0,109.0,59.0,203.0,50.0,-153.0
Jiangxi,5.0,0.0,0.0,5.0,17.0,8.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,0.0,1.0,57.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0,0.0,1.0,1.0,7.0,0.0,2.0,13.0,147.0,57.0,277.0,90.0,-187.0
Fujian,15.0,6.0,3.0,389.0,6.0,8.0,0.0,0.0,9.0,3.0,3.0,4.0,4.0,0.0,5.0,12.0,0.0,3.0,1.0,0.0,5.0,0.0,4.0,69.0,1.0,4.0,0.0,1.0,0.0,12.0,16.0,583.0,389.0,386.0,194.0,-192.0
Hebei,5.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,97.0,5.0,5.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,4.0,3.0,2.0,6.0,2.0,0.0,1.0,6.0,164.0,97.0,260.0,67.0,-193.0
Henan,7.0,4.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,6.0,4.0,189.0,12.0,2.0,6.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,9.0,7.0,2.0,1.0,6.0,11.0,0.0,0.0,9.0,300.0,189.0,325.0,111.0,-214.0
Gansu,5.0,0.0,1.0,4.0,297.0,2.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,5.0,10.0,1.0,5.0,0.0,3.0,1.0,7.0,0.0,1.0,5.0,370.0,297.0,296.0,73.0,-223.0
