,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Shanghai,25.0,40.0,0.0,50.0,41.0,96.0,0.0,5.0,0.0,0.0,94.0,64.0,77.0,0.0,21.0,8.0,0.0,40.0,0.0,0.0,16.0,0.0,0.0,870.0,39.0,185.0,7.0,89.0,0.0,123.0,0.0,1890.0,870.0,403.0,1020.0,617.0
Liaoning,3.0,12.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,0.0,10.0,9.0,7.0,0.0,3.0,0.0,0.0,36.0,0.0,0.0,6.0,0.0,0.0,19.0,13.0,19.0,1.0,16.0,0.0,15.0,0.0,182.0,36.0,89.0,146.0,57.0
Zhejiang,0.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,16.0,2.0,0.0,0.0,2.0,2.0,52.0,2.0,1.0,50.0,49.0
Xinjiang,1.0,39.0,0.0,7.0,14.0,13.0,0.0,0.0,0.0,0.0,12.0,9.0,12.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,21.0,16.0,62.0,3.0,153.0,0.0,26.0,0.0,403.0,153.0,206.0,250.0,44.0
Sichuan,2.0,71.0,0.0,18.0,30.0,58.0,0.0,3.0,0.0,0.0,29.0,31.0,43.0,0.0,30.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,89.0,34.0,306.0,14.0,37.0,0.0,88.0,0.0,902.0,306.0,558.0,596.0,38.0
Hubei,3.0,33.0,0.0,9.0,6.0,15.0,0.0,2.0,0.0,0.0,9.0,12.0,109.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,25.0,12.0,67.0,4.0,8.0,0.0,27.0,0.0,356.0,109.0,212.0,247.0,35.0
Jiangxi,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,31.0,7.0,10.0,24.0,14.0
Shanxi,2.0,24.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,8.0,7.0,16.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,30.0,67.0,41.0,1.0,9.0,0.0,21.0,0.0,248.0,67.0,169.0,181.0,12.0
Ningxia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaanxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
