,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,local,import,export,sink_source
Anhui,323.0,31.0,0.0,54.0,18.0,94.0,1.0,0.0,0.0,0.0,29.0,25.0,79.0,0.0,118.0,51.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,401.0,17.0,38.0,2.0,39.0,0.0,55.0,7.0,1394.0,323.0,225.0,1071.0,846.0
Beijing,18.0,432.0,0.0,26.0,15.0,97.0,0.0,0.0,0.0,0.0,70.0,37.0,43.0,0.0,76.0,13.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,182.0,14.0,23.0,4.0,62.0,0.0,22.0,2.0,1146.0,432.0,345.0,714.0,369.0
Jiangsu,44.0,22.0,0.0,17.0,7.0,106.0,0.0,0.0,0.0,0.0,19.0,12.0,28.0,0.0,315.0,15.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,254.0,10.0,23.0,1.0,24.0,0.0,37.0,1.0,948.0,315.0,462.0,633.0,171.0
Jiangxi,10.0,20.0,0.0,82.0,5.0,141.0,0.0,2.0,0.0,0.0,26.0,12.0,44.0,0.0,8.0,208.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,111.0,8.0,58.0,0.0,16.0,0.0,46.0,1.0,805.0,208.0,428.0,597.0,169.0
Qinghai,4.0,2.0,0.0,4.0,71.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,16.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,167.0,0.0,0.0,19.0,5.0,5.0,0.0,24.0,0.0,19.0,0.0,356.0,167.0,76.0,189.0,113.0
Henan,3.0,20.0,0.0,4.0,12.0,45.0,0.0,0.0,0.0,0.0,19.0,131.0,88.0,0.0,11.0,12.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,91.0,18.0,27.0,1.0,15.0,0.0,28.0,0.0,532.0,131.0,314.0,401.0,87.0
Shanxi,2.0,23.0,0.0,10.0,6.0,40.0,0.0,1.0,0.0,0.0,15.0,20.0,17.0,0.0,5.0,8.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,46.0,134.0,22.0,1.0,12.0,0.0,25.0,0.0,394.0,134.0,197.0,260.0,63.0
Hebei,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,43.0,1.0,0.0,42.0,42.0
Hubei,17.0,27.0,0.0,24.0,36.0,180.0,0.0,0.0,0.0,0.0,42.0,41.0,804.0,0.0,16.0,31.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,142.0,23.0,57.0,0.0,31.0,0.0,95.0,1.0,1588.0,804.0,778.0,784.0,6.0
Guangxi,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,5.0,1.0,3.0,2.0
Shaanxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Hainan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
Jilin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ningxia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
