,Beijing,Tianjin,Chongqing,Guangdong,Sichuan,Shanghai,Yunnan,Zhejiang,Liaoning,Guangxi,Hubei,Jiangxi,Xinjiang,Hunan,Shandong,Anhui,Fujian,Heilongjiang,Shanxi,Hainan,Hebei,Henan,Ningxia,Jiangsu,Guizhou,Shaanxi,Gansu,Neimenggu,Jilin,Qinghai,sum
South Korea,32.0,41.0,12.0,19.0,40.0,28.0,16.0,31.0,8.0,6.0,10.0,6.0,32.0,4.0,53.0,17.0,25.0,8.0,12.0,8.0,4.0,32.0,3.0,20.0,2.0,8.0,2.0,4.0,7.0,2.0,492.0
Singapore,6.0,14.0,84.0,9.0,55.0,6.0,12.0,16.0,3.0,6.0,10.0,3.0,13.0,2.0,16.0,3.0,23.0,8.0,6.0,11.0,5.0,11.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,334.0
USA,52.0,23.0,3.0,6.0,6.0,45.0,15.0,9.0,1.0,2.0,4.0,3.0,10.0,1.0,6.0,4.0,6.0,5.0,1.0,,2.0,3.0,,4.0,,,,,2.0,,213.0
Japan,16.0,9.0,2.0,1.0,5.0,12.0,3.0,6.0,,2.0,,2.0,,1.0,10.0,1.0,3.0,6.0,1.0,,1.0,1.0,,4.0,,1.0,,,2.0,,89.0
Germany,31.0,7.0,4.0,1.0,,12.0,1.0,5.0,,,,,3.0,,1.0,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,72.0
Australia,5.0,2.0,4.0,2.0,,5.0,4.0,3.0,,,,,2.0,1.0,5.0,1.0,1.0,2.0,,1.0,,9.0,,1.0,,,,,1.0,,49.0
United Kingdom,15.0,9.0,4.0,,,13.0,,2.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,47.0
France,17.0,13.0,2.0,,,10.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,46.0
Ireland,13.0,5.0,,,,2.0,,5.0,1.0,1.0,,,,,2.0,2.0,2.0,2.0,,,2.0,,,1.0,,1.0,,,,,39.0
Hong Kong,10.0,3.0,1.0,3.0,,5.0,1.0,,,,2.0,,,,,2.0,,,,1.0,1.0,,,,,,,,1.0,,30.0
Canada,11.0,2.0,,,,9.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,24.0
Russia,18.0,,1.0,,,1.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,24.0
Israel,11.0,3.0,1.0,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,21.0
Denmark,6.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,13.0
Netherlands,2.0,1.0,,1.0,,2.0,,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,11.0
Belgium,5.0,,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,10.0
