,Beijing,Shandong,Guangdong,Tianjin,Anhui,Shanghai,Jiangxi,Jiangsu,Hebei,Hubei,Zhejiang,Fujian,Gansu,Hainan,Heilongjiang,Henan,Shaanxi,Neimenggu,Guangxi,Liaoning,Xinjiang,Yunnan,Guizhou,Shanxi,Qinghai,Jilin,Sichuan,Chongqing,sum
Hong Kong,78.0,27.0,7.0,6.0,18.0,8.0,,7.0,11.0,1.0,21.0,8.0,1.0,6.0,10.0,3.0,6.0,4.0,4.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,,242.0
Japan,29.0,34.0,5.0,2.0,11.0,10.0,6.0,19.0,15.0,6.0,21.0,17.0,3.0,10.0,11.0,6.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,,224.0
South Korea,21.0,17.0,5.0,3.0,5.0,14.0,5.0,12.0,16.0,5.0,7.0,9.0,4.0,3.0,7.0,8.0,8.0,3.0,8.0,7.0,2.0,3.0,,7.0,,6.0,1.0,1.0,187.0
USA,15.0,10.0,1.0,,4.0,20.0,,9.0,4.0,,6.0,7.0,,,3.0,3.0,1.0,,1.0,,1.0,,,2.0,,1.0,1.0,,89.0
Canada,7.0,4.0,5.0,2.0,8.0,1.0,2.0,,3.0,1.0,7.0,9.0,,2.0,2.0,2.0,1.0,2.0,17.0,2.0,,,1.0,1.0,,,1.0,1.0,81.0
France,17.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,57.0
Singapore,1.0,,,,3.0,6.0,,,1.0,2.0,1.0,,,3.0,,1.0,,,1.0,,1.0,,,1.0,,,4.0,,25.0
Australia,1.0,3.0,4.0,,,,,2.0,2.0,,1.0,2.0,,7.0,1.0,,,,,,,,,,,,,,23.0
Germany,2.0,,,,1.0,3.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,10.0
Israel,2.0,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,8.0
Netherlands,1.0,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,7.0
Russia,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
Italy,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,5.0
Denmark,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0
Taiwan,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,4.0
Belgium,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,3.0
Greece,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,3.0
Luxembourg,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,3.0
Iceland,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,2.0
Ireland,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Norway,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Cambodia,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Bangladesh,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0
Switzerland,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
New Zealand,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
United Kingdom,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
