,Shanghai,Beijing,Yunnan,Hubei,Jiangsu,Jiangxi,Shanxi,Sichuan,Fujian,Anhui,Guangdong,Heilongjiang,Gansu,Xinjiang,Liaoning,Henan,Zhejiang,Qinghai,Tianjin,Guizhou,sum
USA,210.0,33.0,117.0,74.0,8.0,4.0,32.0,81.0,55.0,19.0,33.0,59.0,27.0,59.0,34.0,44.0,1.0,15.0,3.0,7.0,915.0
Australia,158.0,10.0,85.0,64.0,9.0,2.0,39.0,94.0,32.0,11.0,13.0,50.0,27.0,44.0,41.0,25.0,2.0,16.0,4.0,3.0,729.0
South Korea,82.0,3.0,29.0,18.0,4.0,1.0,9.0,24.0,6.0,5.0,14.0,17.0,11.0,15.0,10.0,5.0,,9.0,,1.0,263.0
Canada,55.0,7.0,23.0,9.0,7.0,,10.0,27.0,8.0,5.0,9.0,22.0,9.0,11.0,7.0,12.0,,4.0,3.0,1.0,229.0
Japan,58.0,3.0,15.0,11.0,4.0,1.0,7.0,22.0,7.0,3.0,11.0,24.0,6.0,23.0,10.0,6.0,,6.0,,2.0,219.0
Austria,30.0,3.0,34.0,8.0,1.0,1.0,10.0,21.0,4.0,7.0,9.0,23.0,4.0,18.0,5.0,11.0,1.0,5.0,1.0,1.0,197.0
Germany,42.0,7.0,36.0,11.0,,,13.0,21.0,6.0,,13.0,14.0,10.0,11.0,3.0,5.0,1.0,3.0,,,196.0
Luxembourg,24.0,3.0,24.0,19.0,,,7.0,11.0,5.0,3.0,4.0,11.0,8.0,7.0,3.0,8.0,,4.0,,1.0,142.0
Denmark,25.0,5.0,36.0,8.0,1.0,,5.0,10.0,8.0,1.0,5.0,5.0,1.0,10.0,6.0,4.0,1.0,,,,131.0
Singapore,29.0,2.0,4.0,5.0,,,2.0,6.0,12.0,5.0,3.0,3.0,2.0,5.0,1.0,12.0,1.0,3.0,,,95.0
United Kingdom,23.0,3.0,9.0,7.0,1.0,,5.0,8.0,2.0,1.0,3.0,1.0,1.0,9.0,10.0,3.0,,4.0,1.0,,91.0
France,22.0,,4.0,4.0,2.0,,1.0,3.0,2.0,2.0,3.0,3.0,,4.0,1.0,2.0,,1.0,,1.0,55.0
Italy,12.0,3.0,6.0,5.0,,,2.0,6.0,1.0,,,3.0,,3.0,2.0,1.0,,,,,44.0
Hong Kong,4.0,,6.0,3.0,,,1.0,,2.0,1.0,15.0,,,2.0,2.0,,,1.0,,,37.0
Netherlands,7.0,,4.0,1.0,3.0,,,3.0,,1.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,,,34.0
Indonesia,8.0,,11.0,1.0,,,2.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,1.0,,,,32.0
Spain,9.0,1.0,1.0,2.0,1.0,1.0,,,1.0,,,7.0,,3.0,,,,2.0,,3.0,31.0
Poland,3.0,1.0,3.0,1.0,,,,3.0,1.0,,2.0,5.0,,1.0,,,,,,,20.0
Belgium,3.0,,5.0,,,,,1.0,3.0,,1.0,1.0,2.0,,,,,,,,16.0
Switzerland,1.0,3.0,3.0,3.0,,,1.0,,,,2.0,,,,1.0,,,,,,14.0
Ireland,6.0,,,1.0,1.0,,,2.0,1.0,,,1.0,,1.0,,,,,,,13.0
Albania,3.0,,2.0,,,,1.0,,,,2.0,,,1.0,,3.0,,,,,12.0
Sweden,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,9.0
Greece,1.0,,3.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,,,8.0
Malaysia,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,5.0
Norway,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,5.0
New Zealand,1.0,,,,,,,,,,1.0,2.0,,,1.0,,,,,,5.0
Thailand,2.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,5.0
Israel,1.0,,1.0,,,,,,,,,,,2.0,1.0,,,,,,5.0
Canary Islands,1.0,,2.0,,,,,,,,,,,,,,,,,,3.0
Taiwan,2.0,,,,,,,,,,,,,,,,,,,,2.0
Croatia,1.0,,,,,,,,,,1.0,,,,,,,,,,2.0
Kenya,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0
Russia,1.0,,,,,,,,,,,,,,,,,,,,1.0
Finland,,1.0,,,,,,,,,,,,,,,,,,,1.0
Brazil,,,,,,,,,,,1.0,,,,,,,,,,1.0
Portugal,,,,,,,,,,,,,,1.0,,,,,,,1.0
Puerto Rico,1.0,,,,,,,,,,,,,,,,,,,,1.0
Chile,,,1.0,,,,,,,,,,,,,,,,,,1.0
South Africa,1.0,,,,,,,,,,,,,,,,,,,,1.0
