,Chongqing,Tianjin,Beijing,Shanghai,Shaanxi,Heilongjiang,Neimenggu,Xinjiang,Jiangxi,Guangdong,Yunnan,Zhejiang,Gansu,Anhui,Jiangsu,Fujian,Qinghai,Sichuan,Hubei,Shanxi,Henan,Liaoning,Shandong,Hainan,Guizhou,Guangxi,Hebei,sum
USA,,1.0,41.0,716.0,,39.0,,76.0,57.0,290.0,89.0,10.0,89.0,31.0,74.0,43.0,12.0,36.0,55.0,26.0,39.0,17.0,,1.0,2.0,,,1744.0
Japan,,1.0,12.0,250.0,,23.0,,14.0,32.0,257.0,56.0,2.0,27.0,17.0,31.0,39.0,6.0,15.0,46.0,12.0,11.0,6.0,,,,,2.0,859.0
Australia,,,12.0,104.0,,15.0,,30.0,16.0,172.0,53.0,2.0,3.0,6.0,17.0,23.0,3.0,38.0,61.0,21.0,11.0,3.0,,,,,,590.0
Singapore,4.0,5.0,20.0,127.0,,10.0,,5.0,13.0,132.0,49.0,4.0,11.0,7.0,16.0,24.0,3.0,32.0,27.0,30.0,13.0,3.0,,,,,,535.0
South Korea,,2.0,17.0,187.0,,10.0,,12.0,10.0,64.0,40.0,2.0,9.0,17.0,27.0,10.0,1.0,20.0,36.0,12.0,8.0,7.0,2.0,,,,,493.0
India,,3.0,16.0,124.0,,12.0,1.0,11.0,14.0,136.0,60.0,1.0,9.0,3.0,9.0,25.0,3.0,15.0,21.0,9.0,9.0,3.0,,,,,,484.0
United Kingdom,,,13.0,73.0,,6.0,,10.0,6.0,104.0,24.0,5.0,9.0,3.0,8.0,10.0,7.0,13.0,11.0,3.0,3.0,5.0,,,,,,313.0
Malaysia,,2.0,15.0,101.0,,8.0,,15.0,4.0,55.0,23.0,3.0,2.0,3.0,14.0,12.0,2.0,16.0,13.0,5.0,8.0,4.0,,,,,,305.0
Hong Kong,,,3.0,37.0,,2.0,,4.0,5.0,185.0,8.0,,3.0,4.0,3.0,11.0,4.0,7.0,9.0,7.0,3.0,,,,,,,295.0
Indonesia,,1.0,6.0,38.0,,4.0,,7.0,4.0,74.0,47.0,1.0,6.0,5.0,3.0,14.0,3.0,11.0,12.0,5.0,11.0,1.0,,,2.0,1.0,,256.0
Germany,,1.0,20.0,41.0,1.0,8.0,1.0,1.0,8.0,36.0,21.0,2.0,1.0,6.0,5.0,7.0,1.0,30.0,14.0,3.0,10.0,3.0,,,,,1.0,221.0
Canada,,1.0,6.0,52.0,,12.0,,5.0,2.0,25.0,11.0,,2.0,7.0,6.0,4.0,,5.0,19.0,6.0,7.0,4.0,,,,,,174.0
Brazil,,1.0,2.0,51.0,,2.0,,2.0,,10.0,8.0,2.0,2.0,31.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,,,,,,,130.0
Luxembourg,,,4.0,23.0,,1.0,,5.0,1.0,17.0,12.0,,5.0,8.0,3.0,6.0,2.0,6.0,11.0,3.0,14.0,,,,,,,121.0
Sweden,,3.0,4.0,17.0,,2.0,,2.0,2.0,24.0,6.0,1.0,,,1.0,4.0,1.0,23.0,5.0,3.0,2.0,,,,1.0,1.0,,102.0
France,,,6.0,33.0,,1.0,,1.0,2.0,13.0,10.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,6.0,3.0,3.0,,,,,1.0,,95.0
Thailand,,,1.0,32.0,,,,1.0,5.0,19.0,19.0,,,,5.0,1.0,,4.0,3.0,,1.0,1.0,,,,,,92.0
Austria,,,7.0,31.0,1.0,4.0,,9.0,4.0,13.0,4.0,1.0,,2.0,4.0,3.0,2.0,1.0,,,,3.0,,,,,,89.0
South Africa,,,1.0,14.0,,2.0,,2.0,4.0,21.0,7.0,1.0,1.0,,2.0,4.0,,1.0,3.0,1.0,3.0,,,,,,,67.0
New Zealand,,1.0,1.0,21.0,,8.0,,,1.0,16.0,5.0,,,,1.0,1.0,,2.0,3.0,2.0,,,,,,,,62.0
Russia,,,,21.0,1.0,3.0,,4.0,,6.0,4.0,2.0,1.0,3.0,1.0,4.0,,1.0,3.0,1.0,2.0,,,,,,,57.0
Vietnam,,,,22.0,,,,1.0,1.0,12.0,9.0,,,1.0,1.0,,,2.0,3.0,,,2.0,,,,1.0,,55.0
Belgium,,,5.0,14.0,,3.0,,2.0,2.0,6.0,1.0,1.0,,,2.0,3.0,,2.0,3.0,2.0,4.0,1.0,,,,,,51.0
Netherlands,,,3.0,16.0,,,,,1.0,14.0,4.0,,2.0,1.0,,,,1.0,2.0,,,,,,,,,44.0
Denmark,,,3.0,13.0,,1.0,,,1.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,,,,,36.0
Spain,,,,19.0,,1.0,,,,6.0,1.0,2.0,,,,1.0,,,3.0,,1.0,,,,,,,34.0
Finland,,,,14.0,,6.0,,4.0,,4.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,33.0
Taiwan,,,,7.0,,,,,,4.0,1.0,,1.0,,,1.0,1.0,2.0,6.0,1.0,,,,,,,,24.0
Bangladesh,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,,,,,,,,,,,,,,,,,22.0
Israel,,,,5.0,,3.0,,,,2.0,4.0,1.0,1.0,,,1.0,,4.0,1.0,,,,,,,,,22.0
Greece,,,,8.0,,1.0,,,1.0,3.0,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,18.0
Italy,,,3.0,4.0,,1.0,,,,3.0,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,16.0
Pakistan,,,1.0,3.0,,,,1.0,,3.0,,,3.0,,,,,,5.0,,,,,,,,,16.0
Ireland,,,1.0,7.0,,1.0,,,,5.0,1.0,,,,1.0,,,,,,,,,,,,,16.0
Switzerland,,,2.0,4.0,,2.0,,1.0,,1.0,1.0,,,,,1.0,,2.0,,,,1.0,,,,,,15.0
Brunei,,,,5.0,,,,,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,13.0
Philippines,,,,4.0,,,,,,3.0,,,,,,5.0,,,,,,,,,,,,12.0
Norway,,,,2.0,,,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,11.0
Oman,,,,3.0,,1.0,,,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,10.0
Bahrain,,,,3.0,,,,,,3.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,10.0
Reunion,,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,2.0,1.0,,,,,1.0,,,9.0
Kenya,,,,2.0,,,,,,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,8.0
Chile,,,,1.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,7.0
