source,target,value,group
0,10,32.0,01_South Korea
0,11,28.0,01_South Korea
0,12,41.0,01_South Korea
0,13,12.0,01_South Korea
0,14,40.0,01_South Korea
0,15,31.0,01_South Korea
0,16,53.0,01_South Korea
0,17,32.0,01_South Korea
0,18,25.0,01_South Korea
0,19,32.0,01_South Korea
1,10,6.0,02_Singapore
1,11,6.0,02_Singapore
1,12,14.0,02_Singapore
1,13,84.0,02_Singapore
1,14,55.0,02_Singapore
1,15,16.0,02_Singapore
1,16,16.0,02_Singapore
1,17,13.0,02_Singapore
1,18,23.0,02_Singapore
1,19,11.0,02_Singapore
2,10,52.0,03_USA
2,11,45.0,03_USA
2,12,23.0,03_USA
2,13,3.0,03_USA
2,14,6.0,03_USA
2,15,9.0,03_USA
2,16,6.0,03_USA
2,17,10.0,03_USA
2,18,6.0,03_USA
2,19,3.0,03_USA
3,10,16.0,04_Japan
3,11,12.0,04_Japan
3,12,9.0,04_Japan
3,13,2.0,04_Japan
3,14,5.0,04_Japan
3,15,6.0,04_Japan
3,16,10.0,04_Japan
3,18,3.0,04_Japan
3,19,1.0,04_Japan
4,10,31.0,05_Germany
4,11,12.0,05_Germany
4,12,7.0,05_Germany
4,13,4.0,05_Germany
4,15,5.0,05_Germany
4,16,1.0,05_Germany
4,17,3.0,05_Germany
5,10,5.0,06_Australia
5,11,5.0,06_Australia
5,12,2.0,06_Australia
5,13,4.0,06_Australia
5,15,3.0,06_Australia
5,16,5.0,06_Australia
5,17,2.0,06_Australia
5,18,1.0,06_Australia
5,19,9.0,06_Australia
6,10,15.0,07_United Kingdom
6,11,13.0,07_United Kingdom
6,12,9.0,07_United Kingdom
6,13,4.0,07_United Kingdom
6,15,2.0,07_United Kingdom
6,16,1.0,07_United Kingdom
6,17,1.0,07_United Kingdom
7,10,17.0,08_France
7,11,10.0,08_France
7,12,13.0,08_France
7,13,2.0,08_France
7,15,3.0,08_France
8,10,13.0,09_Ireland
8,11,2.0,09_Ireland
8,12,5.0,09_Ireland
8,15,5.0,09_Ireland
8,16,2.0,09_Ireland
8,18,2.0,09_Ireland
9,10,10.0,10_Hong Kong
9,11,5.0,10_Hong Kong
9,12,3.0,10_Hong Kong
9,13,1.0,10_Hong Kong
