source,target,value,group
0,10,78.0,01_Hong Kong
0,11,27.0,01_Hong Kong
0,12,8.0,01_Hong Kong
0,13,21.0,01_Hong Kong
0,14,11.0,01_Hong Kong
0,15,18.0,01_Hong Kong
0,16,8.0,01_Hong Kong
0,17,7.0,01_Hong Kong
0,18,6.0,01_Hong Kong
0,19,10.0,01_Hong Kong
1,10,29.0,02_Japan
1,11,34.0,02_Japan
1,12,10.0,02_Japan
1,13,21.0,02_Japan
1,14,15.0,02_Japan
1,15,11.0,02_Japan
1,16,17.0,02_Japan
1,17,19.0,02_Japan
1,18,10.0,02_Japan
1,19,11.0,02_Japan
2,10,21.0,03_South Korea
2,11,17.0,03_South Korea
2,12,14.0,03_South Korea
2,13,7.0,03_South Korea
2,14,16.0,03_South Korea
2,15,5.0,03_South Korea
2,16,9.0,03_South Korea
2,17,12.0,03_South Korea
2,18,3.0,03_South Korea
2,19,7.0,03_South Korea
3,10,15.0,04_USA
3,11,10.0,04_USA
3,12,20.0,04_USA
3,13,6.0,04_USA
3,14,4.0,04_USA
3,15,4.0,04_USA
3,16,7.0,04_USA
3,17,9.0,04_USA
3,19,3.0,04_USA
4,10,7.0,05_Canada
4,11,4.0,05_Canada
4,12,1.0,05_Canada
4,13,7.0,05_Canada
4,14,3.0,05_Canada
4,15,8.0,05_Canada
4,16,9.0,05_Canada
4,18,2.0,05_Canada
4,19,2.0,05_Canada
5,10,17.0,06_France
5,11,5.0,06_France
5,12,4.0,06_France
5,13,1.0,06_France
5,14,2.0,06_France
5,15,2.0,06_France
5,16,1.0,06_France
5,17,2.0,06_France
5,18,3.0,06_France
5,19,1.0,06_France
6,10,1.0,07_Singapore
6,12,6.0,07_Singapore
6,13,1.0,07_Singapore
6,14,1.0,07_Singapore
6,15,3.0,07_Singapore
6,18,3.0,07_Singapore
7,10,1.0,08_Australia
7,11,3.0,08_Australia
7,13,1.0,08_Australia
7,14,2.0,08_Australia
7,16,2.0,08_Australia
7,17,2.0,08_Australia
7,18,7.0,08_Australia
7,19,1.0,08_Australia
8,10,2.0,09_Germany
8,12,3.0,09_Germany
8,14,1.0,09_Germany
8,15,1.0,09_Germany
8,18,1.0,09_Germany
9,10,2.0,10_Israel
9,11,1.0,10_Israel
9,14,1.0,10_Israel
9,15,1.0,10_Israel
9,19,1.0,10_Israel
