source,target,value,group
0,10,210.0,01_USA
0,11,117.0,01_USA
0,12,81.0,01_USA
0,13,74.0,01_USA
0,14,59.0,01_USA
0,15,59.0,01_USA
0,16,55.0,01_USA
0,17,33.0,01_USA
0,18,32.0,01_USA
0,19,44.0,01_USA
1,10,158.0,02_Australia
1,11,85.0,02_Australia
1,12,94.0,02_Australia
1,13,64.0,02_Australia
1,14,50.0,02_Australia
1,15,44.0,02_Australia
1,16,32.0,02_Australia
1,17,13.0,02_Australia
1,18,39.0,02_Australia
1,19,25.0,02_Australia
2,10,82.0,03_South Korea
2,11,29.0,03_South Korea
2,12,24.0,03_South Korea
2,13,18.0,03_South Korea
2,14,17.0,03_South Korea
2,15,15.0,03_South Korea
2,16,6.0,03_South Korea
2,17,14.0,03_South Korea
2,18,9.0,03_South Korea
2,19,5.0,03_South Korea
3,10,55.0,04_Canada
3,11,23.0,04_Canada
3,12,27.0,04_Canada
3,13,9.0,04_Canada
3,14,22.0,04_Canada
3,15,11.0,04_Canada
3,16,8.0,04_Canada
3,17,9.0,04_Canada
3,18,10.0,04_Canada
3,19,12.0,04_Canada
4,10,58.0,05_Japan
4,11,15.0,05_Japan
4,12,22.0,05_Japan
4,13,11.0,05_Japan
4,14,24.0,05_Japan
4,15,23.0,05_Japan
4,16,7.0,05_Japan
4,17,11.0,05_Japan
4,18,7.0,05_Japan
4,19,6.0,05_Japan
5,10,30.0,06_Austria
5,11,34.0,06_Austria
5,12,21.0,06_Austria
5,13,8.0,06_Austria
5,14,23.0,06_Austria
5,15,18.0,06_Austria
5,16,4.0,06_Austria
5,17,9.0,06_Austria
5,18,10.0,06_Austria
5,19,11.0,06_Austria
6,10,42.0,07_Germany
6,11,36.0,07_Germany
6,12,21.0,07_Germany
6,13,11.0,07_Germany
6,14,14.0,07_Germany
6,15,11.0,07_Germany
6,16,6.0,07_Germany
6,17,13.0,07_Germany
6,18,13.0,07_Germany
6,19,5.0,07_Germany
7,10,24.0,08_Luxembourg
7,11,24.0,08_Luxembourg
7,12,11.0,08_Luxembourg
7,13,19.0,08_Luxembourg
7,14,11.0,08_Luxembourg
7,15,7.0,08_Luxembourg
7,16,5.0,08_Luxembourg
7,17,4.0,08_Luxembourg
7,18,7.0,08_Luxembourg
7,19,8.0,08_Luxembourg
8,10,25.0,09_Denmark
8,11,36.0,09_Denmark
8,12,10.0,09_Denmark
8,13,8.0,09_Denmark
8,14,5.0,09_Denmark
8,15,10.0,09_Denmark
8,16,8.0,09_Denmark
8,17,5.0,09_Denmark
8,18,5.0,09_Denmark
8,19,4.0,09_Denmark
9,10,29.0,10_Singapore
9,11,4.0,10_Singapore
9,12,6.0,10_Singapore
9,13,5.0,10_Singapore
9,14,3.0,10_Singapore
9,15,5.0,10_Singapore
9,16,12.0,10_Singapore
9,17,3.0,10_Singapore
9,18,2.0,10_Singapore
9,19,12.0,10_Singapore
