source,target,value,group
0,10,716.0,01_USA
0,11,290.0,01_USA
0,12,89.0,01_USA
0,13,55.0,01_USA
0,14,36.0,01_USA
0,15,43.0,01_USA
0,16,74.0,01_USA
0,17,76.0,01_USA
0,18,41.0,01_USA
0,19,57.0,01_USA
1,10,250.0,02_Japan
1,11,257.0,02_Japan
1,12,56.0,02_Japan
1,13,46.0,02_Japan
1,14,15.0,02_Japan
1,15,39.0,02_Japan
1,16,31.0,02_Japan
1,17,14.0,02_Japan
1,18,12.0,02_Japan
1,19,32.0,02_Japan
2,10,104.0,03_Australia
2,11,172.0,03_Australia
2,12,53.0,03_Australia
2,13,61.0,03_Australia
2,14,38.0,03_Australia
2,15,23.0,03_Australia
2,16,17.0,03_Australia
2,17,30.0,03_Australia
2,18,12.0,03_Australia
2,19,16.0,03_Australia
3,10,127.0,04_Singapore
3,11,132.0,04_Singapore
3,12,49.0,04_Singapore
3,13,27.0,04_Singapore
3,14,32.0,04_Singapore
3,15,24.0,04_Singapore
3,16,16.0,04_Singapore
3,17,5.0,04_Singapore
3,18,20.0,04_Singapore
3,19,13.0,04_Singapore
4,10,187.0,05_South Korea
4,11,64.0,05_South Korea
4,12,40.0,05_South Korea
4,13,36.0,05_South Korea
4,14,20.0,05_South Korea
4,15,10.0,05_South Korea
4,16,27.0,05_South Korea
4,17,12.0,05_South Korea
4,18,17.0,05_South Korea
4,19,10.0,05_South Korea
5,10,124.0,06_India
5,11,136.0,06_India
5,12,60.0,06_India
5,13,21.0,06_India
5,14,15.0,06_India
5,15,25.0,06_India
5,16,9.0,06_India
5,17,11.0,06_India
5,18,16.0,06_India
5,19,14.0,06_India
6,10,73.0,07_United Kingdom
6,11,104.0,07_United Kingdom
6,12,24.0,07_United Kingdom
6,13,11.0,07_United Kingdom
6,14,13.0,07_United Kingdom
6,15,10.0,07_United Kingdom
6,16,8.0,07_United Kingdom
6,17,10.0,07_United Kingdom
6,18,13.0,07_United Kingdom
6,19,6.0,07_United Kingdom
7,10,101.0,08_Malaysia
7,11,55.0,08_Malaysia
7,12,23.0,08_Malaysia
7,13,13.0,08_Malaysia
7,14,16.0,08_Malaysia
7,15,12.0,08_Malaysia
7,16,14.0,08_Malaysia
7,17,15.0,08_Malaysia
7,18,15.0,08_Malaysia
7,19,4.0,08_Malaysia
8,10,37.0,09_Hong Kong
8,11,185.0,09_Hong Kong
8,12,8.0,09_Hong Kong
8,13,9.0,09_Hong Kong
8,14,7.0,09_Hong Kong
8,15,11.0,09_Hong Kong
8,16,3.0,09_Hong Kong
8,17,4.0,09_Hong Kong
8,18,3.0,09_Hong Kong
8,19,5.0,09_Hong Kong
9,10,38.0,10_Indonesia
9,11,74.0,10_Indonesia
9,12,47.0,10_Indonesia
9,13,12.0,10_Indonesia
9,14,11.0,10_Indonesia
9,15,14.0,10_Indonesia
9,16,3.0,10_Indonesia
9,17,7.0,10_Indonesia
9,18,6.0,10_Indonesia
9,19,4.0,10_Indonesia
