,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.010327598204027174,0.02559258696473416,-0.4035386582160804,0.6865520016341373,-0.060488146926115385,0.039832950518061044
GDP per capita,0.05138394899637133,0.024733844028584837,2.077475257666663,0.037757716543472146,0.0029065055011139734,0.09986139249162869
Pop density,-0.009991623606950308,0.0161318395892208,-0.6193728589780084,0.5356707567238481,-0.041609448206200494,0.02162620099229988
Temperature,0.021338112532733516,0.021304365386825036,1.0015840484002096,0.3165445283397167,-0.020417676338925293,0.06309390140439233
Humidity,0.009556776405053449,0.025434877220438766,0.3757351105816971,0.7071138328228355,-0.04029466689820477,0.05940821970831167
Longitude,-0.03213903650449257,0.023518637871415667,-1.3665347746841263,0.17177117377923656,-0.07823471969790703,0.013956646688921895
Latitude,0.04401656126775545,0.024455644202800313,1.7998528643426739,0.07188387406944616,-0.003915620588458922,0.09194874312396983
Train (Out),0.017867522133189043,0.01648967321654528,1.0835582912135133,0.2785606922808752,-0.01445164348807446,0.05018668775445255
Air traffic (BC),0.036860634322837975,0.01770498188627991,2.0819357263168015,0.03734834095037307,0.002159507478795321,0.07156176116688062
Overseas air traffic (In),0.11676959703025865,0.04268329764269957,2.7357210777792513,0.006224376000244227,0.03311187090916411,0.2004273231513532
