,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-1.5276364634604356,0.27048833714873993,-5.647698084004255,1.6261042401437322e-08,-2.0577838625100933,-0.9974890644107778
Cases (O),1.2145516575674458,0.19357806080027504,6.2742216372368995,3.5138766814899517e-10,0.8351456302018019,1.5939576849330896
Cases per million (O),1.2384337723556809,0.20697304682808268,5.9835509566825715,2.1832469154743756e-09,0.8327740548021167,1.644093489909245
GDP per capita (O),0.815981529184296,0.29069718036024744,2.806981231029101,0.005000815533131825,0.24622552527086672,1.3857375330977253
GDP per capita (D),0.3565494986171798,0.21156150874556826,1.6853231040528243,0.09192625050748204,-0.0581034390390896,0.7712024362734493
Pop density (O),0.8909509423580333,0.19167867012041812,4.648148600980547,3.3492759935518423e-06,0.51526765231748,1.2666342323985866
Pop density (D),0.307441072064426,0.17209426181842535,1.7864690479267895,0.07402334446948591,-0.029857483045694244,0.6447396271745462
Age upper 65 (O),-1.0585108464167843,0.23980450786095361,-4.4140573330278805,1.0145107242148037e-05,-1.5285190451546056,-0.588502647678963
Age upper 65 (D),-0.27026743780567397,0.1883071761312812,-1.4352476807216998,0.15121653085726333,-0.6393427210534257,0.09880784544207771
Temperature (O),0.23218210555444724,0.292095402631116,0.7948844913785494,0.42668069637159767,-0.34031436365226625,0.8046785747611607
Humidity (O),-0.6052003716941636,0.23306543916851105,-2.5966971930857214,0.009412486080478516,-1.062000238505456,-0.14840050488287115
International travel,1.8923549949973348,0.23569212193120503,8.028927651428607,9.832831883846555e-16,1.4304069245723499,2.35430306542232
