,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.1867652390549961,0.6376878604672795,-0.2928787744495243,0.7696148133497732,-1.4366104789492673,1.0630800008392751
Cases (O),0.5959205017888611,0.2633194734990095,2.2631083598574135,0.023629010347451268,0.07982381730275323,1.112017186274969
Cases per million (O),-0.2617323140821063,0.2053398410823699,-1.2746299631989835,0.20244024686078976,-0.6641910071947295,0.14072637903051693
GDP per capita (O),-0.5366702283914522,0.5891633315494045,-0.9109022908470833,0.3623468585360756,-1.691409139239916,0.6180686824570116
GDP per capita (D),0.1790698700624785,0.3109739464890913,0.575835603220735,0.5647263060582752,-0.43042786518642645,0.7885676053113835
Pop density (O),0.41522802804959885,0.2323324584491177,1.7872148851751442,0.07390276440086829,-0.04013522295032046,0.8705912790495182
Pop density (D),-0.20767071158159597,0.2418350707791145,-0.85872868195894,0.39049022245681464,-0.6816587405073552,0.2663173173441633
Age upper 65 (O),0.4582128616275276,0.33039700159470714,1.3868553873549077,0.165485863865658,-0.18935336209812115,1.1057790853531764
Age upper 65 (D),0.3758846605931272,0.24494187927412223,1.5345871506622302,0.12488527090231025,-0.10419260108971029,0.8559619222759647
Temperature (O),0.3314105101087597,0.3491066953705115,0.9493100948895564,0.3424629207751059,-0.3528260395792388,1.0156470597967582
Humidity (O),-0.183343637044818,0.24057005661022263,-0.7621216024481208,0.44598743083610126,-0.6548522837596162,0.2881650096699803
International travel,1.4033562588976618,0.3968704981178228,3.5360558810824827,0.00040614877124003646,0.6255043760602578,2.1812081417350657
