,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.12771856951080557,0.3753066337542146,-0.3403045883661291,0.7336271621304422,-0.8633060548280307,0.6078689158064197
Cases (O),0.015777220109996687,0.2513482978542932,0.06277034793823331,0.9499493782074617,-0.4768563912598641,0.5084108314798574
Cases per million (O),0.9686837831766014,0.2554367093212834,3.792265355087274,0.0001492792779238208,0.4680370325774593,1.4693305337757434
GDP per capita (O),-0.8884632317464216,0.3892279797546273,-2.2826294047681683,0.022452207366576975,-1.6513360538407764,-0.1255904096520668
GDP per capita (D),-0.2840274448858699,0.2965910254944101,-0.9576400513549019,0.3382442957270171,-0.8653351729927146,0.29728028322097483
Pop density (O),0.5392993711908838,0.23109213031743878,2.3336985575842735,0.01961151167710532,0.08636711865806707,0.9922316237237006
Pop density (D),0.5350461235312907,0.25277877031336254,2.1166576721138783,0.03428891165438088,0.039608837660777496,1.0304834094018038
Age upper 65 (O),0.03267485494505662,0.28228879966550063,0.11574973921662791,0.9078508849557235,-0.5206010256383671,0.5859507355284803
Age upper 65 (D),0.495685277891808,0.24003231893375457,2.065077236655827,0.038915692872188996,0.025230577656017328,0.9661399781275987
Temperature (O),0.19111087593889586,0.3494087122353556,0.5469550965580015,0.5844095819415029,-0.49371761592692076,0.8759393678047125
Humidity (O),-0.3074271568518039,0.32575645402612663,-0.9437331265496502,0.3453060413791168,-0.9458980744744899,0.33104376077088216
International travel,1.468893592593449,0.3397472679562358,4.3234890494620934,1.535807647556262e-05,0.8030011835533477,2.1347860016335503
