,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-0.9722771483042582,0.342211437551357,-2.8411591244911114,0.004494987756939548,-1.6429992410025958,-0.30155505560592055
Cases (O),0.9275671062586079,0.23261434624313615,3.9875748045612127,6.675216040646672e-05,0.47165136533473107,1.383482847182485
Cases per million (O),0.7950902348278999,0.24582733885448474,3.234344229298867,0.001219224086052209,0.3132775042577859,1.2769029653980137
GDP per capita (O),0.568734022580539,0.29142878525916344,1.9515368808704738,0.05099321340133287,-0.002455900585678794,1.1399239457467567
GDP per capita (D),-0.48474865518810517,0.3420871959631363,-1.4170324435070123,0.1564734421895872,-1.155227238848148,0.1857299284719377
Pop density (O),-0.6764301560848026,0.2404876283719513,-2.8127440927588956,0.0049120726213477935,-1.14777724642128,-0.2050830657483252
Pop density (D),0.8843292751722249,0.2670997721308145,3.3108574676698592,0.0009301057073403514,0.36082334151697326,1.4078352088274766
Age upper 65 (O),-0.8314888233357823,0.3092348540686608,-2.688858685868454,0.007169676349868775,-1.4375780000748568,-0.22539964659670775
Age upper 65 (D),0.09630745776126948,0.25700765225872535,0.3747260321428809,0.7078642298053807,-0.40741828441702643,0.6000331999395654
Temperature (O),0.15476258529972173,0.3562525559989157,0.43441817523462983,0.6639848017653719,-0.5434795938584918,0.8530047644579353
Humidity (O),-0.3422012026357289,0.24562127560167324,-1.3932066829205805,0.16355729946357056,-0.8236100566517952,0.13920765138033736
International travel,2.850988613022298,0.37482352530608415,7.606215780330639,2.8223792114731363e-14,2.1163480028640356,3.58562922318056
