,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-1.6830067805936682,0.2719600731544507,-6.1884333279976005,6.076509827294794e-10,-2.21603872920927,-1.1499748319780663
Cases (O),2.134917979220818,0.21407126243014188,9.97293123320328,2.002305380555593e-23,1.7153460147327175,2.5544899437089184
Cases per million (O),-0.4746752756433973,0.20634513687351386,-2.300394779521096,0.021425864326097225,-0.8791043123004723,-0.07024623898632226
GDP per capita (O),1.729744776427363,0.30647256619191193,5.644044417809989,1.661011910092401e-08,1.1290695844416478,2.330419968413078
GDP per capita (D),-0.047335320890607345,0.2380964632504269,-0.1988073247472838,0.8424134660468128,-0.5139958137078087,0.41932517192659396
Pop density (O),0.30475789903365735,0.2003637058885857,1.5210234692061502,0.1282539478880767,-0.08794774831694657,0.6974635463842613
Pop density (D),0.9251111414979674,0.20914875349009235,4.423220918415806,9.724021837011925e-06,0.5151871172459404,1.3350351657499944
Age upper 65 (O),-0.7749039378003904,0.2427062689013795,-3.1927644115169618,0.0014091786433437182,-1.250599483669188,-0.29920839193159277
Age upper 65 (D),-0.191723738934148,0.19657586960149806,-0.9753167533879598,0.329403162680435,-0.5770053635827262,0.19355788571443022
Temperature (O),0.18622205271883588,0.2613624601502395,0.7125049734066227,0.47615213282012925,-0.32603895608641864,0.6984830615240903
Humidity (O),0.1459932073728374,0.21507541275270667,0.6788000799547466,0.4972645431277912,-0.2755468555825543,0.5675332703282291
International travel,2.645826656036313,0.23903377874501297,11.068840018877514,1.776856573026351e-28,2.1773290586075715,3.114324253465054
