,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hubei,Hunan,Jiangsu,Jiangxi,Jilin,Liaoning,Neimenggu,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Xinjiang,Xizang,Yunnan,Zhejiang,sum,seqnum,local,import,export,sink_source
Beijing,3.0,7.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,7.0,4.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,5.0,69.0,30,7.0,9.0,62.0,53.0
Neimenggu,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,8.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,6.0,6.0,2.0,2.0,0.0,9.0,1.0,0.0,4.0,1.0,67.0,27,7.0,13.0,60.0,47.0
Chongqing,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,2.0,37.0,3,0.0,1.0,37.0,36.0
Zhejiang,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,31.0,30,2.0,17.0,29.0,12.0
Anhui,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,24.0,30,2.0,10.0,22.0,12.0
Shandong,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,18.0,30,2.0,14.0,16.0,2.0
Shaanxi,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,30,3.0,16.0,13.0,-3.0
Yunnan,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,17.0,30,5.0,18.0,12.0,-6.0
Guangxi,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,18,3.0,10.0,11.0,1.0
Tianjin,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,13.0,30,2.0,18.0,11.0,-7.0
Hubei,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,16.0,26,5.0,14.0,11.0,-3.0
Shanxi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,22,3.0,13.0,9.0,-4.0
Heilongjiang,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,30,2.0,18.0,8.0,-10.0
Jiangsu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,30,1.0,20.0,8.0,-12.0
