Total Est. Pax,Date
5909481,2019-01
5829033,2019-02
5899648,2019-03
5929756,2019-04
6267779,2019-05
6208469,2019-06
6630967,2019-07
6831209,2019-08
6216723,2019-09
6148477,2019-10
5877706,2019-11
6101024,2019-12
6604617,2020-01
2363771,2020-02
1050188,2020-03
236451,2020-04
348492,2020-05
243655,2020-06
450214,2020-07
507393,2020-08
471860,2020-09
380018,2020-10
295263,2020-11
309488,2020-12
285589,2021-01
206385,2021-02
289356,2021-03
288108,2021-04
324895,2021-05
301088,2021-06
322622,2021-07
237790,2021-08
236481,2021-09
213467,2021-10
214969,2021-11
267490,2021-12
305596,2022-01
308239,2022-02
274008,2022-03
232587,2022-04
233587,2022-05
263067,2022-06
291714,2022-07
344046,2022-08
397638,2022-09
443970,2022-10
507384,2022-11
656208,2022-12
870276,2023-01
1162369,2023-02
1772661,2023-03
2430992,2023-04
2834853,2023-05
3089880,2023-06
3641243,2023-07
3732120,2023-08
3595919,2023-09
3828580,2023-10
3528881,2023-11
