,Dep Country Name,arr_prov,Total Est. Pax
1683,Japan,Shanghai,1068791
1375,Hong Kong,Shanghai,860300
3410,Taiwan,Shanghai,803639
3201,South Korea,Shanghai,626461
3200,South Korea,Shandong,573194
2016,Macao (sar) China,Shanghai,533364
3495,Thailand,Shanghai,509008
1353,Hong Kong,Beijing,471455
3477,Thailand,Guangdong,467257
3650,USA,Shanghai,427235
2065,Malaysia,Guangdong,417173
3093,Singapore,Shanghai,406540
1661,Japan,Beijing,383670
3179,South Korea,Beijing,347996
1382,Hong Kong,Zhejiang,312474
3183,South Korea,Guangdong,287784
3194,South Korea,Jilin,287341
1665,Japan,Guangdong,281496
3497,Thailand,Sichuan,280973
3195,South Korea,Liaoning,271400
3392,Taiwan,Guangdong,267280
3808,Vietnam,Guangdong,255029
1677,Japan,Liaoning,248286
1377,Hong Kong,Sichuan,246867
2007,Macao (sar) China,Jiangsu,244577
3473,Thailand,Beijing,242254
3486,Thailand,Jiangsu,237025
3390,Taiwan,Fujian,234297
2023,Macao (sar) China,Zhejiang,229987
3075,Singapore,Guangdong,228668
1366,Hong Kong,Jiangsu,222145
3502,Thailand,Zhejiang,216198
3628,USA,Beijing,211550
3741,United Kingdom,Shanghai,208674
140,Australia,Shanghai,207648
3826,Vietnam,Shanghai,198746
1355,Hong Kong,Fujian,195204
1205,Germany,Shanghai,193696
2083,Malaysia,Shanghai,184264
3388,Taiwan,Beijing,181761
1690,Japan,Zhejiang,180861
3191,South Korea,Hunan,171119
1471,Indonesia,Guangdong,170815
1994,Macao (sar) China,Beijing,167568
3071,Singapore,Beijing,163924
532,Cambodia,Guangdong,160466
3208,South Korea,Zhejiang,159074
1682,Japan,Shandong,150910
3719,United Kingdom,Beijing,149299
3192,South Korea,Jiangsu,148210
2888,Russia,Beijing,148016
3412,Taiwan,Sichuan,145823
1641,Italy,Zhejiang,139768
1469,Indonesia,Fujian,136049
2729,Philippines,Fujian,135253
2749,Philippines,Shanghai,130444
3632,USA,Guangdong,130396
3073,Singapore,Fujian,129897
3501,Thailand,Yunnan,128557
601,Canada,Shanghai,128206
1489,Indonesia,Shanghai,127344
2061,Malaysia,Beijing,125007
1663,Japan,Fujian,118960
1686,Japan,Tianjin,118672
1996,Macao (sar) China,Fujian,117243
3688,United Arab Emirates,Beijing,116924
3692,United Arab Emirates,Guangdong,116550
3084,Singapore,Jiangsu,115935
1674,Japan,Jiangsu,113568
122,Australia,Guangdong,113556
1183,Germany,Beijing,112818
3100,Singapore,Zhejiang,111379
3203,South Korea,Sichuan,108009
3188,South Korea,Heilongjiang,107976
1634,Italy,Shanghai,107329
2469,New Zealand,Shanghai,103366
118,Australia,Beijing,103247
