,Shanghai,Guangdong,Beijing,Zhejiang,Sichuan,Fujian,Jiangsu,Shandong,Liaoning,Yunnan
South Korea,626461.0,287784.0,347996.0,159074.0,108009.0,50346.0,148210.0,573194.0,271400.0,38273.0
Japan,1068791.0,281496.0,383670.0,180861.0,102684.0,118960.0,113568.0,150910.0,248286.0,35512.0
Thailand,509008.0,467257.0,242254.0,216198.0,280973.0,91876.0,237025.0,102799.0,76379.0,128557.0
Hong Kong,860300.0,21946.0,471455.0,312474.0,246867.0,195204.0,222145.0,82305.0,57968.0,52376.0
Taiwan,803639.0,267280.0,181761.0,72053.0,145823.0,234297.0,98832.0,47337.0,35356.0,46255.0
Singapore,406540.0,228668.0,163924.0,111379.0,99803.0,129897.0,115935.0,88095.0,64649.0,23115.0
Macau,533364.0,21.0,167568.0,229987.0,62256.0,117243.0,244577.0,33811.0,5585.0,6272.0
Malaysia,184264.0,417173.0,125007.0,85973.0,75091.0,102258.0,23819.0,25285.0,16874.0,50862.0
USA,427235.0,130396.0,211550.0,20847.0,33431.0,78928.0,12440.0,23342.0,22658.0,6580.0
Vietnam,198746.0,255029.0,68269.0,57818.0,39485.0,49748.0,44389.0,37149.0,11554.0,34441.0
Australia,207648.0,113556.0,103247.0,32174.0,63751.0,74388.0,39517.0,48900.0,26791.0,10943.0
Indonesia,127344.0,170815.0,90829.0,64728.0,39896.0,136049.0,37356.0,21912.0,9468.0,19422.0
UK,208674.0,81444.0,149299.0,15624.0,33443.0,24039.0,10434.0,23287.0,11768.0,4138.0
Philippines,130444.0,102914.0,44706.0,33603.0,28855.0,135253.0,13168.0,19698.0,7520.0,13528.0
Russia,73789.0,96464.0,148016.0,24842.0,52839.0,9743.0,5815.0,29638.0,6196.0,8864.0
