source,target,weight
EPI_ISL_17998940,EPI_ISL_18108738,3
EPI_ISL_17998940,EPI_ISL_18447777,10
EPI_ISL_17998940,EPI_ISL_18494123,5
EPI_ISL_18108738,EPI_ISL_17956737,5
EPI_ISL_18108738,EPI_ISL_18074440,2
EPI_ISL_18108738,EPI_ISL_18105907,7
EPI_ISL_18108738,EPI_ISL_18033908,5
EPI_ISL_18108738,EPI_ISL_18138308,4
EPI_ISL_18108738,EPI_ISL_18108769,4
EPI_ISL_18108738,EPI_ISL_18055731,6
EPI_ISL_18108738,EPI_ISL_18049839,7
EPI_ISL_18108738,EPI_ISL_18108457,6
EPI_ISL_18108738,EPI_ISL_18292655,6
EPI_ISL_18108738,EPI_ISL_18078201,4
EPI_ISL_18108738,EPI_ISL_18324098,3
EPI_ISL_18108738,EPI_ISL_18246231,7
EPI_ISL_18108738,EPI_ISL_18438269,4
EPI_ISL_18108738,EPI_ISL_18114823,10
EPI_ISL_18108738,EPI_ISL_18145961,7
EPI_ISL_18108738,EPI_ISL_18389008,7
EPI_ISL_18108738,EPI_ISL_18166266,7
EPI_ISL_18108738,EPI_ISL_18213366,5
EPI_ISL_18108738,EPI_ISL_18268342,11
EPI_ISL_18108738,EPI_ISL_18494090,5
EPI_ISL_18108738,EPI_ISL_18320707,3
EPI_ISL_18108738,EPI_ISL_18320690,7
EPI_ISL_18108738,EPI_ISL_18320846,6
EPI_ISL_18108738,EPI_ISL_18505732,8
EPI_ISL_18108738,EPI_ISL_18495434,12
EPI_ISL_18108738,EPI_ISL_18495613,8
EPI_ISL_18108738,EPI_ISL_18505595,7
EPI_ISL_18108738,EPI_ISL_18268255,7
EPI_ISL_18108738,EPI_ISL_18360315,10
EPI_ISL_18108738,EPI_ISL_18447777,10
EPI_ISL_18108738,EPI_ISL_18495464,8
EPI_ISL_18108738,EPI_ISL_18465138,10
EPI_ISL_18108738,EPI_ISL_18401741,9
EPI_ISL_18108738,EPI_ISL_18485369,6
EPI_ISL_18108738,EPI_ISL_18464932,12
EPI_ISL_18108738,EPI_ISL_18438343,11
EPI_ISL_18108738,EPI_ISL_18133936,5
EPI_ISL_18108738,EPI_ISL_18268276,5
EPI_ISL_18108738,EPI_ISL_18330284,8
EPI_ISL_18108738,EPI_ISL_18246223,8
EPI_ISL_18494123,EPI_ISL_18494119,2
EPI_ISL_17956737,EPI_ISL_17956697,6
EPI_ISL_18074440,EPI_ISL_18036687,1
EPI_ISL_18074440,EPI_ISL_18105901,1
EPI_ISL_18074440,EPI_ISL_18320935,1
EPI_ISL_18074440,EPI_ISL_17956737,5
EPI_ISL_18074440,EPI_ISL_18105907,7
EPI_ISL_18074440,EPI_ISL_18033908,5
EPI_ISL_18074440,EPI_ISL_18138308,4
EPI_ISL_18074440,EPI_ISL_18055731,6
EPI_ISL_18074440,EPI_ISL_18049839,7
EPI_ISL_18074440,EPI_ISL_18049850,9
EPI_ISL_18074440,EPI_ISL_18116287,3
EPI_ISL_18074440,EPI_ISL_18208659,3
EPI_ISL_18074440,EPI_ISL_18108457,6
EPI_ISL_18074440,EPI_ISL_18292655,6
EPI_ISL_18074440,EPI_ISL_18232515,5
EPI_ISL_18074440,EPI_ISL_18166234,5
EPI_ISL_18074440,EPI_ISL_18078266,8
EPI_ISL_18074440,EPI_ISL_18246231,7
EPI_ISL_18074440,EPI_ISL_18245903,2
EPI_ISL_18074440,EPI_ISL_18268191,8
EPI_ISL_18074440,EPI_ISL_18114823,10
EPI_ISL_18074440,EPI_ISL_18145961,7
EPI_ISL_18074440,EPI_ISL_18289750,5
EPI_ISL_18074440,EPI_ISL_18166202,3
EPI_ISL_18074440,EPI_ISL_18166266,7
EPI_ISL_18074440,EPI_ISL_18246042,2
EPI_ISL_18074440,EPI_ISL_18268212,6
EPI_ISL_18074440,EPI_ISL_18217240,6
EPI_ISL_18074440,EPI_ISL_18320942,5
EPI_ISL_18074440,EPI_ISL_18217236,2
EPI_ISL_18074440,EPI_ISL_18217176,3
EPI_ISL_18074440,EPI_ISL_18401854,5
EPI_ISL_18074440,EPI_ISL_18388942,8
EPI_ISL_18074440,EPI_ISL_18241508,4
EPI_ISL_18074440,EPI_ISL_18438109,6
EPI_ISL_18074440,EPI_ISL_18217124,5
EPI_ISL_18074440,EPI_ISL_18213365,7
EPI_ISL_18074440,EPI_ISL_18213339,3
EPI_ISL_18074440,EPI_ISL_18285037,5
EPI_ISL_18074440,EPI_ISL_18268342,11
EPI_ISL_18074440,EPI_ISL_18320699,7
EPI_ISL_18074440,EPI_ISL_18320707,3
EPI_ISL_18074440,EPI_ISL_18292840,6
EPI_ISL_18074440,EPI_ISL_18438155,4
EPI_ISL_18074440,EPI_ISL_18320690,7
EPI_ISL_18074440,EPI_ISL_18438289,6
EPI_ISL_18074440,EPI_ISL_18438066,2
EPI_ISL_18074440,EPI_ISL_18268289,10
EPI_ISL_18074440,EPI_ISL_18495403,8
EPI_ISL_18074440,EPI_ISL_18388943,4
EPI_ISL_18074440,EPI_ISL_18285011,8
EPI_ISL_18074440,EPI_ISL_18261471,5
EPI_ISL_18074440,EPI_ISL_18268160,4
EPI_ISL_18074440,EPI_ISL_18289771,7
EPI_ISL_18074440,EPI_ISL_18277163,6
EPI_ISL_18074440,EPI_ISL_18320885,3
EPI_ISL_18074440,EPI_ISL_18320770,8
EPI_ISL_18074440,EPI_ISL_18360334,10
EPI_ISL_18074440,EPI_ISL_18384364,5
EPI_ISL_18074440,EPI_ISL_18320853,5
EPI_ISL_18074440,EPI_ISL_18401777,5
EPI_ISL_18074440,EPI_ISL_18495419,9
EPI_ISL_18074440,EPI_ISL_18284698,6
EPI_ISL_18074440,EPI_ISL_18268272,5
EPI_ISL_18074440,EPI_ISL_18320856,5
EPI_ISL_18074440,EPI_ISL_18438162,3
EPI_ISL_18074440,EPI_ISL_18495613,8
EPI_ISL_18074440,EPI_ISL_18324211,4
EPI_ISL_18074440,EPI_ISL_18438174,4
EPI_ISL_18074440,EPI_ISL_18304226,8
EPI_ISL_18074440,EPI_ISL_18268266,11
EPI_ISL_18074440,EPI_ISL_18268246,3
EPI_ISL_18074440,EPI_ISL_18268255,7
EPI_ISL_18074440,EPI_ISL_18360315,10
EPI_ISL_18074440,EPI_ISL_18330289,4
EPI_ISL_18074440,EPI_ISL_18438330,4
EPI_ISL_18074440,EPI_ISL_18401998,8
EPI_ISL_18074440,EPI_ISL_18304207,8
EPI_ISL_18074440,EPI_ISL_18438321,5
EPI_ISL_18074440,EPI_ISL_18505689,5
EPI_ISL_18074440,EPI_ISL_18313237,7
EPI_ISL_18074440,EPI_ISL_18438040,6
EPI_ISL_18074440,EPI_ISL_18313228,5
EPI_ISL_18074440,EPI_ISL_18320861,6
EPI_ISL_18074440,EPI_ISL_18320870,3
EPI_ISL_18074440,EPI_ISL_18435231,5
EPI_ISL_18074440,EPI_ISL_18304233,9
EPI_ISL_18074440,EPI_ISL_18304273,3
EPI_ISL_18074440,EPI_ISL_18304232,8
EPI_ISL_18074440,EPI_ISL_18465083,12
EPI_ISL_18074440,EPI_ISL_18465177,4
EPI_ISL_18074440,EPI_ISL_18401803,9
EPI_ISL_18074440,EPI_ISL_18376457,6
EPI_ISL_18074440,EPI_ISL_18465296,5
EPI_ISL_18074440,EPI_ISL_18495816,5
EPI_ISL_18074440,EPI_ISL_18481037,4
EPI_ISL_18074440,EPI_ISL_18495464,8
EPI_ISL_18074440,EPI_ISL_18360229,10
EPI_ISL_18074440,EPI_ISL_18401971,4
EPI_ISL_18074440,EPI_ISL_18401731,7
EPI_ISL_18074440,EPI_ISL_18330338,5
EPI_ISL_18074440,EPI_ISL_18409357,7
EPI_ISL_18074440,EPI_ISL_18330310,9
EPI_ISL_18074440,EPI_ISL_18465103,7
EPI_ISL_18074440,EPI_ISL_18465118,3
EPI_ISL_18074440,EPI_ISL_18425037,9
EPI_ISL_18074440,EPI_ISL_18447510,8
EPI_ISL_18074440,EPI_ISL_18488021,8
EPI_ISL_18074440,EPI_ISL_18495006,6
EPI_ISL_18074440,EPI_ISL_18495475,7
EPI_ISL_18074440,EPI_ISL_18465220,6
EPI_ISL_18074440,EPI_ISL_18465041,10
EPI_ISL_18074440,EPI_ISL_18465138,10
EPI_ISL_18074440,EPI_ISL_18438540,6
EPI_ISL_18074440,EPI_ISL_18435239,7
EPI_ISL_18074440,EPI_ISL_18465216,3
EPI_ISL_18074440,EPI_ISL_18508519,10
EPI_ISL_18074440,EPI_ISL_18454355,4
EPI_ISL_18074440,EPI_ISL_18464948,6
EPI_ISL_18074440,EPI_ISL_18465219,5
EPI_ISL_18074440,EPI_ISL_18401909,7
EPI_ISL_18074440,EPI_ISL_18401741,9
EPI_ISL_18074440,EPI_ISL_18401743,10
EPI_ISL_18074440,EPI_ISL_18409270,7
EPI_ISL_18074440,EPI_ISL_18454354,5
EPI_ISL_18074440,EPI_ISL_18401910,10
EPI_ISL_18074440,EPI_ISL_18485263,8
EPI_ISL_18074440,EPI_ISL_18465015,7
