Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_16922577,hCoV-19/Tianjin/TJCDC-1501/2022,2022-10-05,China,Tianjin,XBB.1.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1.1,22F (XBB),XBB
EPI_ISL_17197574,hCoV-19/Chongqing/YBCDC-0182/2022,2022-10-11,China,Chongqing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_17197573,hCoV-19/Chongqing/YBCDC-0181/2022,2022-10-11,China,Chongqing,XBB.1.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1.1,22F (XBB),XBB
EPI_ISL_17197575,hCoV-19/Chongqing/YBCDC-0183/2022,2022-10-11,China,Chongqing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_17197593,hCoV-19/Chongqing/YBCDC-0244/2022,2022-10-12,China,Chongqing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_17197591,hCoV-19/Chongqing/YBCDC-0241/2022,2022-10-12,China,Chongqing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922586,hCoV-19/Tianjin/TJCDC-1557/2022,2022-10-19,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922587,hCoV-19/Tianjin/TJCDC-1558/2022,2022-10-19,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922588,hCoV-19/Tianjin/TJCDC-1564/2022,2022-10-20,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16854437,hCoV-19/Beijing/BJCDC-2425/2022,2022-10-22,China,Beijing,XBB.2,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.2,22F (XBB),XBB
