source,target,weight
EPI_ISL_16277972,EPI_ISL_17088754,2
EPI_ISL_16277972,EPI_ISL_16306966,2
EPI_ISL_16277972,EPI_ISL_16635181,2
EPI_ISL_16277972,EPI_ISL_17031566,2
EPI_ISL_16277972,EPI_ISL_16635295,2
EPI_ISL_16277972,EPI_ISL_16709522,2
EPI_ISL_16277972,EPI_ISL_16597935,2
EPI_ISL_16277972,EPI_ISL_16758174,2
EPI_ISL_16277972,EPI_ISL_16911089,2
EPI_ISL_16277972,EPI_ISL_17170750,2
EPI_ISL_16277972,EPI_ISL_17494246,2
EPI_ISL_16277972,EPI_ISL_17031794,2
EPI_ISL_16277972,EPI_ISL_16849152,2
EPI_ISL_16277972,EPI_ISL_16902583,2
EPI_ISL_16277972,EPI_ISL_17684209,2
EPI_ISL_16277972,EPI_ISL_17620365,2
EPI_ISL_16277972,EPI_ISL_17307382,2
EPI_ISL_16277972,EPI_ISL_17494631,2
EPI_ISL_16277972,EPI_ISL_17031549,3
EPI_ISL_16277972,EPI_ISL_17493019,3
EPI_ISL_16277972,EPI_ISL_16604793,4
EPI_ISL_16277972,EPI_ISL_17183552,4
EPI_ISL_16277972,EPI_ISL_16758176,5
EPI_ISL_16277972,EPI_ISL_16758024,4
EPI_ISL_16277972,EPI_ISL_16604713,3
EPI_ISL_16277972,EPI_ISL_16709531,3
EPI_ISL_16277972,EPI_ISL_16597952,3
EPI_ISL_16277972,EPI_ISL_16635342,4
EPI_ISL_16277972,EPI_ISL_17150491,4
EPI_ISL_16277972,EPI_ISL_16698436,4
EPI_ISL_16277972,EPI_ISL_17488399,5
EPI_ISL_16277972,EPI_ISL_17031733,5
EPI_ISL_16277972,EPI_ISL_17031734,4
EPI_ISL_16277972,EPI_ISL_16849176,5
EPI_ISL_16277972,EPI_ISL_16849190,5
EPI_ISL_16277972,EPI_ISL_17493231,3
EPI_ISL_16277972,EPI_ISL_17199773,3
EPI_ISL_16277972,EPI_ISL_17492748,7
EPI_ISL_16277972,EPI_ISL_17620430,3
EPI_ISL_16277972,EPI_ISL_17494926,3
EPI_ISL_16277972,EPI_ISL_17501656,5
EPI_ISL_16277972,EPI_ISL_17489417,9
EPI_ISL_16277972,EPI_ISL_17490554,3
EPI_ISL_16277972,EPI_ISL_17490513,3
EPI_ISL_16277972,EPI_ISL_18330786,3
EPI_ISL_16277972,EPI_ISL_17490444,4
EPI_ISL_16277972,EPI_ISL_17495167,3
EPI_ISL_16277972,EPI_ISL_17494633,3
EPI_ISL_16277972,EPI_ISL_17785506,4
EPI_ISL_16277972,EPI_ISL_17785529,5
EPI_ISL_16277972,EPI_ISL_17785512,7
EPI_ISL_16277972,EPI_ISL_17485787,8
EPI_ISL_16277972,EPI_ISL_17516757,6
EPI_ISL_16277972,EPI_ISL_17615047,8
EPI_ISL_16277972,EPI_ISL_17684415,5
EPI_ISL_16277972,EPI_ISL_17684081,6
EPI_ISL_16277972,EPI_ISL_17744689,9
EPI_ISL_16277972,EPI_ISL_16711812,4
EPI_ISL_16277972,EPI_ISL_17494281,4
EPI_ISL_16277972,EPI_ISL_17273713,4
EPI_ISL_17088754,EPI_ISL_16635181,2
EPI_ISL_17088754,EPI_ISL_17031566,2
EPI_ISL_17088754,EPI_ISL_16635295,2
EPI_ISL_17088754,EPI_ISL_16597935,2
EPI_ISL_17088754,EPI_ISL_16758174,2
EPI_ISL_17088754,EPI_ISL_16911089,2
EPI_ISL_17088754,EPI_ISL_17170750,2
EPI_ISL_17088754,EPI_ISL_16849152,2
EPI_ISL_17088754,EPI_ISL_16902583,2
EPI_ISL_17088754,EPI_ISL_17684209,2
EPI_ISL_17088754,EPI_ISL_17307382,2
EPI_ISL_17088754,EPI_ISL_17494631,2
EPI_ISL_17088754,EPI_ISL_17031549,3
EPI_ISL_17088754,EPI_ISL_16604793,4
EPI_ISL_17088754,EPI_ISL_17183552,4
EPI_ISL_17088754,EPI_ISL_16758176,5
EPI_ISL_17088754,EPI_ISL_16604713,3
EPI_ISL_17088754,EPI_ISL_16598387,4
EPI_ISL_17088754,EPI_ISL_16635342,4
EPI_ISL_17088754,EPI_ISL_17150491,4
EPI_ISL_17088754,EPI_ISL_17031733,5
EPI_ISL_17088754,EPI_ISL_17199773,3
EPI_ISL_17088754,EPI_ISL_17620430,3
EPI_ISL_17088754,EPI_ISL_17488038,7
EPI_ISL_17088754,EPI_ISL_17501656,5
