source,target,weight
EPI_ISL_16641942,EPI_ISL_17088860,1
EPI_ISL_16641942,EPI_ISL_16598363,1
EPI_ISL_16641942,EPI_ISL_17805502,1
EPI_ISL_16641942,EPI_ISL_16596985,1
EPI_ISL_16641942,EPI_ISL_17088789,1
EPI_ISL_16641942,EPI_ISL_17031604,1
EPI_ISL_16641942,EPI_ISL_17488390,1
EPI_ISL_16641942,EPI_ISL_16635938,1
EPI_ISL_16641942,EPI_ISL_16635779,1
EPI_ISL_16641942,EPI_ISL_16910808,1
EPI_ISL_16641942,EPI_ISL_16854376,1
EPI_ISL_16641942,EPI_ISL_17493226,1
EPI_ISL_16641942,EPI_ISL_17199718,1
EPI_ISL_16641942,EPI_ISL_17494643,1
EPI_ISL_16641942,EPI_ISL_17545686,1
EPI_ISL_16641942,EPI_ISL_17088775,2
EPI_ISL_16641942,EPI_ISL_16709250,2
EPI_ISL_16641942,EPI_ISL_16683722,2
EPI_ISL_16641942,EPI_ISL_16761882,6
EPI_ISL_16641942,EPI_ISL_16634746,2
EPI_ISL_16641942,EPI_ISL_16598323,3
EPI_ISL_16641942,EPI_ISL_16635159,2
EPI_ISL_16641942,EPI_ISL_16520359,3
EPI_ISL_16641942,EPI_ISL_16853808,3
EPI_ISL_16641942,EPI_ISL_16604815,2
EPI_ISL_16641942,EPI_ISL_16636176,3
EPI_ISL_16641942,EPI_ISL_16598337,2
EPI_ISL_16641942,EPI_ISL_16468076,4
EPI_ISL_16641942,EPI_ISL_16968103,3
EPI_ISL_16641942,EPI_ISL_17088788,2
EPI_ISL_16641942,EPI_ISL_16709077,4
EPI_ISL_16641942,EPI_ISL_16604531,4
EPI_ISL_16641942,EPI_ISL_17183554,2
EPI_ISL_16641942,EPI_ISL_16635189,3
EPI_ISL_16641942,EPI_ISL_16635602,4
EPI_ISL_16641942,EPI_ISL_16635202,2
EPI_ISL_16641942,EPI_ISL_16608459,2
EPI_ISL_16641942,EPI_ISL_16646054,4
EPI_ISL_16641942,EPI_ISL_16573272,2
EPI_ISL_16641942,EPI_ISL_17031601,2
EPI_ISL_16641942,EPI_ISL_17031607,3
EPI_ISL_16641942,EPI_ISL_16712211,2
EPI_ISL_16641942,EPI_ISL_16757970,2
EPI_ISL_16641942,EPI_ISL_16481852,2
EPI_ISL_16641942,EPI_ISL_16481851,2
EPI_ISL_16641942,EPI_ISL_16481847,2
EPI_ISL_16641942,EPI_ISL_16481849,4
EPI_ISL_16641942,EPI_ISL_16758328,3
EPI_ISL_16641942,EPI_ISL_16698399,3
EPI_ISL_16641942,EPI_ISL_16709503,6
EPI_ISL_16641942,EPI_ISL_16702088,3
EPI_ISL_16641942,EPI_ISL_17031645,4
EPI_ISL_16641942,EPI_ISL_16610794,3
EPI_ISL_16641942,EPI_ISL_16849229,3
EPI_ISL_16641942,EPI_ISL_16698449,4
EPI_ISL_16641942,EPI_ISL_16758060,3
EPI_ISL_16641942,EPI_ISL_16598432,3
EPI_ISL_16641942,EPI_ISL_16758150,5
EPI_ISL_16641942,EPI_ISL_17031704,4
EPI_ISL_16641942,EPI_ISL_17031705,5
EPI_ISL_16641942,EPI_ISL_17488246,3
EPI_ISL_16641942,EPI_ISL_16758127,4
EPI_ISL_16641942,EPI_ISL_16758132,5
EPI_ISL_16641942,EPI_ISL_16758216,2
EPI_ISL_16641942,EPI_ISL_17493666,3
EPI_ISL_16641942,EPI_ISL_16910836,4
EPI_ISL_16641942,EPI_ISL_16830009,2
EPI_ISL_16641942,EPI_ISL_17485738,6
EPI_ISL_16641942,EPI_ISL_17063017,3
EPI_ISL_16641942,EPI_ISL_17063003,2
EPI_ISL_16641942,EPI_ISL_17488737,2
EPI_ISL_16641942,EPI_ISL_17031818,3
EPI_ISL_16641942,EPI_ISL_17150630,5
EPI_ISL_16641942,EPI_ISL_17068994,5
EPI_ISL_16641942,EPI_ISL_17488075,5
EPI_ISL_16641942,EPI_ISL_16954158,3
EPI_ISL_16641942,EPI_ISL_16986122,2
EPI_ISL_16641942,EPI_ISL_17031858,10
EPI_ISL_16641942,EPI_ISL_17031867,6
EPI_ISL_16641942,EPI_ISL_17493225,11
EPI_ISL_16641942,EPI_ISL_16968125,2
EPI_ISL_16641942,EPI_ISL_16905031,2
EPI_ISL_16641942,EPI_ISL_17027407,3
EPI_ISL_16641942,EPI_ISL_16968158,3
EPI_ISL_16641942,EPI_ISL_17027430,10
EPI_ISL_16641942,EPI_ISL_17031897,3
EPI_ISL_16641942,EPI_ISL_17492750,4
EPI_ISL_16641942,EPI_ISL_16946862,2
EPI_ISL_16641942,EPI_ISL_17493217,2
EPI_ISL_16641942,EPI_ISL_17485613,2
EPI_ISL_16641942,EPI_ISL_16983447,7
EPI_ISL_16641942,EPI_ISL_17620434,3
EPI_ISL_16641942,EPI_ISL_17199715,5
EPI_ISL_16641942,EPI_ISL_18070797,5
EPI_ISL_16641942,EPI_ISL_17501661,4
EPI_ISL_16641942,EPI_ISL_17492941,8
EPI_ISL_16641942,EPI_ISL_17488043,2
EPI_ISL_16641942,EPI_ISL_17488830,4
EPI_ISL_16641942,EPI_ISL_17493967,3
EPI_ISL_16641942,EPI_ISL_17620388,4
EPI_ISL_16641942,EPI_ISL_17273702,9
EPI_ISL_16641942,EPI_ISL_18070818,3
EPI_ISL_16641942,EPI_ISL_17490451,3
EPI_ISL_16641942,EPI_ISL_17785610,4
EPI_ISL_16641942,EPI_ISL_17262909,3
EPI_ISL_16641942,EPI_ISL_17186605,4
EPI_ISL_16641942,EPI_ISL_17273437,6
EPI_ISL_16641942,EPI_ISL_17620386,2
EPI_ISL_16641942,EPI_ISL_17490549,4
EPI_ISL_16641942,EPI_ISL_17490420,3
EPI_ISL_16641942,EPI_ISL_17489342,3
EPI_ISL_16641942,EPI_ISL_17785563,4
EPI_ISL_16641942,EPI_ISL_17785564,2
EPI_ISL_16641942,EPI_ISL_17495359,8
EPI_ISL_16641942,EPI_ISL_17493970,7
EPI_ISL_16641942,EPI_ISL_17495180,4
EPI_ISL_16641942,EPI_ISL_17492967,9
EPI_ISL_16641942,EPI_ISL_17785542,4
EPI_ISL_16641942,EPI_ISL_17493757,3
EPI_ISL_16641942,EPI_ISL_17495333,10
EPI_ISL_16641942,EPI_ISL_17494032,4
EPI_ISL_16641942,EPI_ISL_17494630,9
EPI_ISL_16641942,EPI_ISL_17490351,6
EPI_ISL_16641942,EPI_ISL_17493809,7
