Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_16610653,hCoV-19/Beijing/BJCDC-1950/2022,2022-05-06,China,Beijing,BA.5.2.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.7,22B (BA.5),BA.5
EPI_ISL_16614225,hCoV-19/Beijing/BJCDC-2179/2022,2022-05-13,China,Beijing,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_16922388,hCoV-19/Tianjin/TJCDC-0744/2022,2022-05-16,China,Tianjin,BA.5.2.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1,22B (BA.5),BA.5
EPI_ISL_16614334,hCoV-19/Beijing/BJCDC-1737/2022,2022-05-20,China,Beijing,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_16922391,hCoV-19/Tianjin/TJCDC-0902/2022,2022-05-31,China,Tianjin,BA.5.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1,22B (BA.5),BA.5
EPI_ISL_16613440,hCoV-19/Chongqing/YBCDC-0112/2022,2022-06-02,China,Chongqing,BA.5,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5,22B (BA.5),BA.5
EPI_ISL_16922393,hCoV-19/Tianjin/TJCDC-0911/2022,2022-06-03,China,Tianjin,BA.5.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1,22B (BA.5),BA.5
EPI_ISL_16922394,hCoV-19/Tianjin/TJCDC-0912/2022,2022-06-03,China,Tianjin,BA.5.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1,22B (BA.5),BA.5
EPI_ISL_16614598,hCoV-19/Beijing/BJCDC-1955/2022,2022-06-10,China,Beijing,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_16922397,hCoV-19/Tianjin/TJCDC-0915/2022,2022-06-11,China,Tianjin,BA.5.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1,22B (BA.5),BA.5
EPI_ISL_16922399,hCoV-19/Tianjin/TJCDC-0917/2022,2022-06-13,China,Tianjin,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_16633968,hCoV-19/Beijing/BJCDC-1947/2022,2022-06-13,China,Beijing,BA.5.2.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.7,22B (BA.5),BA.5
