source,target,weight
EPI_ISL_17697704,EPI_ISL_18036252,1
EPI_ISL_17697704,EPI_ISL_18438104,1
EPI_ISL_17697704,EPI_ISL_18049370,2
EPI_ISL_17697704,EPI_ISL_17850266,2
EPI_ISL_17697704,EPI_ISL_18036365,5
EPI_ISL_17697704,EPI_ISL_18036433,12
EPI_ISL_17697704,EPI_ISL_17999268,7
EPI_ISL_17697704,EPI_ISL_18036849,4
EPI_ISL_17697704,EPI_ISL_17956708,3
EPI_ISL_17697704,EPI_ISL_18036626,4
EPI_ISL_17697704,EPI_ISL_17978535,3
EPI_ISL_17697704,EPI_ISL_18036689,4
EPI_ISL_17697704,EPI_ISL_18033911,7
EPI_ISL_17697704,EPI_ISL_17999129,5
EPI_ISL_17697704,EPI_ISL_18114683,3
EPI_ISL_17697704,EPI_ISL_18074218,4
EPI_ISL_17697704,EPI_ISL_18208658,2
EPI_ISL_17697704,EPI_ISL_18246086,7
EPI_ISL_17697704,EPI_ISL_18246222,14
EPI_ISL_17697704,EPI_ISL_18245892,5
EPI_ISL_17697704,EPI_ISL_18213207,5
EPI_ISL_17697704,EPI_ISL_18127163,11
EPI_ISL_17697704,EPI_ISL_18138127,10
EPI_ISL_17697704,EPI_ISL_18268207,5
EPI_ISL_17697704,EPI_ISL_18213218,6
EPI_ISL_17697704,EPI_ISL_18320710,4
EPI_ISL_17697704,EPI_ISL_18285058,10
EPI_ISL_17697704,EPI_ISL_18505763,4
EPI_ISL_17697704,EPI_ISL_18313132,3
EPI_ISL_17697704,EPI_ISL_18360207,9
EPI_ISL_17697704,EPI_ISL_18508503,9
EPI_ISL_17697704,EPI_ISL_18401721,11
EPI_ISL_17697704,EPI_ISL_18495466,7
EPI_ISL_17697704,EPI_ISL_18376435,6
EPI_ISL_17697704,EPI_ISL_18465281,5
EPI_ISL_17697704,EPI_ISL_18465249,3
EPI_ISL_17697704,EPI_ISL_18487972,9
EPI_ISL_17697704,EPI_ISL_18505849,5
EPI_ISL_17697704,EPI_ISL_18508510,7
EPI_ISL_17697704,EPI_ISL_18464953,7
EPI_ISL_17697704,EPI_ISL_18495525,9
EPI_ISL_17697704,EPI_ISL_18495647,3
EPI_ISL_17697704,EPI_ISL_18037091,3
EPI_ISL_17697704,EPI_ISL_18037127,3
EPI_ISL_17697704,EPI_ISL_18105851,9
EPI_ISL_17697704,EPI_ISL_18009883,0
EPI_ISL_17697704,EPI_ISL_18049593,0
EPI_ISL_17697704,EPI_ISL_18036907,0
EPI_ISL_18036252,EPI_ISL_18036365,5
EPI_ISL_18036252,EPI_ISL_18036689,4
EPI_ISL_18036252,EPI_ISL_18246222,14
EPI_ISL_18036252,EPI_ISL_18245892,5
EPI_ISL_18036252,EPI_ISL_18320710,4
EPI_ISL_18036252,EPI_ISL_18285058,10
EPI_ISL_18036252,EPI_ISL_18360207,9
EPI_ISL_18036252,EPI_ISL_18508510,7
EPI_ISL_18036252,EPI_ISL_18495647,3
EPI_ISL_18036252,EPI_ISL_18105851,9
EPI_ISL_18438104,EPI_ISL_17850266,2
EPI_ISL_18438104,EPI_ISL_18036365,5
EPI_ISL_18438104,EPI_ISL_18074218,4
EPI_ISL_18438104,EPI_ISL_18111189,8
EPI_ISL_18438104,EPI_ISL_18213207,5
EPI_ISL_18438104,EPI_ISL_18127163,11
EPI_ISL_18438104,EPI_ISL_18268207,5
EPI_ISL_18438104,EPI_ISL_18213218,6
EPI_ISL_18438104,EPI_ISL_18320710,4
EPI_ISL_18438104,EPI_ISL_18505763,4
EPI_ISL_18438104,EPI_ISL_18376435,6
EPI_ISL_18438104,EPI_ISL_18487972,9
EPI_ISL_18438104,EPI_ISL_18464953,7
EPI_ISL_18438104,EPI_ISL_18495525,9
EPI_ISL_17850266,EPI_ISL_17978402,2
EPI_ISL_17850266,EPI_ISL_18074218,4
EPI_ISL_17850266,EPI_ISL_18268207,5
EPI_ISL_17850266,EPI_ISL_18213218,6
EPI_ISL_17850266,EPI_ISL_18505763,4
EPI_ISL_18036433,EPI_ISL_18246222,14
EPI_ISL_18036849,EPI_ISL_18401721,11
EPI_ISL_17956708,EPI_ISL_18037335,3
EPI_ISL_17956708,EPI_ISL_17678430,3
EPI_ISL_17956708,EPI_ISL_17744640,3
EPI_ISL_17956708,EPI_ISL_18438201,3
EPI_ISL_17956708,EPI_ISL_17801928,3
EPI_ISL_17956708,EPI_ISL_18438251,3
EPI_ISL_17956708,EPI_ISL_17978357,3
EPI_ISL_17956708,EPI_ISL_17956688,3
EPI_ISL_17956708,EPI_ISL_18012375,3
EPI_ISL_17956708,EPI_ISL_17988887,3
EPI_ISL_17956708,EPI_ISL_18074269,3
EPI_ISL_17956708,EPI_ISL_18232520,3
EPI_ISL_17956708,EPI_ISL_18245891,3
EPI_ISL_17956708,EPI_ISL_18108267,4
EPI_ISL_17956708,EPI_ISL_18145972,5
EPI_ISL_17956708,EPI_ISL_18438067,4
EPI_ISL_18036626,EPI_ISL_18037335,4
EPI_ISL_18036626,EPI_ISL_17678430,4
EPI_ISL_18036626,EPI_ISL_17744640,4
EPI_ISL_18036626,EPI_ISL_18438201,4
EPI_ISL_18036626,EPI_ISL_17801928,4
EPI_ISL_18036626,EPI_ISL_18438251,4
EPI_ISL_18036626,EPI_ISL_17978357,4
EPI_ISL_18036626,EPI_ISL_17956688,4
EPI_ISL_18036626,EPI_ISL_18012375,4
EPI_ISL_18036626,EPI_ISL_17988887,4
EPI_ISL_18036626,EPI_ISL_18074269,4
EPI_ISL_18036626,EPI_ISL_18232520,4
EPI_ISL_18036626,EPI_ISL_18245891,4
EPI_ISL_18036626,EPI_ISL_18495537,4
EPI_ISL_18036626,EPI_ISL_18495539,4
EPI_ISL_18245892,EPI_ISL_17973007,5
EPI_ISL_18268207,EPI_ISL_18401798,5
EPI_ISL_18268207,EPI_ISL_18245845,5
EPI_ISL_18508503,EPI_ISL_18401798,9
EPI_ISL_18508510,EPI_ISL_18401798,7
EPI_ISL_18495647,EPI_ISL_18495595,2
EPI_ISL_18495647,EPI_ISL_18495576,3
EPI_ISL_18495647,EPI_ISL_18495417,7
EPI_ISL_18495647,EPI_ISL_18495786,5
EPI_ISL_18037091,EPI_ISL_18037127,2
EPI_ISL_18105851,EPI_ISL_17684127,4
EPI_ISL_18105851,EPI_ISL_17795577,5
EPI_ISL_18105851,EPI_ISL_17850206,6
EPI_ISL_18105851,EPI_ISL_18217164,3
EPI_ISL_18105851,EPI_ISL_18036791,6
EPI_ISL_18037335,EPI_ISL_17697622,4
EPI_ISL_18037335,EPI_ISL_18049344,3
EPI_ISL_18037335,EPI_ISL_17795629,3
EPI_ISL_18037335,EPI_ISL_18049400,3
EPI_ISL_18037335,EPI_ISL_17795051,3
EPI_ISL_18037335,EPI_ISL_17735953,2
EPI_ISL_18037335,EPI_ISL_17998823,3
EPI_ISL_18037335,EPI_ISL_17778635,2
EPI_ISL_18037335,EPI_ISL_17736038,4
EPI_ISL_18037335,EPI_ISL_18006132,3
EPI_ISL_18037335,EPI_ISL_17811029,5
EPI_ISL_18037335,EPI_ISL_18438110,4
EPI_ISL_18037335,EPI_ISL_17850877,3
EPI_ISL_18037335,EPI_ISL_18033860,3
EPI_ISL_18037335,EPI_ISL_17794771,5
EPI_ISL_18037335,EPI_ISL_18033849,4
EPI_ISL_18037335,EPI_ISL_17830450,3
EPI_ISL_18037335,EPI_ISL_18495617,4
EPI_ISL_18037335,EPI_ISL_18438212,4
EPI_ISL_18037335,EPI_ISL_17830365,4
EPI_ISL_18037335,EPI_ISL_17999248,4
EPI_ISL_18037335,EPI_ISL_17978609,4
EPI_ISL_18037335,EPI_ISL_17850917,5
EPI_ISL_18037335,EPI_ISL_17850905,6
EPI_ISL_18037335,EPI_ISL_17978593,3
EPI_ISL_18037335,EPI_ISL_18013147,4
EPI_ISL_18037335,EPI_ISL_17972932,3
EPI_ISL_18037335,EPI_ISL_17956707,5
EPI_ISL_18037335,EPI_ISL_18006144,3
EPI_ISL_18037335,EPI_ISL_17956709,3
EPI_ISL_18037335,EPI_ISL_18037358,3
EPI_ISL_18037335,EPI_ISL_17988116,4
EPI_ISL_18037335,EPI_ISL_18074269,2
EPI_ISL_18037335,EPI_ISL_18495317,2
EPI_ISL_18037335,EPI_ISL_18232520,2
EPI_ISL_18037335,EPI_ISL_18245891,2
EPI_ISL_18037335,EPI_ISL_17956724,3
EPI_ISL_18037335,EPI_ISL_17988906,3
EPI_ISL_18037335,EPI_ISL_18108749,8
EPI_ISL_18037335,EPI_ISL_18006119,4
EPI_ISL_18037335,EPI_ISL_18108267,4
EPI_ISL_18037335,EPI_ISL_18108628,5
EPI_ISL_18037335,EPI_ISL_18114928,4
EPI_ISL_18037335,EPI_ISL_18108802,6
EPI_ISL_18037335,EPI_ISL_18049844,7
EPI_ISL_18037335,EPI_ISL_18114918,3
EPI_ISL_18037335,EPI_ISL_18055564,5
EPI_ISL_18037335,EPI_ISL_18116285,3
EPI_ISL_18037335,EPI_ISL_18105481,6
EPI_ISL_18037335,EPI_ISL_18330183,6
EPI_ISL_18037335,EPI_ISL_18108300,3
EPI_ISL_18037335,EPI_ISL_18245939,4
EPI_ISL_18037335,EPI_ISL_18055590,8
EPI_ISL_18037335,EPI_ISL_18078197,4
EPI_ISL_18037335,EPI_ISL_18111168,5
EPI_ISL_18037335,EPI_ISL_18078196,10
EPI_ISL_18037335,EPI_ISL_18161012,4
EPI_ISL_18037335,EPI_ISL_18146115,5
EPI_ISL_18037335,EPI_ISL_18145972,5
EPI_ISL_18037335,EPI_ISL_18268283,7
EPI_ISL_18037335,EPI_ISL_18246030,5
EPI_ISL_18037335,EPI_ISL_18208672,8
EPI_ISL_18037335,EPI_ISL_18438094,4
EPI_ISL_18037335,EPI_ISL_18495350,8
EPI_ISL_18037335,EPI_ISL_18232750,4
EPI_ISL_18037335,EPI_ISL_18232556,8
EPI_ISL_18037335,EPI_ISL_18208509,5
EPI_ISL_18037335,EPI_ISL_18127187,7
EPI_ISL_18037335,EPI_ISL_18145971,4
EPI_ISL_18037335,EPI_ISL_18105541,5
EPI_ISL_18037335,EPI_ISL_18292652,3
EPI_ISL_18037335,EPI_ISL_18105548,6
EPI_ISL_18037335,EPI_ISL_18114772,4
EPI_ISL_18037335,EPI_ISL_18438272,5
EPI_ISL_18037335,EPI_ISL_18208560,13
EPI_ISL_18037335,EPI_ISL_18401867,6
EPI_ISL_18037335,EPI_ISL_18246175,3
EPI_ISL_18037335,EPI_ISL_18246191,5
EPI_ISL_18037335,EPI_ISL_18116321,11
EPI_ISL_18037335,EPI_ISL_18246051,4
EPI_ISL_18037335,EPI_ISL_18245948,4
EPI_ISL_18037335,EPI_ISL_18246204,5
EPI_ISL_18037335,EPI_ISL_18246279,7
EPI_ISL_18037335,EPI_ISL_18213355,5
EPI_ISL_18037335,EPI_ISL_18241545,7
EPI_ISL_18037335,EPI_ISL_18320932,4
