Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_16277972,hCoV-19/Inner Mongolia/IVDC-634/2022,2022-10-03,China,Neimenggu,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16634249,hCoV-19/Beijing/BJCDC-2203/2022,2022-10-05,China,Beijing,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16922581,hCoV-19/Tianjin/TJCDC-1521/2022,2022-10-13,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16922583,hCoV-19/Tianjin/TJCDC-1526/2022,2022-10-14,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16923016,hCoV-19/Tianjin/TJCDC-1590/2022,2022-10-27,China,Tianjin,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16923030,hCoV-19/Tianjin/TJCDC-1603/2022,2022-10-31,China,Tianjin,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16642355,hCoV-19/Beijing/BJCDC-2913/2022,2022-11-20,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16642358,hCoV-19/Beijing/BJCDC-3027/2022,2022-11-20,China,Beijing,BF.7.20,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.20,22B (BA.5),BF.7
EPI_ISL_16327328,hCoV-19/Shanghai/SJTU-233759/2022,2022-11-25,China,Shanghai,BF.7.4.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.4.1,22B (BA.5),BF.7
EPI_ISL_16698227,hCoV-19/Chongqing/CQCDC-5399/2022,2022-11-27,China,Chongqing,BF.7.14.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14.4,22B (BA.5),BF.7
EPI_ISL_17088653,hCoV-19/Guangxi/GCDC-BS-120307/2022,2022-11-30,China,Guangxi,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_17088659,hCoV-19/Guangxi/GCDC-BS-120304/2022,2022-11-30,China,Guangxi,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16634504,hCoV-19/Shanghai/IVDC-1611/2022,2022-12-01,China,Shanghai,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_17088754,hCoV-19/Guangxi/GCDC-FCG-120402/2022,2022-12-02,China,Guangxi,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_17487404,hCoV-19/Hubei/HCDC-0051/2022,2022-12-02,China,Hubei,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16871405,hCoV-19/Beijing/BCL-12-34/2022,2022-12-02,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16306966,hCoV-19/Beijing/CPL-12-36/2022,2022-12-02,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16641618,hCoV-19/Yunnan/IVDC-1368/2022,2022-12-02,China,Yunnan,BF.7.14.5,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14.5,22B (BA.5),BF.7
EPI_ISL_17487137,hCoV-19/Hubei/HCDC-0070/2022,2022-12-03,China,Hubei,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16712102,hCoV-19/Guangdong/GCDC-58488/2022,2022-12-04,China,Guangdong,BF.7.14.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14.3,22B (BA.5),BF.7
EPI_ISL_16712134,hCoV-19/Guangdong/GCDC-58569/2022,2022-12-04,China,Guangdong,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16610682,hCoV-19/Fujian/FCDC-5272/2022,2022-12-04,China,Fujian,BF.7.14.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14.1,22B (BA.5),BF.7
EPI_ISL_16327539,hCoV-19/Shanghai/SJTU-235872/2022,2022-12-05,China,Shanghai,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16306949,hCoV-19/Beijing/CPL-12-18/2022,2022-12-05,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16306947,hCoV-19/Beijing/CPL-12-16/2022,2022-12-05,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
