source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_16327472,EPI_ISL_18033975,3,China,Shanghai,Guangdong,2022-12-08,2023-05-17
EPI_ISL_17795730,EPI_ISL_17795731,0,China,Jiangsu,Jiangsu,2023-04-29,2023-04-30
EPI_ISL_17739648,EPI_ISL_17739650,1,China,Heilongjiang,Heilongjiang,2023-05-07,2023-05-07
EPI_ISL_17739648,EPI_ISL_17739811,3,China,Heilongjiang,Heilongjiang,2023-05-07,2023-05-08
EPI_ISL_17739648,EPI_ISL_17739638,2,China,Heilongjiang,Heilongjiang,2023-05-07,2023-05-15
EPI_ISL_17739648,EPI_ISL_17794705,5,China,Heilongjiang,Jiangxi,2023-05-07,2023-05-09
EPI_ISL_17739648,EPI_ISL_17739865,0,China,Heilongjiang,Heilongjiang,2023-05-07,2023-05-22
EPI_ISL_17618744,EPI_ISL_18009802,0,China,Shanghai,Beijing,2023-04-23,2023-05-05
EPI_ISL_17836987,EPI_ISL_17836983,3,China,Gansu,Gansu,2023-05-23,2023-05-23
EPI_ISL_17836987,EPI_ISL_17836986,0,China,Gansu,Gansu,2023-05-23,2023-05-23
EPI_ISL_16922588,EPI_ISL_18033975,3,China,Tianjin,Guangdong,2022-10-20,2023-05-17
EPI_ISL_16922588,EPI_ISL_16923024,0,China,Tianjin,Tianjin,2022-10-20,2022-10-27
EPI_ISL_16854477,EPI_ISL_18033975,3,China,Beijing,Guangdong,2022-11-20,2023-05-17
EPI_ISL_16327331,EPI_ISL_16327360,0,China,Shanghai,Shanghai,2022-11-27,2022-11-28
EPI_ISL_17775628,EPI_ISL_18033975,3,China,Xinjiang,Guangdong,2023-05-14,2023-05-17
EPI_ISL_17775628,EPI_ISL_17795369,11,China,Xinjiang,Shanghai,2023-05-14,2023-05-21
EPI_ISL_17775628,EPI_ISL_17775156,0,China,Xinjiang,Xinjiang,2023-05-14,2023-05-20
EPI_ISL_17775628,EPI_ISL_17794004,0,China,Xinjiang,Anhui,2023-05-14,2023-05-30
EPI_ISL_17775628,EPI_ISL_18035356,0,China,Xinjiang,Guangdong,2023-05-14,2023-06-01
EPI_ISL_17199698,EPI_ISL_17495498,0,China,Heilongjiang,Heilongjiang,2023-02-11,2023-02-11
EPI_ISL_16327548,EPI_ISL_16327550,0,China,Shanghai,Shanghai,2022-12-09,2022-12-09
EPI_ISL_17684027,EPI_ISL_17951371,8,China,Yunnan,Shanxi,2023-05-06,2023-05-20
EPI_ISL_17684027,EPI_ISL_17714381,0,China,Yunnan,Yunnan,2023-05-06,2023-05-12
EPI_ISL_18070505,EPI_ISL_18070531,2,China,Shandong,Shandong,2022-10-25,2022-11-12
EPI_ISL_18034530,EPI_ISL_17770005,9,China,Guangdong,Shanghai,2023-06-28,2023-05-21
EPI_ISL_18055582,EPI_ISL_17801938,4,China,Fujian,Fujian,2023-07-20,2023-05-31
EPI_ISL_18070532,EPI_ISL_18070531,1,China,Shandong,Shandong,2022-11-12,2022-11-12
EPI_ISL_18070532,EPI_ISL_18070530,0,China,Shandong,Shandong,2022-11-12,2022-11-12
EPI_ISL_16854468,EPI_ISL_16854476,0,China,Beijing,Beijing,2022-11-20,2022-11-20
EPI_ISL_16854468,EPI_ISL_16854469,0,China,Beijing,Beijing,2022-11-20,2022-11-20
EPI_ISL_16327344,EPI_ISL_16327393,0,China,Shanghai,Shanghai,2022-11-27,2022-12-01
EPI_ISL_16327525,EPI_ISL_16327549,0,China,Shanghai,Shanghai,2022-12-09,2022-12-13
EPI_ISL_17488109,EPI_ISL_18035423,12,China,Zhejiang,Guangdong,2023-02-13,2023-05-13
EPI_ISL_17072126,EPI_ISL_17072127,0,China,Jiangsu,Jiangsu,2023-02-20,2023-02-20
EPI_ISL_17072126,EPI_ISL_17072129,0,China,Jiangsu,Jiangsu,2023-02-20,2023-02-20
EPI_ISL_17072126,EPI_ISL_17072128,0,China,Jiangsu,Jiangsu,2023-02-20,2023-02-20
EPI_ISL_18330792,EPI_ISL_18330793,0,China,Guangxi,Guangxi,2023-02-25,2023-03-02
EPI_ISL_17487041,EPI_ISL_17182662,0,China,Hubei,Hubei,2023-03-02,2023-03-02
EPI_ISL_17487041,EPI_ISL_17487042,0,China,Hubei,Hubei,2023-03-02,2023-03-02
EPI_ISL_17487041,EPI_ISL_17182661,0,China,Hubei,Hubei,2023-03-02,2023-03-02
EPI_ISL_17785558,EPI_ISL_17785566,7,China,Neimenggu,Neimenggu,2023-03-13,2023-03-20
EPI_ISL_17785562,EPI_ISL_17785567,0,China,Neimenggu,Neimenggu,2023-03-16,2023-03-21
EPI_ISL_17584667,EPI_ISL_18036382,3,China,Guangdong,Guangdong,2023-03-17,2023-06-08
EPI_ISL_17495418,EPI_ISL_17505617,0,China,Shanghai,Jiangsu,2023-03-30,2023-04-06
EPI_ISL_17485615,EPI_ISL_17485614,0,China,Shanghai,Shanghai,2023-04-04,2023-04-04
EPI_ISL_17511896,EPI_ISL_17511895,0,China,Shanghai,Shanghai,2023-04-07,2023-04-07
EPI_ISL_17547552,EPI_ISL_17614991,0,China,Fujian,Hubei,2023-04-17,2023-04-21
EPI_ISL_17547552,EPI_ISL_17614988,0,China,Fujian,Hubei,2023-04-17,2023-04-21
EPI_ISL_17547552,EPI_ISL_17615006,0,China,Fujian,Hubei,2023-04-17,2023-04-21
EPI_ISL_17697701,EPI_ISL_17698018,0,China,Guangdong,Guangdong,2023-04-24,2023-04-25
EPI_ISL_17704034,EPI_ISL_17704029,0,China,Fujian,Fujian,2023-05-01,2023-05-08
EPI_ISL_17696828,EPI_ISL_17696827,0,China,Shanghai,Shanghai,2023-05-06,2023-05-08
EPI_ISL_17795616,EPI_ISL_17725473,0,China,Jiangsu,Shanghai,2023-05-06,2023-05-13
EPI_ISL_17795616,EPI_ISL_17725455,0,China,Jiangsu,Shanghai,2023-05-06,2023-05-13
EPI_ISL_17795616,EPI_ISL_18034019,0,China,Jiangsu,Guangdong,2023-05-06,2023-05-19
EPI_ISL_17795616,EPI_ISL_18208649,0,China,Jiangsu,Shanghai,2023-05-06,2023-08-22
EPI_ISL_18035153,EPI_ISL_18033975,3,China,Guangdong,Guangdong,2023-05-22,2023-05-17
EPI_ISL_17801821,EPI_ISL_18033975,3,China,Hubei,Guangdong,2023-05-26,2023-05-17
EPI_ISL_17998976,EPI_ISL_18033975,3,China,Xinjiang,Guangdong,2023-06-05,2023-05-17
EPI_ISL_17998976,EPI_ISL_17775350,7,China,Xinjiang,Xinjiang,2023-06-05,2023-05-19
EPI_ISL_18035839,EPI_ISL_18034541,3,China,Guangdong,Guangdong,2023-05-20,2023-07-01
EPI_ISL_18035839,EPI_ISL_18034852,0,China,Guangdong,Guangdong,2023-05-20,2023-06-06
EPI_ISL_18036206,EPI_ISL_17536886,11,China,Guangdong,Shanghai,2023-05-31,2023-04-13
EPI_ISL_17956845,EPI_ISL_17956853,0,China,Shanghai,Shanghai,2023-06-21,2023-06-22
EPI_ISL_18475214,EPI_ISL_18481163,0,China,Shanghai,Shanghai,2023-10-15,2023-10-15
EPI_ISL_17794647,EPI_ISL_17794656,0,China,Jiangxi,Jiangxi,2023-04-26,2023-04-27
EPI_ISL_17794647,EPI_ISL_17784876,0,China,Jiangxi,Anhui,2023-04-26,2023-05-02
EPI_ISL_17794997,EPI_ISL_18013092,3,China,Jiangxi,Anhui,2023-05-21,2023-05-03
EPI_ISL_17794997,EPI_ISL_17962817,3,China,Jiangxi,Gansu,2023-05-21,2023-06-26
EPI_ISL_17514261,EPI_ISL_17850263,7,China,Xinjiang,Heilongjiang,2023-03-25,2023-05-29
EPI_ISL_17514261,EPI_ISL_17718348,7,China,Xinjiang,Sichuan,2023-03-25,2023-05-09
EPI_ISL_17485662,EPI_ISL_17536929,1,China,Shanghai,Shanghai,2023-04-03,2023-04-04
EPI_ISL_17485662,EPI_ISL_17619061,1,China,Shanghai,Shanghai,2023-04-03,2023-04-26
EPI_ISL_17485662,EPI_ISL_17645768,2,China,Shanghai,Shanghai,2023-04-03,2023-04-29
EPI_ISL_17485662,EPI_ISL_17725376,4,China,Shanghai,Shanghai,2023-04-03,2023-05-07
EPI_ISL_17485662,EPI_ISL_17625435,0,China,Shanghai,Shanghai,2023-04-03,2023-04-20
EPI_ISL_17584991,EPI_ISL_17584992,0,China,Gansu,Gansu,2023-04-26,2023-04-26
EPI_ISL_17584991,EPI_ISL_17584994,0,China,Gansu,Gansu,2023-04-26,2023-04-26
EPI_ISL_17584991,EPI_ISL_17584990,0,China,Gansu,Gansu,2023-04-26,2023-04-26
EPI_ISL_17698086,EPI_ISL_17620291,1,China,Guangdong,Anhui,2023-04-25,2023-04-29
EPI_ISL_17698086,EPI_ISL_17775350,1,China,Guangdong,Xinjiang,2023-04-25,2023-05-19
EPI_ISL_17511828,EPI_ISL_18036952,4,China,Shanghai,Guangdong,2023-03-28,2023-05-16
EPI_ISL_17836838,EPI_ISL_17625398,4,China,Shanghai,Hubei,2023-06-13,2023-04-29
EPI_ISL_17795369,EPI_ISL_17785363,2,China,Shanghai,Anhui,2023-05-21,2023-05-03
EPI_ISL_17785362,EPI_ISL_17795369,2,China,Anhui,Shanghai,2023-05-03,2023-05-21
EPI_ISL_17262851,EPI_ISL_17618605,1,China,Jiangsu,Shanghai,2023-03-11,2023-04-06
EPI_ISL_17262851,EPI_ISL_17307401,0,China,Jiangsu,Jiangsu,2023-03-11,2023-03-16
EPI_ISL_17619270,EPI_ISL_17785218,1,China,Shanghai,Beijing,2023-04-18,2023-04-24
EPI_ISL_17619270,EPI_ISL_17620323,5,China,Shanghai,Yunnan,2023-04-18,2023-04-21
EPI_ISL_17619321,EPI_ISL_17625466,1,China,Shanghai,Shanghai,2023-04-19,2023-04-24
EPI_ISL_17625645,EPI_ISL_17646204,0,China,Shanghai,Shanghai,2023-04-28,2023-04-30
EPI_ISL_17697729,EPI_ISL_18036872,0,China,Guangdong,Guangdong,2023-05-04,2023-05-24
EPI_ISL_18035801,EPI_ISL_18037272,5,China,Guangdong,Guangdong,2023-05-20,2023-05-15
