source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_15801470,EPI_ISL_17197574,1,Bangladesh,Chongqing,2022-09-27,2022-10-11
EPI_ISL_15231921,EPI_ISL_17197573,1,Singapore,Chongqing,2022-09-20,2022-10-11
EPI_ISL_15341057,EPI_ISL_17197575,1,Singapore,Chongqing,2022-09-29,2022-10-11
EPI_ISL_14917652,EPI_ISL_17197593,0,Singapore,Chongqing,2022-09-07,2022-10-12
EPI_ISL_14917652,EPI_ISL_17197591,1,Singapore,Chongqing,2022-09-07,2022-10-12
EPI_ISL_14917652,EPI_ISL_16922586,1,Singapore,Tianjin,2022-09-07,2022-10-19
EPI_ISL_14917652,EPI_ISL_16922587,1,Singapore,Tianjin,2022-09-07,2022-10-19
EPI_ISL_15401626,EPI_ISL_16922588,0,Bangladesh,Tianjin,2022-09-28,2022-10-20
EPI_ISL_16183120,EPI_ISL_16854437,0,India,Beijing,2022-09-10,2022-10-22
EPI_ISL_15465688,EPI_ISL_16854438,0,India,Beijing,2022-09-14,2022-10-24
EPI_ISL_15672882,EPI_ISL_18070505,0,South Korea,Shandong,2022-10-16,2022-10-25
EPI_ISL_16073970,EPI_ISL_16854447,3,Malaysia,Beijing,2022-11-22,2022-10-29
EPI_ISL_15401626,EPI_ISL_16854452,3,Bangladesh,Beijing,2022-09-28,2022-11-05
EPI_ISL_15672882,EPI_ISL_18070532,1,South Korea,Shandong,2022-10-16,2022-11-12
EPI_ISL_15259733,EPI_ISL_16854468,2,Austria,Beijing,2022-09-26,2022-11-20
EPI_ISL_15259733,EPI_ISL_16854477,0,Austria,Beijing,2022-09-26,2022-11-20
EPI_ISL_16550720,EPI_ISL_16854480,3,Austria,Beijing,2022-12-19,2022-11-22
EPI_ISL_16958770,EPI_ISL_16854496,4,USA,Beijing,2023-01-29,2022-11-23
EPI_ISL_16490351,EPI_ISL_16327386,1,USA,Shanghai,2022-11-01,2022-11-24
EPI_ISL_15000639,EPI_ISL_16327321,3,USA,Shanghai,2022-09-02,2022-11-26
EPI_ISL_15472612,EPI_ISL_16327388,2,Australia,Shanghai,2022-10-07,2022-11-27
EPI_ISL_15884641,EPI_ISL_16327331,0,Malaysia,Shanghai,2022-11-10,2022-11-27
EPI_ISL_15507720,EPI_ISL_16327344,1,Bangladesh,Shanghai,2022-09-28,2022-11-27
EPI_ISL_15917274,EPI_ISL_16327342,0,Australia,Shanghai,2022-10-12,2022-11-27
EPI_ISL_15802401,EPI_ISL_16327431,0,Switzerland,Shanghai,2022-11-10,2022-12-02
EPI_ISL_16555159,EPI_ISL_16327551,0,Austria,Shanghai,2022-12-01,2022-12-06
EPI_ISL_16098935,EPI_ISL_16327472,0,Malaysia,Shanghai,2022-04-10,2022-12-08
EPI_ISL_16909569,EPI_ISL_16127658,3,South Africa,Jiangsu,2023-02-02,2022-12-09
EPI_ISL_16159892,EPI_ISL_16327509,0,Sweden,Shanghai,2022-10-31,2022-12-09
EPI_ISL_16555159,EPI_ISL_16327525,0,Austria,Shanghai,2022-12-01,2022-12-09
EPI_ISL_16555159,EPI_ISL_16327548,0,Austria,Shanghai,2022-12-01,2022-12-09
EPI_ISL_15706596,EPI_ISL_16327631,0,USA,Shanghai,2022-10-22,2022-12-09
EPI_ISL_15917274,EPI_ISL_16750670,2,Australia,Yunnan,2022-10-12,2022-12-10
EPI_ISL_16532073,EPI_ISL_16327562,1,Indonesia,Shanghai,2022-11-18,2022-12-11
