Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_17698321,hCoV-19/Guangdong/GDCDC_SZ_0299/2023,2023-04-24,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17698093,hCoV-19/Guangdong/GDCDC_SZ_0303/2023,2023-04-24,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17697975,hCoV-19/Guangdong/GDCDC_SZ_0300/2023,2023-04-24,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17697704,hCoV-19/Guangdong/GDCDC_SZ_0345/2023,2023-04-25,China,Guangdong,EG.5.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1,23F (EG.5.1),EG.5
EPI_ISL_17697742,hCoV-19/Guangdong/GDCDC_SZ_0558/2023,2023-04-26,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17697622,hCoV-19/Guangdong/GDCDC_HZ_0024/2023,2023-05-04,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_18009883,hCoV-19/Beijing/BJCDC-1624/2023,2023-05-04,China,Beijing,EG.5.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1,23F (EG.5.1),EG.5
EPI_ISL_17730015,hCoV-19/Qinghai/QHCDC-QHSYY-148/2023,2023-05-04,China,Qinghai,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17678430,hCoV-19/Shanghai/SCDC-XG05-4117/2023,2023-05-04,China,Shanghai,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17684127,hCoV-19/Sichuan/YACDC-XGCX047/2023,2023-05-05,China,Sichuan,EG.5.2.2,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23D,XBB.1.9.2.5.2.2,23D (XBB.1.9),EG.5
EPI_ISL_18049344,hCoV-19/Beijing/BJCDC-1760/2023,2023-05-09,China,Beijing,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_18049593,hCoV-19/Beijing/BJCDC-1778/2023,2023-05-10,China,Beijing,EG.5.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1,23F (EG.5.1),EG.5
EPI_ISL_17795629,hCoV-19/Jiangsu/SZCDC-528/2023,2023-05-11,China,Jiangsu,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
