Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_17197591,hCoV-19/Chongqing/YBCDC-0241/2022,2022-10-12,China,Chongqing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922586,hCoV-19/Tianjin/TJCDC-1557/2022,2022-10-19,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922587,hCoV-19/Tianjin/TJCDC-1558/2022,2022-10-19,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16922588,hCoV-19/Tianjin/TJCDC-1564/2022,2022-10-20,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_18070532,hCoV-19/Shandong/WCDC-200/2022,2022-11-12,China,Shandong,XBB.1.4,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1.4,22F (XBB),XBB
EPI_ISL_16854496,hCoV-19/Beijing/BJCDC-3039/2022,2022-11-23,China,Beijing,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_16481872,hCoV-19/Tianjin/TJCDC-037/2022,2022-12-21,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_17493023,hCoV-19/Shannxi/SXCDC-sr-0003/2022,2022-12-25,China,Shaanxi,XBB.2,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.2,22F (XBB),XBB
EPI_ISL_17493016,hCoV-19/Shannxi/SXCDC-sr-0010/2022,2022-12-28,China,Shaanxi,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
EPI_ISL_17488110,hCoV-19/Zhejiang/ZJCDC-385/2023,2023-02-13,China,Zhejiang,XBB.1.5,VOI GRA (XBB.1.5+XBB.1.5.*) first detected in Austria/India/Bangladesh,23A,XBB.1.5,23A (XBB.1.5),XBB
EPI_ISL_17072129,hCoV-19/Jiangsu/LYGCDC-062/2023,2023-02-20,China,Jiangsu,XBB.1.5,VOI GRA (XBB.1.5+XBB.1.5.*) first detected in Austria/India/Bangladesh,23A,XBB.1.5,23A (XBB.1.5),XBB
EPI_ISL_18330792,hCoV-19/Guangxi/LZCDC-0301-2/2023,2023-02-25,China,Guangxi,XBB.1.11.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1.11.1,22F (XBB),XBB
EPI_ISL_17185998,hCoV-19/Hainan/CDC-429/2023,2023-02-28,China,Hainan,XBB.1.5,VOI GRA (XBB.1.5+XBB.1.5.*) first detected in Austria/India/Bangladesh,23A,XBB.1.5,23A (XBB.1.5),XBB
EPI_ISL_17488840,hCoV-19/Tianjin/TJCDC-0303-31/2023,2023-03-02,China,Tianjin,XBB.1,"VUM GRA (XBB+XBB.* excluding XBB.1.5, XBB.1.16, XBB.1.9.1, XBB.1.9.2, XBB.2.3) first detected in India",22F,XBB.1,22F (XBB),XBB
