source,target,weight
EPI_ISL_17879894,EPI_ISL_17811275,2
EPI_ISL_17879894,EPI_ISL_18146061,2
EPI_ISL_17879894,EPI_ISL_18320850,2
EPI_ISL_17879894,EPI_ISL_17988979,3
EPI_ISL_17879894,EPI_ISL_18245895,4
EPI_ISL_17879894,EPI_ISL_18217229,3
EPI_ISL_17879894,EPI_ISL_18464994,5
EPI_ISL_17811275,EPI_ISL_17987769,1
EPI_ISL_17811275,EPI_ISL_18036792,1
EPI_ISL_17811275,EPI_ISL_18320850,1
EPI_ISL_17811275,EPI_ISL_17988979,3
EPI_ISL_17811275,EPI_ISL_17850368,3
EPI_ISL_17811275,EPI_ISL_17850417,3
EPI_ISL_17811275,EPI_ISL_17987736,3
EPI_ISL_17811275,EPI_ISL_18105907,5
EPI_ISL_17811275,EPI_ISL_18055731,3
EPI_ISL_17811275,EPI_ISL_18049839,7
EPI_ISL_17811275,EPI_ISL_18245895,4
EPI_ISL_17811275,EPI_ISL_18133948,3
EPI_ISL_17811275,EPI_ISL_18277169,2
EPI_ISL_17811275,EPI_ISL_18292655,4
EPI_ISL_17811275,EPI_ISL_18138149,2
EPI_ISL_17811275,EPI_ISL_18138254,5
EPI_ISL_17811275,EPI_ISL_18114823,10
EPI_ISL_17811275,EPI_ISL_18146029,4
EPI_ISL_17811275,EPI_ISL_18217229,3
EPI_ISL_17811275,EPI_ISL_18232590,2
EPI_ISL_17811275,EPI_ISL_18245975,4
EPI_ISL_17811275,EPI_ISL_18245910,5
EPI_ISL_17811275,EPI_ISL_18208597,3
EPI_ISL_17811275,EPI_ISL_18146061,2
EPI_ISL_17811275,EPI_ISL_18232592,3
EPI_ISL_17811275,EPI_ISL_18320690,5
EPI_ISL_17811275,EPI_ISL_18289769,4
EPI_ISL_17811275,EPI_ISL_18376506,4
EPI_ISL_17811275,EPI_ISL_18464994,5
EPI_ISL_17811275,EPI_ISL_18495603,3
EPI_ISL_17811275,EPI_ISL_18409392,4
EPI_ISL_17811275,EPI_ISL_18465138,8
EPI_ISL_17811275,EPI_ISL_18485369,4
EPI_ISL_17811275,EPI_ISL_18330284,6
EPI_ISL_17811275,EPI_ISL_18401808,11
EPI_ISL_17811275,EPI_ISL_18268163,9
EPI_ISL_17811275,EPI_ISL_18409395,9
EPI_ISL_18146061,EPI_ISL_17988979,3
EPI_ISL_18146061,EPI_ISL_18245895,4
EPI_ISL_18146061,EPI_ISL_18217229,3
EPI_ISL_18146061,EPI_ISL_18320850,2
EPI_ISL_18146061,EPI_ISL_18464994,5
EPI_ISL_18320850,EPI_ISL_17988979,3
EPI_ISL_18320850,EPI_ISL_18245895,4
EPI_ISL_18320850,EPI_ISL_18217230,1
EPI_ISL_18320850,EPI_ISL_18217225,2
EPI_ISL_18320850,EPI_ISL_18217229,3
EPI_ISL_18320850,EPI_ISL_18360296,1
EPI_ISL_18320850,EPI_ISL_18464994,5
EPI_ISL_18320850,EPI_ISL_18465343,2
EPI_ISL_18320850,EPI_ISL_18268163,9
EPI_ISL_18320850,EPI_ISL_18438472,0
EPI_ISL_17988979,EPI_ISL_18133948,3
EPI_ISL_18245895,EPI_ISL_18055731,4
