source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_17719020,EPI_ISL_17618946,0,Australia,None,Shanghai,2023-05-16,2023-04-20
EPI_ISL_17859093,EPI_ISL_17697674,2,Japan,None,Guangdong,2023-05-28,2023-04-21
EPI_ISL_17962958,EPI_ISL_17698314,0,Austria,None,Guangdong,2023-06-28,2023-04-24
EPI_ISL_17471668,EPI_ISL_17697704,0,Switzerland,None,Guangdong,2023-03-20,2023-04-25
EPI_ISL_17880594,EPI_ISL_17794652,2,Japan,None,Jiangxi,2023-04-22,2023-04-26
EPI_ISL_17269002,EPI_ISL_17619152,1,Denmark,None,Shanghai,2023-03-18,2023-04-26
EPI_ISL_17204637,EPI_ISL_17645713,5,France,None,Shanghai,2023-02-27,2023-04-30
EPI_ISL_18116661,EPI_ISL_17678349,2,South Korea,None,Shanghai,2023-07-17,2023-05-01
EPI_ISL_17952687,EPI_ISL_17697639,0,Hong Kong,None,Guangdong,2023-05-27,2023-05-01
EPI_ISL_18291671,EPI_ISL_17765929,1,USA,None,Anhui,2023-08-17,2023-05-01
EPI_ISL_18329608,EPI_ISL_17625273,0,USA,None,Hubei,2023-09-09,2023-05-02
EPI_ISL_18410057,EPI_ISL_17678448,1,USA,None,Shanghai,2023-08-23,2023-05-03
EPI_ISL_18220679,EPI_ISL_17678449,0,Luxembourg,None,Shanghai,2023-08-14,2023-05-03
EPI_ISL_18285296,EPI_ISL_17684429,1,USA,None,Hubei,2023-09-14,2023-05-03
EPI_ISL_17719020,EPI_ISL_18009749,2,Australia,None,Beijing,2023-05-16,2023-05-03
EPI_ISL_18116661,EPI_ISL_17697622,2,South Korea,None,Guangdong,2023-07-17,2023-05-04
EPI_ISL_18158588,EPI_ISL_18009813,2,Denmark,None,Beijing,2023-03-20,2023-05-04
EPI_ISL_18112087,EPI_ISL_17718364,1,Germany,None,Sichuan,2023-07-24,2023-05-04
EPI_ISL_17716699,EPI_ISL_17671906,1,USA,None,Hubei,2023-05-16,2023-05-04
