source,target,weight
EPI_ISL_16634042,EPI_ISL_16922979,1
EPI_ISL_16634042,EPI_ISL_16634046,2
EPI_ISL_16922979,EPI_ISL_18070571,1
EPI_ISL_16922979,EPI_ISL_16636163,1
EPI_ISL_16922979,EPI_ISL_16635847,1
EPI_ISL_16922979,EPI_ISL_16596996,1
EPI_ISL_16922979,EPI_ISL_16610095,1
EPI_ISL_16922979,EPI_ISL_16698006,1
EPI_ISL_16922979,EPI_ISL_17488095,1
EPI_ISL_16922979,EPI_ISL_17495371,1
EPI_ISL_16922979,EPI_ISL_17501736,1
EPI_ISL_16922979,EPI_ISL_17485604,1
EPI_ISL_16922979,EPI_ISL_17501729,1
EPI_ISL_16922979,EPI_ISL_16711719,4
EPI_ISL_16922979,EPI_ISL_16712223,2
EPI_ISL_16922979,EPI_ISL_16636080,2
EPI_ISL_16922979,EPI_ISL_16636115,3
EPI_ISL_16922979,EPI_ISL_16636029,3
EPI_ISL_16922979,EPI_ISL_16636154,2
EPI_ISL_16922979,EPI_ISL_16636072,4
EPI_ISL_16922979,EPI_ISL_16636069,3
EPI_ISL_16922979,EPI_ISL_16636097,2
EPI_ISL_16922979,EPI_ISL_16636149,5
EPI_ISL_16922979,EPI_ISL_16635864,5
EPI_ISL_16922979,EPI_ISL_16635865,2
EPI_ISL_16922979,EPI_ISL_16635860,5
EPI_ISL_16922979,EPI_ISL_16635899,4
EPI_ISL_16922979,EPI_ISL_16635850,2
EPI_ISL_16922979,EPI_ISL_16635963,4
EPI_ISL_16922979,EPI_ISL_16635959,8
EPI_ISL_16922979,EPI_ISL_16635955,2
EPI_ISL_16922979,EPI_ISL_16635962,4
EPI_ISL_16922979,EPI_ISL_16698040,3
EPI_ISL_16922979,EPI_ISL_17493230,7
EPI_ISL_16922979,EPI_ISL_17495461,2
EPI_ISL_16922979,EPI_ISL_17501649,3
EPI_ISL_16922979,EPI_ISL_17501738,7
EPI_ISL_16922979,EPI_ISL_17501737,2
EPI_ISL_16922979,EPI_ISL_17492769,4
EPI_ISL_16922979,EPI_ISL_17150607,7
EPI_ISL_16922979,EPI_ISL_17494978,6
EPI_ISL_16922979,EPI_ISL_17501717,7
EPI_ISL_16922979,EPI_ISL_17501733,2
EPI_ISL_16922979,EPI_ISL_17075752,5
EPI_ISL_16922979,EPI_ISL_17494504,2
EPI_ISL_16922979,EPI_ISL_17501726,5
EPI_ISL_16922979,EPI_ISL_17493052,3
