ancestor,descend,lineage
EPI_ISL_402119,EPI_ISL_402124,Others
EPI_ISL_402119,EPI_ISL_403929,Others
EPI_ISL_402119,EPI_ISL_529214,Others
EPI_ISL_402119,EPI_ISL_402129,Others
EPI_ISL_402119,EPI_ISL_412899,Others
EPI_ISL_402119,EPI_ISL_529217,Others
EPI_ISL_402119,EPI_ISL_529216,Others
EPI_ISL_402119,EPI_ISL_402125,Others
EPI_ISL_402119,EPI_ISL_406800,Others
EPI_ISL_402119,EPI_ISL_406717,Others
EPI_ISL_402119,EPI_ISL_406716,Others
EPI_ISL_402119,EPI_ISL_403936,Others
EPI_ISL_402119,EPI_ISL_404228,Others
EPI_ISL_402119,EPI_ISL_403937,Others
EPI_ISL_402119,EPI_ISL_428440,Others
EPI_ISL_402119,EPI_ISL_408488,Others
EPI_ISL_402119,EPI_ISL_407313,Others
EPI_ISL_402119,EPI_ISL_406970,Others
EPI_ISL_402119,EPI_ISL_421227,Others
EPI_ISL_402119,EPI_ISL_421232,Others
EPI_ISL_402119,EPI_ISL_421229,Others
EPI_ISL_402119,EPI_ISL_421233,Others
EPI_ISL_402119,EPI_ISL_421231,Others
EPI_ISL_402119,EPI_ISL_418504,Others
EPI_ISL_402119,EPI_ISL_418507,Others
EPI_ISL_402119,EPI_ISL_418506,Others
EPI_ISL_402119,EPI_ISL_418442,Others
EPI_ISL_402119,EPI_ISL_418441,Others
EPI_ISL_402119,EPI_ISL_421230,Others
EPI_ISL_402119,EPI_ISL_421228,Others
EPI_ISL_402119,EPI_ISL_450444,Others
EPI_ISL_402119,EPI_ISL_406531,Others
EPI_ISL_402119,EPI_ISL_415711,Others
EPI_ISL_402119,EPI_ISL_421226,Others
EPI_ISL_402119,EPI_ISL_421225,Others
EPI_ISL_402119,EPI_ISL_418502,Others
EPI_ISL_402119,EPI_ISL_418503,Others
EPI_ISL_402119,EPI_ISL_408479,Others
EPI_ISL_402119,EPI_ISL_406538,Others
EPI_ISL_402119,EPI_ISL_428455,Others
EPI_ISL_402119,EPI_ISL_418509,Others
EPI_ISL_402119,EPI_ISL_418510,Others
EPI_ISL_402119,EPI_ISL_418508,Others
EPI_ISL_402119,EPI_ISL_421224,Others
EPI_ISL_402119,EPI_ISL_411953,Others
EPI_ISL_402119,EPI_ISL_451392,Others
EPI_ISL_402119,EPI_ISL_451361,Others
EPI_ISL_402119,EPI_ISL_16138286,Others
EPI_ISL_402119,EPI_ISL_416046,Others
EPI_ISL_402119,EPI_ISL_418511,Others
EPI_ISL_402119,EPI_ISL_418513,Others
EPI_ISL_402119,EPI_ISL_418512,Others
EPI_ISL_402119,EPI_ISL_418515,Others
EPI_ISL_402119,EPI_ISL_418514,Others
EPI_ISL_402119,EPI_ISL_493157,Others
EPI_ISL_402119,EPI_ISL_493154,Others
EPI_ISL_402119,EPI_ISL_493162,Others
EPI_ISL_402119,EPI_ISL_493170,Others
EPI_ISL_402119,EPI_ISL_493177,Others
EPI_ISL_402119,EPI_ISL_493167,Others
EPI_ISL_402119,EPI_ISL_451387,Others
EPI_ISL_402119,EPI_ISL_451339,Others
EPI_ISL_402119,EPI_ISL_429102,Others
EPI_ISL_402119,EPI_ISL_428469,Others
EPI_ISL_402119,EPI_ISL_429100,Others
EPI_ISL_402119,EPI_ISL_451363,Others
EPI_ISL_402119,EPI_ISL_429098,Others
EPI_ISL_402119,EPI_ISL_429105,Others
EPI_ISL_402119,EPI_ISL_429096,Others
EPI_ISL_402119,EPI_ISL_429097,Others
EPI_ISL_402119,EPI_ISL_413852,Others
EPI_ISL_402119,EPI_ISL_451398,Others
EPI_ISL_402119,EPI_ISL_451344,Others
EPI_ISL_402119,EPI_ISL_1069207,Others
EPI_ISL_402119,EPI_ISL_1069203,Others
EPI_ISL_402119,EPI_ISL_452360,Others
EPI_ISL_402119,EPI_ISL_1069208,Others
EPI_ISL_402119,EPI_ISL_429104,Others
EPI_ISL_402119,EPI_ISL_429086,Others
EPI_ISL_402119,EPI_ISL_429088,Others
EPI_ISL_402119,EPI_ISL_429085,Others
EPI_ISL_402119,EPI_ISL_421257,Others
EPI_ISL_402119,EPI_ISL_421254,Others
EPI_ISL_402119,EPI_ISL_451385,Others
EPI_ISL_402119,EPI_ISL_1069215,Others
EPI_ISL_402119,EPI_ISL_1069216,Others
EPI_ISL_402119,EPI_ISL_454981,Others
EPI_ISL_402119,EPI_ISL_416376,Others
EPI_ISL_402119,EPI_ISL_451338,Others
EPI_ISL_402119,EPI_ISL_413866,Others
EPI_ISL_402119,EPI_ISL_1081197,Others
EPI_ISL_402119,EPI_ISL_1081196,Others
EPI_ISL_402119,EPI_ISL_1081195,Others
EPI_ISL_402119,EPI_ISL_429078,Others
EPI_ISL_402119,EPI_ISL_429077,Others
EPI_ISL_402119,EPI_ISL_429074,Others
EPI_ISL_402119,EPI_ISL_429076,Others
EPI_ISL_402119,EPI_ISL_1081291,Others
EPI_ISL_402119,EPI_ISL_1081311,Others
EPI_ISL_402119,EPI_ISL_1081310,Others
EPI_ISL_402119,EPI_ISL_1081260,Others
EPI_ISL_402119,EPI_ISL_416404,Others
EPI_ISL_402119,EPI_ISL_454980,Others
EPI_ISL_402119,EPI_ISL_451388,Others
EPI_ISL_402119,EPI_ISL_452358,Others
EPI_ISL_402119,EPI_ISL_453780,Others
EPI_ISL_402119,EPI_ISL_1081324,Others
EPI_ISL_402119,EPI_ISL_454933,Others
EPI_ISL_402119,EPI_ISL_1081326,Others
EPI_ISL_402119,EPI_ISL_1081331,Others
EPI_ISL_402119,EPI_ISL_1081340,Others
EPI_ISL_402119,EPI_ISL_1040043,Others
EPI_ISL_402119,EPI_ISL_412026,Others
EPI_ISL_402119,EPI_ISL_414687,Others
EPI_ISL_402119,EPI_ISL_454912,Others
EPI_ISL_402119,EPI_ISL_454940,Others
EPI_ISL_402119,EPI_ISL_454928,Others
EPI_ISL_402119,EPI_ISL_452332,Others
EPI_ISL_402119,EPI_ISL_454955,Others
EPI_ISL_402119,EPI_ISL_454918,Others
EPI_ISL_402119,EPI_ISL_454904,Others
EPI_ISL_402119,EPI_ISL_452351,Others
EPI_ISL_402119,EPI_ISL_454976,Others
EPI_ISL_402119,EPI_ISL_452329,Others
EPI_ISL_402119,EPI_ISL_454941,Others
EPI_ISL_402119,EPI_ISL_454970,Others
EPI_ISL_402119,EPI_ISL_454946,Others
EPI_ISL_402119,EPI_ISL_454954,Others
EPI_ISL_402119,EPI_ISL_454963,Others
EPI_ISL_402119,EPI_ISL_454956,Others
EPI_ISL_406535,EPI_ISL_406536,Others
EPI_ISL_406535,EPI_ISL_450504,Others
EPI_ISL_406535,EPI_ISL_451327,Others
EPI_ISL_406535,EPI_ISL_605930,Others
EPI_ISL_1678790,EPI_ISL_1678810,Others
EPI_ISL_16520394,EPI_ISL_16468054,BF.7
EPI_ISL_16520394,EPI_ISL_16468052,BF.7
EPI_ISL_16520394,EPI_ISL_16468049,BF.7
EPI_ISL_16520394,EPI_ISL_16520377,BF.7
EPI_ISL_16520394,EPI_ISL_16520403,BF.7
EPI_ISL_16520394,EPI_ISL_16520391,BF.7
EPI_ISL_16520394,EPI_ISL_16468066,BF.7
EPI_ISL_16520394,EPI_ISL_16468064,BF.7
EPI_ISL_16520394,EPI_ISL_16520464,BF.7
EPI_ISL_16520394,EPI_ISL_16520443,BF.7
EPI_ISL_16520396,EPI_ISL_16520395,DY
EPI_ISL_16520396,EPI_ISL_16520363,DY
EPI_ISL_16520396,EPI_ISL_16520458,DY
EPI_ISL_16520396,EPI_ISL_16970254,DY
EPI_ISL_16520379,EPI_ISL_16520454,BF.7
EPI_ISL_16634769,EPI_ISL_16438308,DY
EPI_ISL_16634769,EPI_ISL_16740777,DY
EPI_ISL_16634769,EPI_ISL_16740778,DY
EPI_ISL_16634769,EPI_ISL_16740766,DY
EPI_ISL_16634769,EPI_ISL_17488242,DY
EPI_ISL_16634769,EPI_ISL_17488085,DY
EPI_ISL_16636048,EPI_ISL_16636052,BA.5
EPI_ISL_16636048,EPI_ISL_16636143,BA.5
EPI_ISL_16636048,EPI_ISL_16636167,BA.5
EPI_ISL_16636048,EPI_ISL_16698049,BA.5
EPI_ISL_16636048,EPI_ISL_16698046,BA.5
EPI_ISL_16636048,EPI_ISL_16698042,BA.5
EPI_ISL_16636048,EPI_ISL_16698008,BA.5
EPI_ISL_16636048,EPI_ISL_16955407,BA.5
EPI_ISL_17487731,EPI_ISL_16616903,DY
EPI_ISL_17487538,EPI_ISL_16616952,DY
EPI_ISL_16634801,EPI_ISL_16634908,BF.7
EPI_ISL_16520408,EPI_ISL_16520357,BF.7
EPI_ISL_17487536,EPI_ISL_16616954,DY
EPI_ISL_13005065,EPI_ISL_13005071,Others
EPI_ISL_13005065,EPI_ISL_13005066,Others
EPI_ISL_13005065,EPI_ISL_13005069,Others
EPI_ISL_13005065,EPI_ISL_13005072,Others
EPI_ISL_13005065,EPI_ISL_13005080,Others
EPI_ISL_13005065,EPI_ISL_13005089,Others
EPI_ISL_13005065,EPI_ISL_13005088,Others
EPI_ISL_13005065,EPI_ISL_13005091,Others
EPI_ISL_13005065,EPI_ISL_13005084,Others
EPI_ISL_13005065,EPI_ISL_13005073,Others
EPI_ISL_13005065,EPI_ISL_13005085,Others
EPI_ISL_13005065,EPI_ISL_13005078,Others
EPI_ISL_13005065,EPI_ISL_13005086,Others
EPI_ISL_13005065,EPI_ISL_13005087,Others
EPI_ISL_13005065,EPI_ISL_13005083,Others
EPI_ISL_13005065,EPI_ISL_13005102,Others
EPI_ISL_13005065,EPI_ISL_13005115,Others
EPI_ISL_13005065,EPI_ISL_13005116,Others
EPI_ISL_13005065,EPI_ISL_13005108,Others
EPI_ISL_13005065,EPI_ISL_13005098,Others
EPI_ISL_13005065,EPI_ISL_13005090,Others
EPI_ISL_13005065,EPI_ISL_13005093,Others
EPI_ISL_13005065,EPI_ISL_13005081,Others
EPI_ISL_13005065,EPI_ISL_13005105,Others
EPI_ISL_13005065,EPI_ISL_13005096,Others
EPI_ISL_13005065,EPI_ISL_13005097,Others
EPI_ISL_13005065,EPI_ISL_13005101,Others
EPI_ISL_13005065,EPI_ISL_13005106,Others
EPI_ISL_13005065,EPI_ISL_13005131,Others
EPI_ISL_13005065,EPI_ISL_13005118,Others
EPI_ISL_13005065,EPI_ISL_13005134,Others
EPI_ISL_13005065,EPI_ISL_13005123,Others
EPI_ISL_13005065,EPI_ISL_13005132,Others
EPI_ISL_13005065,EPI_ISL_13005139,Others
EPI_ISL_13005065,EPI_ISL_13005135,Others
EPI_ISL_13005065,EPI_ISL_13005128,Others
EPI_ISL_13005065,EPI_ISL_13005137,Others
EPI_ISL_13005065,EPI_ISL_13005149,Others
EPI_ISL_13005065,EPI_ISL_13005141,Others
EPI_ISL_13005065,EPI_ISL_13005148,Others
EPI_ISL_13005065,EPI_ISL_13005150,Others
EPI_ISL_16520428,EPI_ISL_16468041,BF.7
EPI_ISL_16520450,EPI_ISL_16468047,BF.7
EPI_ISL_16520450,EPI_ISL_16520371,BF.7
EPI_ISL_16520450,EPI_ISL_16520435,BF.7
EPI_ISL_16520450,EPI_ISL_16520360,BF.7
EPI_ISL_16520450,EPI_ISL_16520414,BF.7
