source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_16922510,EPI_ISL_16922509,0,China,Tianjin,Tianjin,2022-08-13,2022-08-13
EPI_ISL_16642136,EPI_ISL_16642113,0,China,Beijing,Beijing,2022-11-07,2022-11-07
EPI_ISL_16634049,EPI_ISL_16277972,1,China,Beijing,Neimenggu,2022-08-15,2022-10-03
EPI_ISL_16634049,EPI_ISL_16922951,1,China,Beijing,Tianjin,2022-08-15,2022-10-10
EPI_ISL_16634049,EPI_ISL_16922995,1,China,Beijing,Tianjin,2022-08-15,2022-10-19
EPI_ISL_16634049,EPI_ISL_16641971,1,China,Beijing,Beijing,2022-08-15,2022-10-28
EPI_ISL_16634049,EPI_ISL_16923028,1,China,Beijing,Tianjin,2022-08-15,2022-10-30
EPI_ISL_16634049,EPI_ISL_16923032,1,China,Beijing,Tianjin,2022-08-15,2022-10-31
EPI_ISL_16634049,EPI_ISL_16923031,1,China,Beijing,Tianjin,2022-08-15,2022-10-31
EPI_ISL_16634049,EPI_ISL_16923034,1,China,Beijing,Tianjin,2022-08-15,2022-11-01
EPI_ISL_16634049,EPI_ISL_16642044,1,China,Beijing,Beijing,2022-08-15,2022-11-02
EPI_ISL_16634049,EPI_ISL_16642373,1,China,Beijing,Beijing,2022-08-15,2022-11-21
EPI_ISL_16634049,EPI_ISL_16642392,1,China,Beijing,Beijing,2022-08-15,2022-11-21
EPI_ISL_16634049,EPI_ISL_16698225,1,China,Beijing,Chongqing,2022-08-15,2022-11-22
EPI_ISL_16634049,EPI_ISL_17031528,1,China,Beijing,Hebei,2022-08-15,2022-11-26
EPI_ISL_16634049,EPI_ISL_17492898,1,China,Beijing,Sichuan,2022-08-15,2022-11-26
EPI_ISL_16634049,EPI_ISL_18070591,1,China,Beijing,Shandong,2022-08-15,2022-11-30
EPI_ISL_16634049,EPI_ISL_16709252,1,China,Beijing,Shaanxi,2022-08-15,2022-12-01
EPI_ISL_16634049,EPI_ISL_17088754,1,China,Beijing,Guangxi,2022-08-15,2022-12-02
EPI_ISL_16634049,EPI_ISL_16709253,1,China,Beijing,Shaanxi,2022-08-15,2022-12-02
EPI_ISL_16634049,EPI_ISL_16306966,1,China,Beijing,Beijing,2022-08-15,2022-12-02
EPI_ISL_16634049,EPI_ISL_16614074,1,China,Beijing,Jilin,2022-08-15,2022-12-04
EPI_ISL_16634049,EPI_ISL_16610685,1,China,Beijing,Fujian,2022-08-15,2022-12-05
EPI_ISL_16634049,EPI_ISL_16635062,1,China,Beijing,Ningxia,2022-08-15,2022-12-06
