source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_16633968,EPI_ISL_16614626,1,China,Beijing,Beijing,2022-06-13,2022-06-19
EPI_ISL_16633968,EPI_ISL_16634061,1,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634031,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634032,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634029,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634037,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634030,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634028,0,China,Beijing,Beijing,2022-06-13,2022-08-14
EPI_ISL_16633968,EPI_ISL_16634052,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634055,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634059,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634058,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634062,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634060,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634063,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634056,0,China,Beijing,Beijing,2022-06-13,2022-08-16
EPI_ISL_16633968,EPI_ISL_16634069,0,China,Beijing,Beijing,2022-06-13,2022-08-17
EPI_ISL_16633968,EPI_ISL_16634072,0,China,Beijing,Beijing,2022-06-13,2022-08-17
EPI_ISL_16633968,EPI_ISL_16634073,0,China,Beijing,Beijing,2022-06-13,2022-08-17
EPI_ISL_16633968,EPI_ISL_16634079,0,China,Beijing,Beijing,2022-06-13,2022-08-20
EPI_ISL_16633968,EPI_ISL_16634078,0,China,Beijing,Beijing,2022-06-13,2022-08-20
EPI_ISL_16633968,EPI_ISL_16634080,0,China,Beijing,Beijing,2022-06-13,2022-08-20
EPI_ISL_16614626,EPI_ISL_16634033,1,China,Beijing,Beijing,2022-06-19,2022-08-14
EPI_ISL_16614626,EPI_ISL_16634035,1,China,Beijing,Beijing,2022-06-19,2022-08-14
EPI_ISL_16614626,EPI_ISL_16634036,0,China,Beijing,Beijing,2022-06-19,2022-08-14
EPI_ISL_16614626,EPI_ISL_16634034,0,China,Beijing,Beijing,2022-06-19,2022-08-14
EPI_ISL_16614626,EPI_ISL_16634048,0,China,Beijing,Beijing,2022-06-19,2022-08-15
EPI_ISL_16614626,EPI_ISL_16634047,0,China,Beijing,Beijing,2022-06-19,2022-08-15
EPI_ISL_16614693,EPI_ISL_16634131,5,China,Beijing,Beijing,2022-07-25,2022-09-06
EPI_ISL_16614693,EPI_ISL_16641984,4,China,Beijing,Beijing,2022-07-25,2022-10-28
EPI_ISL_16614693,EPI_ISL_16641968,4,China,Beijing,Beijing,2022-07-25,2022-10-27
EPI_ISL_16614693,EPI_ISL_16634068,0,China,Beijing,Beijing,2022-07-25,2022-08-17
EPI_ISL_16614693,EPI_ISL_16922953,0,China,Beijing,Tianjin,2022-07-25,2022-10-07
EPI_ISL_16614693,EPI_ISL_16922956,0,China,Beijing,Tianjin,2022-07-25,2022-10-08
EPI_ISL_16614693,EPI_ISL_16922957,0,China,Beijing,Tianjin,2022-07-25,2022-10-12
EPI_ISL_16614693,EPI_ISL_16634330,0,China,Beijing,Beijing,2022-07-25,2022-10-15
EPI_ISL_16614693,EPI_ISL_17487093,0,China,Beijing,Hubei,2022-07-25,2022-10-18
EPI_ISL_16614693,EPI_ISL_16617183,0,China,Beijing,Hubei,2022-07-25,2022-10-18
EPI_ISL_16614693,EPI_ISL_16641889,0,China,Beijing,Beijing,2022-07-25,2022-10-20
EPI_ISL_16614693,EPI_ISL_16698202,0,China,Beijing,Chongqing,2022-07-25,2022-11-18
EPI_ISL_16614693,EPI_ISL_16698203,0,China,Beijing,Chongqing,2022-07-25,2022-11-18
EPI_ISL_16614693,EPI_ISL_16698199,0,China,Beijing,Chongqing,2022-07-25,2022-11-19
EPI_ISL_16614693,EPI_ISL_16698174,0,China,Beijing,Chongqing,2022-07-25,2022-11-19
EPI_ISL_16614693,EPI_ISL_16698196,0,China,Beijing,Chongqing,2022-07-25,2022-11-20
EPI_ISL_16614693,EPI_ISL_16698176,0,China,Beijing,Chongqing,2022-07-25,2022-11-20
EPI_ISL_16614693,EPI_ISL_16698175,0,China,Beijing,Chongqing,2022-07-25,2022-11-20
EPI_ISL_16614693,EPI_ISL_16698179,0,China,Beijing,Chongqing,2022-07-25,2022-11-21
EPI_ISL_16614693,EPI_ISL_16698180,0,China,Beijing,Chongqing,2022-07-25,2022-11-21
EPI_ISL_16614693,EPI_ISL_16698183,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698187,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698182,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698186,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698200,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698201,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698185,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
EPI_ISL_16614693,EPI_ISL_16698184,0,China,Beijing,Chongqing,2022-07-25,2022-11-22
