source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_17879894,EPI_ISL_18320850,2,China,Sichuan,Shanghai,2023-05-06,2023-09-08
EPI_ISL_17811275,EPI_ISL_17987769,1,China,Shanghai,Shanghai,2023-05-28,2023-06-21
EPI_ISL_17811275,EPI_ISL_18036792,1,China,Shanghai,Guangdong,2023-05-28,2023-07-04
EPI_ISL_17811275,EPI_ISL_18320850,1,China,Shanghai,Shanghai,2023-05-28,2023-09-08
EPI_ISL_17811275,EPI_ISL_17987736,3,China,Shanghai,Shanghai,2023-05-28,2023-06-27
EPI_ISL_17811275,EPI_ISL_18105907,5,China,Shanghai,Jiangsu,2023-05-28,2023-06-27
EPI_ISL_17811275,EPI_ISL_18055731,3,China,Shanghai,Heilongjiang,2023-05-28,2023-07-07
EPI_ISL_17811275,EPI_ISL_18133948,3,China,Shanghai,Sichuan,2023-05-28,2023-07-25
EPI_ISL_17811275,EPI_ISL_18277169,2,China,Shanghai,Anhui,2023-05-28,2023-07-31
EPI_ISL_17811275,EPI_ISL_18292655,4,China,Shanghai,Anhui,2023-05-28,2023-07-31
EPI_ISL_17811275,EPI_ISL_18138254,5,China,Shanghai,Shanghai,2023-05-28,2023-08-09
EPI_ISL_17811275,EPI_ISL_18232590,2,China,Shanghai,Shanghai,2023-05-28,2023-08-18
EPI_ISL_17811275,EPI_ISL_18245910,5,China,Shanghai,Heilongjiang,2023-05-28,2023-08-21
EPI_ISL_17811275,EPI_ISL_18208597,3,China,Shanghai,Shanghai,2023-05-28,2023-08-21
EPI_ISL_17811275,EPI_ISL_18232592,3,China,Shanghai,Shanghai,2023-05-28,2023-08-22
EPI_ISL_17811275,EPI_ISL_18320690,5,China,Shanghai,Liaoning,2023-05-28,2023-08-30
EPI_ISL_17811275,EPI_ISL_18289769,4,China,Shanghai,Anhui,2023-05-28,2023-09-04
EPI_ISL_17811275,EPI_ISL_18495603,3,China,Shanghai,Gansu,2023-05-28,2023-09-15
EPI_ISL_17811275,EPI_ISL_18409392,4,China,Shanghai,Yunnan,2023-05-28,2023-09-23
EPI_ISL_17811275,EPI_ISL_18465138,8,China,Shanghai,Heilongjiang,2023-05-28,2023-10-03
EPI_ISL_17811275,EPI_ISL_18485369,4,China,Shanghai,Hubei,2023-05-28,2023-10-11
EPI_ISL_17811275,EPI_ISL_18330284,6,China,Shanghai,Liaoning,2023-05-28,2023-09-11
EPI_ISL_17811275,EPI_ISL_18401808,11,China,Shanghai,Shanxi,2023-05-28,2023-08-21
EPI_ISL_17811275,EPI_ISL_18409395,9,China,Shanghai,Yunnan,2023-05-28,2023-09-12
EPI_ISL_18146061,EPI_ISL_18320850,2,China,Hubei,Shanghai,2023-08-22,2023-09-08
EPI_ISL_18320850,EPI_ISL_18217230,1,China,Shanghai,Hubei,2023-09-08,2023-08-17
EPI_ISL_18320850,EPI_ISL_18217225,2,China,Shanghai,Hubei,2023-09-08,2023-08-17
EPI_ISL_18320850,EPI_ISL_18360296,1,China,Shanghai,Shanghai,2023-09-08,2023-09-19
EPI_ISL_18320850,EPI_ISL_18465343,2,China,Shanghai,Shanghai,2023-09-08,2023-09-28
EPI_ISL_18320850,EPI_ISL_18438472,0,China,Shanghai,Shanghai,2023-09-08,2023-09-26
EPI_ISL_17988979,EPI_ISL_18133948,3,China,Sichuan,Sichuan,2023-05-30,2023-07-25
EPI_ISL_18245895,EPI_ISL_18055731,4,China,Heilongjiang,Heilongjiang,2023-07-13,2023-07-07
EPI_ISL_17987769,EPI_ISL_18292646,1,China,Shanghai,Anhui,2023-06-21,2023-05-20
EPI_ISL_17987769,EPI_ISL_17987955,1,China,Shanghai,Anhui,2023-06-21,2023-06-06
EPI_ISL_17987769,EPI_ISL_18292645,8,China,Shanghai,Anhui,2023-06-21,2023-07-01
EPI_ISL_17987769,EPI_ISL_18074746,2,China,Shanghai,Shanghai,2023-06-21,2023-07-10
EPI_ISL_17987769,EPI_ISL_18108457,3,China,Shanghai,Shanghai,2023-06-21,2023-07-30
EPI_ISL_17987769,EPI_ISL_18292654,3,China,Shanghai,Anhui,2023-06-21,2023-08-08
EPI_ISL_17987769,EPI_ISL_18289785,4,China,Shanghai,Anhui,2023-06-21,2023-08-20
EPI_ISL_17987769,EPI_ISL_18360315,7,China,Shanghai,Shanghai,2023-06-21,2023-09-13
EPI_ISL_17987769,EPI_ISL_18246229,3,China,Shanghai,Liaoning,2023-06-21,2023-08-08
EPI_ISL_17987769,EPI_ISL_18145961,4,China,Shanghai,Fujian,2023-06-21,2023-08-12
EPI_ISL_17850368,EPI_ISL_18108738,3,China,Heilongjiang,Xinjiang,2023-06-05,2023-06-26
