source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_16709731,EPI_ISL_16634049,0,Russia,Beijing,2022-12-14,2022-08-15
EPI_ISL_14562798,EPI_ISL_16922559,1,Denmark,Tianjin,2022-08-13,2022-09-23
EPI_ISL_15674319,EPI_ISL_16922567,1,France,Tianjin,2022-09-19,2022-09-28
EPI_ISL_15022601,EPI_ISL_16922572,0,Netherlands,Tianjin,2022-09-04,2022-10-02
EPI_ISL_15109791,EPI_ISL_16634249,0,France,Beijing,2022-09-15,2022-10-05
EPI_ISL_14937813,EPI_ISL_16634264,2,Russia,Beijing,2022-08-08,2022-10-07
EPI_ISL_15645340,EPI_ISL_16634296,1,Germany,Beijing,2022-10-14,2022-10-10
EPI_ISL_15738381,EPI_ISL_16634302,0,Germany,Beijing,2022-09-14,2022-10-11
EPI_ISL_15898670,EPI_ISL_16922582,0,Italy,Tianjin,2022-10-25,2022-10-13
EPI_ISL_14957381,EPI_ISL_16641861,0,Belgium,Beijing,2022-08-23,2022-10-16
EPI_ISL_14884082,EPI_ISL_16641855,2,Denmark,Beijing,2022-08-29,2022-10-16
EPI_ISL_15790947,EPI_ISL_16922585,0,Ireland,Tianjin,2022-10-25,2022-10-16
EPI_ISL_14032487,EPI_ISL_16641866,2,France,Beijing,2022-07-04,2022-10-17
EPI_ISL_15487354,EPI_ISL_16641900,2,Israel,Beijing,2022-09-24,2022-10-21
EPI_ISL_16502034,EPI_ISL_16604527,0,Japan,Shandong,2022-12-12,2022-10-27
EPI_ISL_15302140,EPI_ISL_16641991,0,France,Beijing,2022-09-19,2022-10-29
EPI_ISL_14705461,EPI_ISL_16642043,2,Netherlands,Beijing,2022-08-05,2022-11-02
EPI_ISL_17581680,EPI_ISL_16642061,1,Hong Kong,Beijing,2022-12-09,2022-11-03
EPI_ISL_16568827,EPI_ISL_16642071,0,South Korea,Beijing,2023-01-06,2022-11-04
EPI_ISL_17581680,EPI_ISL_16642078,1,Hong Kong,Beijing,2022-12-09,2022-11-05
EPI_ISL_17581680,EPI_ISL_16642088,1,Hong Kong,Beijing,2022-12-09,2022-11-06
EPI_ISL_15946408,EPI_ISL_16642136,1,USA,Beijing,2022-11-13,2022-11-07
EPI_ISL_17581680,EPI_ISL_16642122,1,Hong Kong,Beijing,2022-12-09,2022-11-07
EPI_ISL_17581680,EPI_ISL_16642165,2,Hong Kong,Beijing,2022-12-09,2022-11-09
EPI_ISL_16506507,EPI_ISL_16642167,1,South Korea,Beijing,2023-01-04,2022-11-09
EPI_ISL_16902536,EPI_ISL_16923058,1,Hong Kong,Tianjin,2023-01-03,2022-11-09
EPI_ISL_17581680,EPI_ISL_16642172,1,Hong Kong,Beijing,2022-12-09,2022-11-10
