source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_17697704,EPI_ISL_18049394,1,China,Guangdong,Beijing,2023-04-25,2023-05-22
EPI_ISL_17697704,EPI_ISL_18036252,1,China,Guangdong,Guangdong,2023-04-25,2023-06-04
EPI_ISL_17697704,EPI_ISL_18049737,8,China,Guangdong,Hubei,2023-04-25,2023-07-14
EPI_ISL_17697704,EPI_ISL_18138053,2,China,Guangdong,Shanghai,2023-04-25,2023-08-15
EPI_ISL_17697704,EPI_ISL_18360357,4,China,Guangdong,Shanghai,2023-04-25,2023-09-21
EPI_ISL_17697704,EPI_ISL_18009883,0,China,Guangdong,Beijing,2023-04-25,2023-05-04
EPI_ISL_17697704,EPI_ISL_18049593,0,China,Guangdong,Beijing,2023-04-25,2023-05-10
EPI_ISL_17697704,EPI_ISL_18049709,0,China,Guangdong,Beijing,2023-04-25,2023-05-14
EPI_ISL_17697704,EPI_ISL_18036805,0,China,Guangdong,Guangdong,2023-04-25,2023-05-17
EPI_ISL_17697704,EPI_ISL_17794580,0,China,Guangdong,Jiangxi,2023-04-25,2023-05-29
EPI_ISL_17697704,EPI_ISL_18034592,0,China,Guangdong,Guangdong,2023-04-25,2023-06-13
EPI_ISL_17697704,EPI_ISL_17957061,0,China,Guangdong,Shanghai,2023-04-25,2023-06-18
EPI_ISL_17697704,EPI_ISL_18036907,0,China,Guangdong,Guangdong,2023-04-25,2023-06-19
EPI_ISL_17697704,EPI_ISL_18037117,0,China,Guangdong,Guangdong,2023-04-25,2023-06-26
EPI_ISL_17697704,EPI_ISL_18114716,0,China,Guangdong,Shanghai,2023-04-25,2023-08-03
EPI_ISL_17697704,EPI_ISL_18232702,0,China,Guangdong,Sichuan,2023-04-25,2023-08-11
EPI_ISL_17697704,EPI_ISL_18213259,0,China,Guangdong,Guizhou,2023-04-25,2023-08-11
EPI_ISL_17697704,EPI_ISL_18146011,0,China,Guangdong,Hubei,2023-04-25,2023-08-16
EPI_ISL_18036172,EPI_ISL_18036252,2,China,Guangdong,Guangdong,2023-06-01,2023-06-04
EPI_ISL_17980904,EPI_ISL_17808328,5,China,Gansu,Yunnan,2023-06-15,2023-05-22
EPI_ISL_17980904,EPI_ISL_17836552,5,China,Gansu,Shanghai,2023-06-15,2023-06-07
EPI_ISL_17980904,EPI_ISL_17957077,5,China,Gansu,Shanghai,2023-06-15,2023-06-13
EPI_ISL_18330261,EPI_ISL_18495525,6,China,Liaoning,Shanxi,2023-09-01,2023-10-27
EPI_ISL_18320900,EPI_ISL_18320953,0,China,Xinjiang,Xinjiang,2023-08-23,2023-08-24
