source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_18138560,EPI_ISL_17775434,0,USA,Xinjiang,2023-08-12,2023-05-13
EPI_ISL_17996114,EPI_ISL_17811275,0,USA,Shanghai,2023-07-07,2023-05-28
EPI_ISL_18225451,EPI_ISL_17785260,4,Australia,Xinjiang,2023-08-29,2023-05-29
EPI_ISL_17996114,EPI_ISL_17988979,2,USA,Sichuan,2023-07-07,2023-05-30
EPI_ISL_18047423,EPI_ISL_17850368,1,South Korea,Heilongjiang,2023-07-08,2023-06-05
EPI_ISL_17662326,EPI_ISL_17801910,2,Canada,Fujian,2023-05-05,2023-06-05
EPI_ISL_18244322,EPI_ISL_17850417,1,Denmark,Heilongjiang,2023-07-31,2023-06-12
EPI_ISL_18285143,EPI_ISL_17978667,1,Japan,Xinjiang,2023-08-29,2023-06-13
EPI_ISL_18047386,EPI_ISL_18074440,0,South Korea,Shanghai,2023-07-08,2023-06-17
EPI_ISL_18226122,EPI_ISL_17956697,4,USA,Tianjin,2023-08-23,2023-06-19
EPI_ISL_18164824,EPI_ISL_17987766,0,Japan,Shanghai,2023-07-25,2023-06-21
EPI_ISL_18278758,EPI_ISL_18049828,2,USA,Sichuan,2023-08-29,2023-06-22
EPI_ISL_18468622,EPI_ISL_18036687,0,Netherlands,Guangdong,2023-10-24,2023-06-25
EPI_ISL_18225451,EPI_ISL_17999050,1,Australia,Xinjiang,2023-08-29,2023-06-25
EPI_ISL_17662326,EPI_ISL_18108740,1,Canada,Xinjiang,2023-05-05,2023-06-26
EPI_ISL_18225451,EPI_ISL_18108812,2,Australia,Xinjiang,2023-08-29,2023-06-28
EPI_ISL_17662326,EPI_ISL_18108864,7,Canada,Xinjiang,2023-05-05,2023-07-01
EPI_ISL_17662326,EPI_ISL_18049839,5,Canada,Qinghai,2023-05-05,2023-07-10
EPI_ISL_18278758,EPI_ISL_18105901,0,USA,Jiangsu,2023-08-29,2023-07-10
EPI_ISL_17662326,EPI_ISL_18111208,2,Canada,Yunnan,2023-05-05,2023-07-11
EPI_ISL_17996114,EPI_ISL_18245895,3,USA,Heilongjiang,2023-07-07,2023-07-13
EPI_ISL_18460839,EPI_ISL_18108765,2,South Korea,Xinjiang,2023-10-04,2023-07-13
EPI_ISL_18314759,EPI_ISL_18105379,0,Greece,Jiangsu,2023-08-29,2023-07-13
EPI_ISL_18402692,EPI_ISL_18055548,1,Japan,Hubei,2023-09-24,2023-07-15
EPI_ISL_18326182,EPI_ISL_18114926,0,South Africa,Henan,2023-08-22,2023-07-16
EPI_ISL_18239506,EPI_ISL_18060877,7,South Korea,Sichuan,2023-08-18,2023-07-17
EPI_ISL_18164824,EPI_ISL_18074799,1,Japan,Shanghai,2023-07-25,2023-07-18
EPI_ISL_18047603,EPI_ISL_18495300,3,South Korea,Shanxi,2023-07-09,2023-07-18
EPI_ISL_18405209,EPI_ISL_18245992,1,Germany,Heilongjiang,2023-09-04,2023-07-18
EPI_ISL_18231763,EPI_ISL_18108876,0,New Zealand,Xinjiang,2023-08-19,2023-07-18
EPI_ISL_18461615,EPI_ISL_18105866,0,Australia,Shanghai,2023-10-15,2023-07-21
EPI_ISL_18448055,EPI_ISL_18208659,1,Canada,Henan,2023-10-17,2023-07-21
EPI_ISL_18405125,EPI_ISL_18116311,0,Germany,Liaoning,2023-09-28,2023-07-21
EPI_ISL_18278758,EPI_ISL_18060879,5,USA,Sichuan,2023-08-29,2023-07-22
EPI_ISL_18214769,EPI_ISL_18105571,2,Japan,Shanghai,2023-08-04,2023-07-23
EPI_ISL_18491509,EPI_ISL_18108627,2,Greece,Shanxi,2023-09-21,2023-07-24
EPI_ISL_18244273,EPI_ISL_18134010,3,Denmark,Sichuan,2023-08-21,2023-07-24
EPI_ISL_18229673,EPI_ISL_18074412,0,France,Shanghai,2023-08-28,2023-07-24
EPI_ISL_18300790,EPI_ISL_18330188,4,Australia,Guizhou,2023-09-12,2023-07-24
