source,target,weight,s_country,t_prov,s_date,t_date
EPI_ISL_13818963,EPI_ISL_16614225,1,Singapore,Beijing,2022-06-24,2022-05-13
EPI_ISL_14286972,EPI_ISL_16922388,0,USA,Tianjin,2022-06-16,2022-05-16
EPI_ISL_14659858,EPI_ISL_16614334,1,South Africa,Beijing,2022-08-16,2022-05-20
EPI_ISL_13479752,EPI_ISL_16922391,0,USA,Tianjin,2022-06-12,2022-05-31
EPI_ISL_13181036,EPI_ISL_16613440,0,Norway,Chongqing,2022-05-06,2022-06-02
EPI_ISL_13381549,EPI_ISL_16922394,1,Germany,Tianjin,2022-06-07,2022-06-03
EPI_ISL_13455321,EPI_ISL_16614598,1,Canada,Beijing,2022-06-01,2022-06-10
EPI_ISL_13031283,EPI_ISL_16922397,0,Luxembourg,Tianjin,2022-05-16,2022-06-11
EPI_ISL_13625634,EPI_ISL_16922399,1,France,Tianjin,2022-06-20,2022-06-13
EPI_ISL_15104993,EPI_ISL_16633968,0,Russia,Beijing,2022-08-05,2022-06-13
EPI_ISL_14026126,EPI_ISL_16922401,0,Romania,Tianjin,2022-02-26,2022-06-16
EPI_ISL_13909623,EPI_ISL_16922402,0,Germany,Tianjin,2022-05-12,2022-06-16
EPI_ISL_13129957,EPI_ISL_16922424,1,United Kingdom,Tianjin,2022-05-31,2022-06-17
EPI_ISL_14952309,EPI_ISL_16922407,1,France,Tianjin,2022-06-16,2022-06-20
EPI_ISL_13775184,EPI_ISL_17261593,0,Ireland,Zhejiang,2022-05-06,2022-06-21
EPI_ISL_13122969,EPI_ISL_17261596,0,USA,Zhejiang,2022-05-19,2022-06-21
EPI_ISL_13357362,EPI_ISL_16613442,1,Denmark,Chongqing,2022-06-13,2022-06-21
EPI_ISL_13460044,EPI_ISL_17261595,2,Brazil,Zhejiang,2022-05-23,2022-06-21
EPI_ISL_13574268,EPI_ISL_16922409,0,Bangladesh,Tianjin,2022-06-14,2022-06-22
EPI_ISL_13500240,EPI_ISL_16922408,0,Singapore,Tianjin,2022-06-16,2022-06-22
EPI_ISL_13872264,EPI_ISL_16922418,0,France,Tianjin,2022-07-01,2022-06-23
EPI_ISL_13164932,EPI_ISL_16922410,0,Chile,Tianjin,2022-05-30,2022-06-23
EPI_ISL_13525882,EPI_ISL_16922412,2,Cabo Verde,Tianjin,2022-05-25,2022-06-23
EPI_ISL_13313530,EPI_ISL_16922417,0,Israel,Tianjin,2022-06-01,2022-06-24
EPI_ISL_13320263,EPI_ISL_16922416,2,Canada,Tianjin,2022-05-14,2022-06-24
EPI_ISL_12765635,EPI_ISL_16922419,0,South Africa,Tianjin,2022-04-23,2022-06-24
EPI_ISL_13589709,EPI_ISL_16922425,0,USA,Tianjin,2022-06-14,2022-06-25
EPI_ISL_11867415,EPI_ISL_16923668,1,South Africa,Tianjin,2022-03-18,2022-06-26
EPI_ISL_13906221,EPI_ISL_16922433,0,United Kingdom,Tianjin,2022-07-03,2022-06-30
EPI_ISL_14339762,EPI_ISL_17261597,0,Japan,Zhejiang,2022-07-04,2022-07-01
EPI_ISL_13332559,EPI_ISL_17261598,1,France,Zhejiang,2022-05-17,2022-07-01
EPI_ISL_13672029,EPI_ISL_16614643,0,Belgium,Beijing,2022-06-23,2022-07-02
EPI_ISL_12464680,EPI_ISL_16922430,2,Portugal,Tianjin,2022-04-17,2022-07-03
EPI_ISL_14466374,EPI_ISL_16922432,0,USA,Tianjin,2022-06-21,2022-07-04
EPI_ISL_13298425,EPI_ISL_16614646,3,United Kingdom,Beijing,2022-05-25,2022-07-04
EPI_ISL_13968334,EPI_ISL_16614647,0,India,Beijing,2022-06-25,2022-07-04
EPI_ISL_13259910,EPI_ISL_17197576,0,Singapore,Chongqing,2022-06-03,2022-07-05
EPI_ISL_13774767,EPI_ISL_16922436,2,Croatia,Tianjin,2022-06-08,2022-07-05
