source,target,weight,s_country,s_prov,t_prov,s_date,t_date
EPI_ISL_16634042,EPI_ISL_16922979,1,China,Beijing,Tianjin,2022-08-15,2022-10-16
EPI_ISL_16634042,EPI_ISL_16634046,2,China,Beijing,Beijing,2022-08-15,2022-08-15
EPI_ISL_16922979,EPI_ISL_18070571,1,China,Tianjin,Shandong,2022-10-16,2022-11-28
EPI_ISL_16922979,EPI_ISL_16636163,1,China,Tianjin,Xinjiang,2022-10-16,2022-12-26
EPI_ISL_16922979,EPI_ISL_16635847,1,China,Tianjin,Xinjiang,2022-10-16,2023-01-02
EPI_ISL_16922979,EPI_ISL_16596996,1,China,Tianjin,Jiangxi,2022-10-16,2023-01-03
EPI_ISL_16922979,EPI_ISL_16610095,1,China,Tianjin,Anhui,2022-10-16,2023-01-05
EPI_ISL_16922979,EPI_ISL_16698006,1,China,Tianjin,Xinjiang,2022-10-16,2023-01-22
EPI_ISL_16922979,EPI_ISL_17488095,1,China,Tianjin,Zhejiang,2022-10-16,2023-02-01
EPI_ISL_16922979,EPI_ISL_17495371,1,China,Tianjin,Xinjiang,2022-10-16,2023-02-03
EPI_ISL_16922979,EPI_ISL_17501736,1,China,Tianjin,Xinjiang,2022-10-16,2023-02-09
EPI_ISL_16922979,EPI_ISL_17485604,1,China,Tianjin,Jiangxi,2022-10-16,2023-02-11
EPI_ISL_16922979,EPI_ISL_17501729,1,China,Tianjin,Xinjiang,2022-10-16,2023-02-24
EPI_ISL_16922979,EPI_ISL_16711719,4,China,Tianjin,Guangdong,2022-10-16,2022-12-15
EPI_ISL_16922979,EPI_ISL_16712223,2,China,Tianjin,Guangdong,2022-10-16,2022-12-21
EPI_ISL_16922979,EPI_ISL_16636080,2,China,Tianjin,Xinjiang,2022-10-16,2022-12-22
EPI_ISL_16922979,EPI_ISL_16636115,3,China,Tianjin,Xinjiang,2022-10-16,2022-12-25
EPI_ISL_16922979,EPI_ISL_16636029,3,China,Tianjin,Xinjiang,2022-10-16,2022-12-25
EPI_ISL_16922979,EPI_ISL_16636154,2,China,Tianjin,Xinjiang,2022-10-16,2022-12-26
EPI_ISL_16922979,EPI_ISL_16636072,4,China,Tianjin,Xinjiang,2022-10-16,2022-12-26
EPI_ISL_16922979,EPI_ISL_16636069,3,China,Tianjin,Xinjiang,2022-10-16,2022-12-26
EPI_ISL_16922979,EPI_ISL_16636097,2,China,Tianjin,Xinjiang,2022-10-16,2022-12-27
EPI_ISL_16922979,EPI_ISL_16636149,5,China,Tianjin,Xinjiang,2022-10-16,2022-12-28
EPI_ISL_16922979,EPI_ISL_16635864,5,China,Tianjin,Xinjiang,2022-10-16,2023-01-02
EPI_ISL_16922979,EPI_ISL_16635865,2,China,Tianjin,Xinjiang,2022-10-16,2023-01-02
EPI_ISL_16922979,EPI_ISL_16635860,5,China,Tianjin,Xinjiang,2022-10-16,2023-01-02
EPI_ISL_16922979,EPI_ISL_16635899,4,China,Tianjin,Xinjiang,2022-10-16,2023-01-02
EPI_ISL_16922979,EPI_ISL_16635850,2,China,Tianjin,Xinjiang,2022-10-16,2023-01-03
EPI_ISL_16922979,EPI_ISL_16635963,4,China,Tianjin,Xinjiang,2022-10-16,2023-01-10
EPI_ISL_16922979,EPI_ISL_16635959,8,China,Tianjin,Xinjiang,2022-10-16,2023-01-10
EPI_ISL_16922979,EPI_ISL_16635955,2,China,Tianjin,Xinjiang,2022-10-16,2023-01-10
EPI_ISL_16922979,EPI_ISL_16635962,4,China,Tianjin,Xinjiang,2022-10-16,2023-01-12
EPI_ISL_16922979,EPI_ISL_16698040,3,China,Tianjin,Xinjiang,2022-10-16,2023-01-15
EPI_ISL_16922979,EPI_ISL_17493230,7,China,Tianjin,Shanxi,2022-10-16,2023-02-02
EPI_ISL_16922979,EPI_ISL_17495461,2,China,Tianjin,Jiangxi,2022-10-16,2023-02-05
EPI_ISL_16922979,EPI_ISL_17501649,3,China,Tianjin,Xinjiang,2022-10-16,2023-02-07
EPI_ISL_16922979,EPI_ISL_17501738,7,China,Tianjin,Xinjiang,2022-10-16,2023-02-09
EPI_ISL_16922979,EPI_ISL_17501737,2,China,Tianjin,Xinjiang,2022-10-16,2023-02-09
EPI_ISL_16922979,EPI_ISL_17150607,7,China,Tianjin,Gansu,2022-10-16,2023-02-15
EPI_ISL_16922979,EPI_ISL_17494978,6,China,Tianjin,Gansu,2022-10-16,2023-02-16
EPI_ISL_16922979,EPI_ISL_17501717,7,China,Tianjin,Xinjiang,2022-10-16,2023-02-16
EPI_ISL_16922979,EPI_ISL_17501733,2,China,Tianjin,Xinjiang,2022-10-16,2023-02-16
EPI_ISL_16922979,EPI_ISL_17501726,5,China,Tianjin,Xinjiang,2022-10-16,2023-03-03
EPI_ISL_16922979,EPI_ISL_17493052,3,China,Tianjin,Sichuan,2022-10-16,2023-03-10
EPI_ISL_16922979,EPI_ISL_17501647,6,China,Tianjin,Xinjiang,2022-10-16,2023-03-10
EPI_ISL_16922979,EPI_ISL_17309112,3,China,Tianjin,Sichuan,2022-10-16,2023-03-10
EPI_ISL_16922979,EPI_ISL_17501742,4,China,Tianjin,Hubei,2022-10-16,2023-03-13
EPI_ISL_16922979,EPI_ISL_17494276,5,China,Tianjin,Yunnan,2022-10-16,2023-03-14
EPI_ISL_16922979,EPI_ISL_17501585,4,China,Tianjin,Xinjiang,2022-10-16,2023-03-23
EPI_ISL_16922979,EPI_ISL_17563602,7,China,Tianjin,Xinjiang,2022-10-16,2023-03-23
EPI_ISL_16922979,EPI_ISL_16854350,2,China,Tianjin,Jiangxi,2022-10-16,2023-01-17
EPI_ISL_16922979,EPI_ISL_16698041,4,China,Tianjin,Xinjiang,2022-10-16,2023-01-15
EPI_ISL_16922979,EPI_ISL_16636170,5,China,Tianjin,Xinjiang,2022-10-16,2022-12-27
EPI_ISL_16922979,EPI_ISL_16635196,3,China,Tianjin,Liaoning,2022-10-16,2022-12-29
EPI_ISL_16922979,EPI_ISL_16635872,3,China,Tianjin,Xinjiang,2022-10-16,2023-01-09
EPI_ISL_16922979,EPI_ISL_17501646,3,China,Tianjin,Xinjiang,2022-10-16,2023-03-10
EPI_ISL_16922979,EPI_ISL_16922978,0,China,Tianjin,Tianjin,2022-10-16,2022-10-16
EPI_ISL_16922979,EPI_ISL_17487086,0,China,Tianjin,Hubei,2022-10-16,2022-11-05
EPI_ISL_16922979,EPI_ISL_16617190,0,China,Tianjin,Hubei,2022-10-16,2022-11-05
EPI_ISL_16922979,EPI_ISL_16598620,0,China,Tianjin,Sichuan,2022-10-16,2023-01-05
EPI_ISL_16922979,EPI_ISL_16635867,0,China,Tianjin,Xinjiang,2022-10-16,2023-01-09
EPI_ISL_16922979,EPI_ISL_17273694,0,China,Tianjin,Yunnan,2022-10-16,2023-02-27
EPI_ISL_18070571,EPI_ISL_16610095,1,China,Shandong,Anhui,2022-11-28,2023-01-05
EPI_ISL_18070571,EPI_ISL_16702207,1,China,Shandong,Gansu,2022-11-28,2023-01-06
EPI_ISL_18070571,EPI_ISL_16702204,1,China,Shandong,Gansu,2022-11-28,2023-01-06
EPI_ISL_18070571,EPI_ISL_16702210,1,China,Shandong,Gansu,2022-11-28,2023-01-06
EPI_ISL_18070571,EPI_ISL_17501653,3,China,Shandong,Xinjiang,2022-11-28,2023-02-07
EPI_ISL_18070571,EPI_ISL_17072231,2,China,Shandong,Fujian,2022-11-28,2023-02-10
EPI_ISL_18070571,EPI_ISL_17789975,7,China,Shandong,Neimenggu,2022-11-28,2023-03-08
EPI_ISL_18070571,EPI_ISL_17998775,8,China,Shandong,Gansu,2022-11-28,2023-04-18
EPI_ISL_18070571,EPI_ISL_16698285,3,China,Shandong,Chongqing,2022-11-28,2022-12-07
EPI_ISL_18070571,EPI_ISL_16825448,3,China,Shandong,Hainan,2022-11-28,2023-01-31
EPI_ISL_18070571,EPI_ISL_17488065,3,China,Shandong,Zhejiang,2022-11-28,2023-02-09
