Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_16922397,hCoV-19/Tianjin/TJCDC-0915/2022,2022-06-11,China,Tianjin,BA.5.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1,22B (BA.5),BA.5
EPI_ISL_16922433,hCoV-19/Tianjin/TJCDC-0958/2022,2022-06-30,China,Tianjin,BA.5.2.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1,22B (BA.5),BA.5
EPI_ISL_16137903,hCoV-19/Beijing/GD-5/2022,2022-07-01,China,Beijing,BA.5.2.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1,22B (BA.5),BA.5
EPI_ISL_16614644,hCoV-19/Beijing/BJCDC-1716/2022,2022-07-04,China,Beijing,BA.5.2.20,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.20,22B (BA.5),BA.5
EPI_ISL_16614649,hCoV-19/Beijing/BJCDC-1722/2022,2022-07-05,China,Beijing,BA.5.2.20,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.20,22B (BA.5),BA.5
EPI_ISL_16614661,hCoV-19/Beijing/BJCDC-1806/2022,2022-07-06,China,Beijing,BF.10,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.10,22B (BA.5),BA.5
EPI_ISL_17197579,hCoV-19/Chongqing/YBCDC-0206/2022,2022-07-06,China,Chongqing,BA.5.1.9,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1.9,22B (BA.5),BA.5
EPI_ISL_13867424,hCoV-19/Yunnan/SR01/2022,2022-07-10,China,Yunnan,BF.3.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.3.1,22B (BA.5),BA.5
EPI_ISL_16614667,hCoV-19/Beijing/BJCDC-1808/2022,2022-07-10,China,Beijing,BA.5.2.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1,22B (BA.5),BA.5
EPI_ISL_16922458,hCoV-19/Tianjin/TJCDC-0991/2022,2022-07-16,China,Tianjin,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_16614681,hCoV-19/Beijing/BJCDC-1762/2022,2022-07-19,China,Beijing,BA.5.2.1,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1,22B (BA.5),BA.5
EPI_ISL_16614713,hCoV-19/Beijing/BJCDC-1820/2022,2022-07-31,China,Beijing,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_17197584,hCoV-19/Chongqing/YBCDC-0212/2022,2022-08-02,China,Chongqing,BE.4,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.3.1.4,22B (BA.5),BA.5
EPI_ISL_16614720,hCoV-19/Beijing/BJCDC-1815/2022,2022-08-02,China,Beijing,BA.5.5,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.5,22B (BA.5),BA.5
EPI_ISL_16614746,hCoV-19/Beijing/BJCDC-1842/2022,2022-08-07,China,Beijing,BA.5.2,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2,22B (BA.5),BA.5
EPI_ISL_15941028,hCoV-19/Hainan/SY316/2022,2022-08-08,China,Hainan,BA.5.1.3,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.1.3,22B (BA.5),BA.5
