source,target,weight
EPI_ISL_17511898,EPI_ISL_17801972,7
EPI_ISL_17511898,EPI_ISL_17645713,9
EPI_ISL_17801972,EPI_ISL_17697704,1
EPI_ISL_17801972,EPI_ISL_18034648,5
EPI_ISL_17801972,EPI_ISL_18036089,6
EPI_ISL_17801972,EPI_ISL_18036172,2
EPI_ISL_17801972,EPI_ISL_17980904,5
EPI_ISL_17801972,EPI_ISL_17980918,5
EPI_ISL_17801972,EPI_ISL_17987707,4
EPI_ISL_17801972,EPI_ISL_17978542,2
EPI_ISL_17801972,EPI_ISL_18074529,5
EPI_ISL_17801972,EPI_ISL_18074326,4
EPI_ISL_17801972,EPI_ISL_18401855,3
EPI_ISL_17801972,EPI_ISL_18138127,9
EPI_ISL_17801972,EPI_ISL_18330261,6
EPI_ISL_17801972,EPI_ISL_18292850,7
EPI_ISL_17801972,EPI_ISL_18360207,9
EPI_ISL_17801972,EPI_ISL_18108690,3
EPI_ISL_17801972,EPI_ISL_18033755,3
EPI_ISL_17801972,EPI_ISL_17794652,3
EPI_ISL_17801972,EPI_ISL_18320900,5
EPI_ISL_17645713,EPI_ISL_17619152,9
EPI_ISL_17645713,EPI_ISL_18009813,9
EPI_ISL_17697704,EPI_ISL_17697674,3
EPI_ISL_17697704,EPI_ISL_17698313,1
EPI_ISL_17697704,EPI_ISL_18035400,1
EPI_ISL_17697704,EPI_ISL_17725026,1
EPI_ISL_17697704,EPI_ISL_18033956,1
EPI_ISL_17697704,EPI_ISL_18035659,1
EPI_ISL_17697704,EPI_ISL_18049394,1
EPI_ISL_17697704,EPI_ISL_18049380,1
EPI_ISL_17697704,EPI_ISL_18036072,1
EPI_ISL_17697704,EPI_ISL_17795242,1
EPI_ISL_17697704,EPI_ISL_18049491,1
EPI_ISL_17697704,EPI_ISL_17811101,1
EPI_ISL_17697704,EPI_ISL_18036252,1
EPI_ISL_17697704,EPI_ISL_18438104,1
EPI_ISL_17697704,EPI_ISL_18438159,1
EPI_ISL_17697704,EPI_ISL_18495167,1
EPI_ISL_17697704,EPI_ISL_17850922,1
EPI_ISL_17697704,EPI_ISL_17987587,1
EPI_ISL_17697704,EPI_ISL_18034597,1
EPI_ISL_17697704,EPI_ISL_17994406,1
EPI_ISL_17697704,EPI_ISL_18055836,1
EPI_ISL_17697704,EPI_ISL_18438260,1
EPI_ISL_17697704,EPI_ISL_18289753,1
EPI_ISL_17697704,EPI_ISL_18438073,1
EPI_ISL_17697704,EPI_ISL_17645713,9
EPI_ISL_17697704,EPI_ISL_18009813,6
EPI_ISL_17697704,EPI_ISL_17696780,2
EPI_ISL_17697704,EPI_ISL_17697969,2
EPI_ISL_17697704,EPI_ISL_18034648,5
EPI_ISL_17697704,EPI_ISL_18049661,2
EPI_ISL_17697704,EPI_ISL_18035746,3
EPI_ISL_17697704,EPI_ISL_18035829,2
EPI_ISL_17697704,EPI_ISL_18035853,2
EPI_ISL_17697704,EPI_ISL_17770129,7
EPI_ISL_17697704,EPI_ISL_18036089,6
EPI_ISL_17697704,EPI_ISL_17850298,2
EPI_ISL_17697704,EPI_ISL_18037280,2
EPI_ISL_17697704,EPI_ISL_17850266,2
EPI_ISL_17697704,EPI_ISL_18036172,2
EPI_ISL_17697704,EPI_ISL_18036237,2
EPI_ISL_17697704,EPI_ISL_18036271,4
EPI_ISL_17697704,EPI_ISL_17808194,3
EPI_ISL_17697704,EPI_ISL_17836659,4
EPI_ISL_17697704,EPI_ISL_18049476,3
EPI_ISL_17697704,EPI_ISL_18036353,2
EPI_ISL_17697704,EPI_ISL_18036365,5
EPI_ISL_17697704,EPI_ISL_18036395,4
EPI_ISL_17697704,EPI_ISL_18036429,4
EPI_ISL_17697704,EPI_ISL_18036461,3
EPI_ISL_17697704,EPI_ISL_18036460,2
EPI_ISL_17697704,EPI_ISL_17956755,3
EPI_ISL_17697704,EPI_ISL_17966435,4
EPI_ISL_17697704,EPI_ISL_17999268,7
EPI_ISL_17697704,EPI_ISL_17836823,7
EPI_ISL_17697704,EPI_ISL_18034467,9
EPI_ISL_17697704,EPI_ISL_17850870,3
EPI_ISL_17697704,EPI_ISL_17980918,5
EPI_ISL_17697704,EPI_ISL_17987707,4
EPI_ISL_17697704,EPI_ISL_17978535,3
EPI_ISL_17697704,EPI_ISL_18037115,2
EPI_ISL_17697704,EPI_ISL_17987447,2
EPI_ISL_17697704,EPI_ISL_18036689,4
EPI_ISL_17697704,EPI_ISL_18033661,3
EPI_ISL_17697704,EPI_ISL_18033911,7
EPI_ISL_17697704,EPI_ISL_17978533,2
EPI_ISL_17697704,EPI_ISL_18055661,2
EPI_ISL_17697704,EPI_ISL_17994537,4
EPI_ISL_17697704,EPI_ISL_17999129,5
EPI_ISL_17697704,EPI_ISL_18217136,3
EPI_ISL_17697704,EPI_ISL_18036731,3
EPI_ISL_17697704,EPI_ISL_18033727,2
EPI_ISL_17697704,EPI_ISL_18034537,2
EPI_ISL_17697704,EPI_ISL_18036775,5
EPI_ISL_17697704,EPI_ISL_18036776,6
EPI_ISL_17697704,EPI_ISL_18114683,3
EPI_ISL_17697704,EPI_ISL_17988081,4
EPI_ISL_17697704,EPI_ISL_18074529,5
EPI_ISL_17697704,EPI_ISL_17999209,4
EPI_ISL_17697704,EPI_ISL_18055767,4
EPI_ISL_17697704,EPI_ISL_18074326,4
EPI_ISL_17697704,EPI_ISL_18075000,3
EPI_ISL_17697704,EPI_ISL_18074272,2
EPI_ISL_17697704,EPI_ISL_18074709,6
EPI_ISL_17697704,EPI_ISL_17988088,5
EPI_ISL_17697704,EPI_ISL_18074218,4
EPI_ISL_17697704,EPI_ISL_18060756,3
EPI_ISL_17697704,EPI_ISL_18074348,7
EPI_ISL_17697704,EPI_ISL_18049737,8
EPI_ISL_17697704,EPI_ISL_18111219,4
EPI_ISL_17697704,EPI_ISL_18105692,6
EPI_ISL_17697704,EPI_ISL_18074368,4
EPI_ISL_17697704,EPI_ISL_18060781,10
EPI_ISL_17697704,EPI_ISL_18116289,4
EPI_ISL_17697704,EPI_ISL_18060806,5
EPI_ISL_17697704,EPI_ISL_18060846,3
EPI_ISL_17697704,EPI_ISL_18111270,3
EPI_ISL_17697704,EPI_ISL_18074386,8
EPI_ISL_17697704,EPI_ISL_18074405,7
EPI_ISL_17697704,EPI_ISL_18108626,3
EPI_ISL_17697704,EPI_ISL_18074406,7
EPI_ISL_17697704,EPI_ISL_18074409,6
EPI_ISL_17697704,EPI_ISL_18208658,2
EPI_ISL_17697704,EPI_ISL_18105589,6
EPI_ISL_17697704,EPI_ISL_18108557,2
EPI_ISL_17697704,EPI_ISL_18105641,3
