Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_16922509,hCoV-19/Tianjin/TJCDC-1107/2022,2022-08-13,China,Tianjin,BF.7.6,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.6,22B (BA.5),BF.7
EPI_ISL_16922510,hCoV-19/Tianjin/TJCDC-1108/2022,2022-08-13,China,Tianjin,BF.7.6,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.6,22B (BA.5),BF.7
EPI_ISL_16634049,hCoV-19/Beijing/BJCDC-2547/2022,2022-08-15,China,Beijing,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16922559,hCoV-19/Tianjin/TJCDC-1389/2022,2022-09-23,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16922560,hCoV-19/Tianjin/TJCDC-1395/2022,2022-09-24,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16277971,hCoV-19/Inner Mongolia/IVDC-632/2022,2022-09-27,China,Neimenggu,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16922567,hCoV-19/Tianjin/TJCDC-1442/2022,2022-09-28,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16277973,hCoV-19/Inner Mongolia/IVDC-636/2022,2022-10-02,China,Neimenggu,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16922572,hCoV-19/Tianjin/TJCDC-1479/2022,2022-10-02,China,Tianjin,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16277972,hCoV-19/Inner Mongolia/IVDC-634/2022,2022-10-03,China,Neimenggu,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16634249,hCoV-19/Beijing/BJCDC-2203/2022,2022-10-05,China,Beijing,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
EPI_ISL_16277974,hCoV-19/Inner Mongolia/IVDC-637/2022,2022-10-06,China,Neimenggu,BF.7.14,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7.14,22B (BA.5),BF.7
EPI_ISL_16634264,hCoV-19/Beijing/BJCDC-2231/2022,2022-10-07,China,Beijing,BF.7,Former VOC Omicron GRA (B.1.1.529+BA.*) first detected in Botswana/Hong Kong/South Africa,22B,BA.5.2.1.7,22B (BA.5),BF.7
