Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_17879894,hCoV-19/Sichuan/MSCDC-32/2023,2023-05-06,China,Sichuan,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_17775434,hCoV-19/Xinjiang/XJCDCHT052/2023,2023-05-13,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17775649,hCoV-19/Xinjiang/XJCDCWLMQ-236/2023,2023-05-15,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17775700,hCoV-19/Xinjiang/XJCDCYL23066/2023,2023-05-16,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17785251,hCoV-19/Xinjiang/BTCDC175/2023,2023-05-19,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_18292646,hCoV-19/Anhui/HSCDC-80/2023,2023-05-20,China,Anhui,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_17775386,hCoV-19/Xinjiang/XJCDCYL-76/2023,2023-05-20,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17775469,hCoV-19/Xinjiang/XJCDCWLMQ-264/2023,2023-05-22,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17999011,hCoV-19/Xinjiang/XJCDCTLF-53/2023,2023-05-23,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17836276,hCoV-19/Xinjiang/XJCDCTC-085/2023,2023-05-24,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17785258,hCoV-19/Xinjiang/BTCDC182/2023,2023-05-24,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17836405,hCoV-19/Xinjiang/XJCDCALT-074/2023,2023-05-26,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17811275,hCoV-19/Shanghai/SCDC-XG06-7522/2023,2023-05-28,China,Shanghai,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_17785260,hCoV-19/Xinjiang/BTCDC184/2023,2023-05-29,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17795507,hCoV-19/Shanghai/SCDC-XG06-7242/2023,2023-05-29,China,Shanghai,HK.2,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.2,23F (EG.5.1),HK
EPI_ISL_17794197,hCoV-19/Hubei/HCDC-WH1826/2023,2023-05-30,China,Hubei,HK.5,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.5,23F (EG.5.1),HK
EPI_ISL_17988979,hCoV-19/Sichuan/MSCCD-0704-8/2023,2023-05-30,China,Sichuan,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_18049449,hCoV-19/Beijing/BJCDC-2614/2023,2023-06-03,China,Beijing,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17850368,hCoV-19/Heilongjiang/HLJCDC-1479/2023,2023-06-05,China,Heilongjiang,HK.11,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.11,23F (EG.5.1),HK
EPI_ISL_17998969,hCoV-19/Xinjiang/XJCDCHM-145/2023,2023-06-05,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17998933,hCoV-19/Xinjiang/XJCDCBOZ-58/2023,2023-06-05,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17801910,hCoV-19/Fujian/FCDC-LYCX0122/2023,2023-06-05,China,Fujian,HK.5,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.5,23F (EG.5.1),HK
EPI_ISL_17998940,hCoV-19/Xinjiang/XJCDCBOZ-66/2023,2023-06-06,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17987955,hCoV-19/Anhui/HSCDC-67/2023,2023-06-06,China,Anhui,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_17998992,hCoV-19/Xinjiang/XJCDCKS-127/2023,2023-06-07,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17998894,hCoV-19/Xinjiang/XJCDCAKS-094/2023,2023-06-07,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17999004,hCoV-19/Xinjiang/XJCDCKZ87/2023,2023-06-09,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17988953,hCoV-19/Sichuan/LZSCDC-107-NSY/2023,2023-06-10,China,Sichuan,HK.5,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.5,23F (EG.5.1),HK
EPI_ISL_17999021,hCoV-19/Xinjiang/XJCDCTLF-63/2023,2023-06-12,China,Xinjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17850417,hCoV-19/Heilongjiang/HLJCDC-1534/2023,2023-06-12,China,Heilongjiang,HK.4,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.4,23F (EG.5.1),HK
EPI_ISL_17850433,hCoV-19/Heilongjiang/HLJCDC-1551/2023,2023-06-12,China,Heilongjiang,HK.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.1,23F (EG.5.1),HK
EPI_ISL_17988959,hCoV-19/Sichuan/MSCCD-0704-12/2023,2023-06-12,China,Sichuan,HK.2,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1.2,23F (EG.5.1),HK
