source,target,weight
EPI_ISL_16922510,EPI_ISL_16642136,10
EPI_ISL_16922510,EPI_ISL_16922509,0
EPI_ISL_16642136,EPI_ISL_16905039,9
EPI_ISL_16642136,EPI_ISL_16642113,0
EPI_ISL_16905039,EPI_ISL_16922559,5
EPI_ISL_16905039,EPI_ISL_16922582,4
EPI_ISL_16905039,EPI_ISL_16740792,1
EPI_ISL_16905039,EPI_ISL_16922567,6
EPI_ISL_16905039,EPI_ISL_16922572,9
EPI_ISL_16905039,EPI_ISL_16634249,6
EPI_ISL_16905039,EPI_ISL_16634296,7
EPI_ISL_16905039,EPI_ISL_16641855,7
EPI_ISL_16905039,EPI_ISL_16922585,6
EPI_ISL_16905039,EPI_ISL_16641866,7
EPI_ISL_16905039,EPI_ISL_16641900,12
EPI_ISL_16905039,EPI_ISL_16642358,7
EPI_ISL_16905039,EPI_ISL_16327462,8
EPI_ISL_16905039,EPI_ISL_16327491,7
EPI_ISL_16905039,EPI_ISL_16327573,9
EPI_ISL_16905039,EPI_ISL_16910778,5
EPI_ISL_16905039,EPI_ISL_16327612,8
EPI_ISL_16905039,EPI_ISL_16327585,8
EPI_ISL_16905039,EPI_ISL_16910787,12
EPI_ISL_16905039,EPI_ISL_16604666,5
EPI_ISL_16905039,EPI_ISL_16905046,2
EPI_ISL_16905039,EPI_ISL_17490472,3
EPI_ISL_16905039,EPI_ISL_16641861,6
EPI_ISL_16905039,EPI_ISL_16634302,6
EPI_ISL_16905039,EPI_ISL_16854500,6
EPI_ISL_16905039,EPI_ISL_16327423,7
EPI_ISL_16905039,EPI_ISL_16327556,9
EPI_ISL_16905039,EPI_ISL_16327602,12
EPI_ISL_16905039,EPI_ISL_17501563,8
EPI_ISL_16634049,EPI_ISL_16277972,1
EPI_ISL_16634049,EPI_ISL_16922951,1
EPI_ISL_16634049,EPI_ISL_16922995,1
EPI_ISL_16634049,EPI_ISL_16641971,1
EPI_ISL_16634049,EPI_ISL_16923028,1
EPI_ISL_16634049,EPI_ISL_16923032,1
EPI_ISL_16634049,EPI_ISL_16923031,1
EPI_ISL_16634049,EPI_ISL_16923034,1
EPI_ISL_16634049,EPI_ISL_16642044,1
EPI_ISL_16634049,EPI_ISL_16642071,1
EPI_ISL_16634049,EPI_ISL_16642373,1
EPI_ISL_16634049,EPI_ISL_16642392,1
EPI_ISL_16634049,EPI_ISL_16642410,1
EPI_ISL_16634049,EPI_ISL_16698225,1
EPI_ISL_16634049,EPI_ISL_17031528,1
EPI_ISL_16634049,EPI_ISL_17492898,1
EPI_ISL_16634049,EPI_ISL_18070591,1
EPI_ISL_16634049,EPI_ISL_16709252,1
EPI_ISL_16634049,EPI_ISL_17088754,1
EPI_ISL_16634049,EPI_ISL_16709253,1
EPI_ISL_16634049,EPI_ISL_16306966,1
EPI_ISL_16634049,EPI_ISL_17489519,1
EPI_ISL_16634049,EPI_ISL_16614074,1
