source,target,weight
EPI_ISL_16610653,EPI_ISL_16633968,1
EPI_ISL_16633968,EPI_ISL_16614626,1
EPI_ISL_16633968,EPI_ISL_16634061,1
EPI_ISL_16633968,EPI_ISL_16350834,5
EPI_ISL_16633968,EPI_ISL_16642006,5
EPI_ISL_16633968,EPI_ISL_16614693,5
EPI_ISL_16633968,EPI_ISL_16614737,5
EPI_ISL_16633968,EPI_ISL_17261628,5
EPI_ISL_16633968,EPI_ISL_16922448,5
EPI_ISL_16633968,EPI_ISL_16350838,5
EPI_ISL_16633968,EPI_ISL_17088840,5
EPI_ISL_16633968,EPI_ISL_16634025,5
EPI_ISL_16633968,EPI_ISL_16922558,5
EPI_ISL_16633968,EPI_ISL_16922554,5
EPI_ISL_16633968,EPI_ISL_16634031,0
EPI_ISL_16633968,EPI_ISL_16634032,0
EPI_ISL_16633968,EPI_ISL_16634029,0
EPI_ISL_16633968,EPI_ISL_16634037,0
EPI_ISL_16633968,EPI_ISL_16634030,0
EPI_ISL_16633968,EPI_ISL_16634028,0
EPI_ISL_16633968,EPI_ISL_16634052,0
EPI_ISL_16633968,EPI_ISL_16634055,0
EPI_ISL_16633968,EPI_ISL_16634059,0
EPI_ISL_16633968,EPI_ISL_16634058,0
EPI_ISL_16633968,EPI_ISL_16634062,0
EPI_ISL_16633968,EPI_ISL_16634060,0
EPI_ISL_16633968,EPI_ISL_16634063,0
EPI_ISL_16633968,EPI_ISL_16634056,0
EPI_ISL_16633968,EPI_ISL_16634069,0
EPI_ISL_16633968,EPI_ISL_16634072,0
EPI_ISL_16633968,EPI_ISL_16634073,0
EPI_ISL_16633968,EPI_ISL_16634079,0
EPI_ISL_16633968,EPI_ISL_16634078,0
EPI_ISL_16633968,EPI_ISL_16634080,0
EPI_ISL_16614626,EPI_ISL_16634033,1
EPI_ISL_16614626,EPI_ISL_16634035,1
EPI_ISL_16614626,EPI_ISL_16634036,0
EPI_ISL_16614626,EPI_ISL_16634034,0
EPI_ISL_16614626,EPI_ISL_16634048,0
EPI_ISL_16614626,EPI_ISL_16634047,0
EPI_ISL_16350834,EPI_ISL_17261628,2
EPI_ISL_16350834,EPI_ISL_16922456,3
EPI_ISL_16350834,EPI_ISL_17104932,5
EPI_ISL_16350834,EPI_ISL_17197586,4
EPI_ISL_16350834,EPI_ISL_17197587,4
EPI_ISL_16350834,EPI_ISL_16634057,4
EPI_ISL_16350834,EPI_ISL_16350838,2
EPI_ISL_16350834,EPI_ISL_16922554,2
EPI_ISL_16350834,EPI_ISL_16922558,2
EPI_ISL_16350834,EPI_ISL_16642006,2
EPI_ISL_16350834,EPI_ISL_17088840,2
EPI_ISL_16350834,EPI_ISL_16634127,5
EPI_ISL_16350834,EPI_ISL_16634129,3
EPI_ISL_16350834,EPI_ISL_16634147,5
EPI_ISL_16350834,EPI_ISL_16642015,5
EPI_ISL_16350834,EPI_ISL_16327347,7
EPI_ISL_16350834,EPI_ISL_16327505,11
EPI_ISL_16350834,EPI_ISL_16327546,7
EPI_ISL_16350834,EPI_ISL_17489652,6
EPI_ISL_16350834,EPI_ISL_16327678,7
EPI_ISL_16350834,EPI_ISL_16910788,12
EPI_ISL_16350834,EPI_ISL_16327572,5
EPI_ISL_16350834,EPI_ISL_16634884,3
EPI_ISL_16350834,EPI_ISL_16955450,6
EPI_ISL_16350834,EPI_ISL_17243467,8
EPI_ISL_16350834,EPI_ISL_18232670,12
EPI_ISL_16350834,EPI_ISL_16350840,5
EPI_ISL_16350834,EPI_ISL_16634044,5
EPI_ISL_16350834,EPI_ISL_16327339,12
