Accession ID,Virus name,Collection date,country,Province,Pango lineage,Variant,clade,partiallyAliased,clade_display,Omicron sublineages
EPI_ISL_17511898,hCoV-19/Shanghai/SCDC-HG0410-188/2023,2023-04-07,China,Shanghai,EG.5.2,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23D,XBB.1.9.2.5.2,23D (XBB.1.9),EG.5
EPI_ISL_17619167,hCoV-19/Shanghai/SCDC-XG04-3201/2023,2023-04-20,China,Shanghai,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17618946,hCoV-19/Shanghai/SCDC-XG04-3033_4/2023,2023-04-20,China,Shanghai,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17618977,hCoV-19/Shanghai/SCDC-XG04-3066/2023,2023-04-20,China,Shanghai,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17697674,hCoV-19/Guangdong/GDCDC_SZ_0260/2023,2023-04-21,China,Guangdong,EG.5.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1,23F (EG.5.1),EG.5
EPI_ISL_17697654,hCoV-19/Guangdong/GDCDC_SZ_0293/2023,2023-04-23,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17698041,hCoV-19/Guangdong/GDCDC_SZ_0294/2023,2023-04-23,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17698047,hCoV-19/Guangdong/GDCDC_SZ_0292/2023,2023-04-23,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17698125,hCoV-19/Guangdong/GDCDC_SZ_0291/2023,2023-04-23,China,Guangdong,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
EPI_ISL_17795649,hCoV-19/Jiangsu/WXCDC-140/2023,2023-04-23,China,Jiangsu,EG.5.1.1,VOI GRA (EG.5+EG.5.*) first detected in Indonesia/France,23F,XBB.1.9.2.5.1.1,23F (EG.5.1),EG.5
