source,target,weight
EPI_ISL_17197591,EPI_ISL_16922586,2
EPI_ISL_17197591,EPI_ISL_16922587,2
EPI_ISL_17197591,EPI_ISL_16922588,3
EPI_ISL_17197591,EPI_ISL_17794694,9
EPI_ISL_17197591,EPI_ISL_18055646,9
EPI_ISL_17197591,EPI_ISL_17645423,9
EPI_ISL_16922586,EPI_ISL_16922587,2
EPI_ISL_16922586,EPI_ISL_16922588,3
EPI_ISL_16922586,EPI_ISL_16481872,10
EPI_ISL_16922586,EPI_ISL_17494035,12
EPI_ISL_16922586,EPI_ISL_17794694,9
EPI_ISL_16922586,EPI_ISL_17962819,14
EPI_ISL_16922586,EPI_ISL_18495058,21
EPI_ISL_16922586,EPI_ISL_17684461,9
EPI_ISL_16922586,EPI_ISL_18055646,9
EPI_ISL_16922586,EPI_ISL_17645423,9
EPI_ISL_16922586,EPI_ISL_17951270,13
EPI_ISL_16922586,EPI_ISL_17794999,9
EPI_ISL_16922587,EPI_ISL_16922588,3
EPI_ISL_16922587,EPI_ISL_17794694,9
EPI_ISL_16922587,EPI_ISL_18055646,9
EPI_ISL_16922587,EPI_ISL_17645423,9
EPI_ISL_16922588,EPI_ISL_18070532,5
EPI_ISL_16922588,EPI_ISL_16854496,7
EPI_ISL_16922588,EPI_ISL_16481872,10
EPI_ISL_16922588,EPI_ISL_17493023,10
EPI_ISL_16922588,EPI_ISL_17493016,4
EPI_ISL_16922588,EPI_ISL_18330792,7
EPI_ISL_16922588,EPI_ISL_17488840,11
EPI_ISL_16922588,EPI_ISL_18330902,5
EPI_ISL_16922588,EPI_ISL_17488784,10
EPI_ISL_16922588,EPI_ISL_17494035,12
EPI_ISL_16922588,EPI_ISL_17511935,9
EPI_ISL_16922588,EPI_ISL_17501547,4
EPI_ISL_16922588,EPI_ISL_17785050,12
EPI_ISL_16922588,EPI_ISL_17775504,9
EPI_ISL_16922588,EPI_ISL_17625325,9
EPI_ISL_16922588,EPI_ISL_17794288,15
EPI_ISL_16922588,EPI_ISL_17998802,13
EPI_ISL_16922588,EPI_ISL_17775154,11
EPI_ISL_16922588,EPI_ISL_17645669,11
EPI_ISL_16922588,EPI_ISL_17684197,10
EPI_ISL_16922588,EPI_ISL_17951307,11
EPI_ISL_16922588,EPI_ISL_17794377,12
EPI_ISL_16922588,EPI_ISL_17850636,12
EPI_ISL_16922588,EPI_ISL_17730037,9
EPI_ISL_16922588,EPI_ISL_17836983,13
EPI_ISL_16922588,EPI_ISL_17836977,5
EPI_ISL_16922588,EPI_ISL_17962819,14
EPI_ISL_16922588,EPI_ISL_18495058,21
EPI_ISL_16922588,EPI_ISL_17978429,10
